client_id,street,city,zip,site_client_id,location_id,address,table_name
Firehose Car Wash,1269 E 17th St,Idaho Falls,83404,500,1,"Firehose Car Wash, 1269 E 17th St, Idaho Falls, ID, 83404",q4_new_car_wash_firehose_car_wash
Scrubbles STL,1125 Cave Springs Blvd,St. Peters,63376,1219,1,"Scrubbles STL, 1125 Cave Springs Blvd, St. Peters, MO, 63376",q4_new_car_wash_scrubbles_stl
Wash Up,1224 E Ridge Rd,Griffith,46319,1579,7,"Wash Up, 1224 E Ridge Rd, Griffith, IN, 46319",q4_new_car_wash_wash_up
Auto Brite Express,211 N Cooper Dr,Henderson,27536,38,1,"Auto Brite Express, 211 N Cooper Dr, Henderson, NC, 27536",q4_new_car_wash_auto_brite_express
Colonial Car Wash,1405 Woodruff Rd,Greenville,29607,372,6,"Colonial Car Wash, 1405 Woodruff Rd, Greenville, SC, 29607",q4_new_car_wash_colonial_car_wash
Edge Express,1004 Morrisville Carpenter Rd,Morrisville,27560,441,6,"Edge Express, 1004 Morrisville Carpenter Rd, Morrisville, NC, 27560",q4_new_car_wash_edge_express
Riptide,3335 Victory Blvd,Portsmouth,23701,1167,7,"Riptide, 3335 Victory Blvd, Portsmouth, VA, 23701",q4_new_car_wash_riptide
Riptide,1001 Dallas Cherryville Hwy,Dallas,28034,1169,6,"Riptide, 1001 Dallas Cherryville Hwy, Dallas, NC, 28034",q4_new_car_wash_riptide
Tsunami Car Wash,821 Pine Lake Ave,La Porte,46350,1478,7,"Tsunami Car Wash, 821 Pine Lake Ave, La Porte, IN, 46350",q4_new_car_wash_tsunami_car_wash
TruShine,1912 TN-394,Blountville,37617,1457,7,"TruShine, 1912 TN-394, Blountville, TN, 37617",q4_new_car_wash_trushine
Woodies,8680 N. Park Blvd,Seminole,33777,1625,13,"Woodies, 8680 N. Park Blvd, Seminole, FL, 33777",q4_new_car_wash_woodies
Happy Car Wash 2,527 NW North Albany Rd,Albany,97321,616,1,"Happy Car Wash 2, 527 NW North Albany Rd, Albany, OR, 97321",q4_new_car_wash_happy_car_wash_2
Century Car Wash,2660 McIngvale Rd,Hernando,38632,285,8,"Century Car Wash, 2660 McIngvale Rd, Hernando, MS, 38632",q4_new_car_wash_century_car_wash
Rogue Car Wash,819 SE Mill St,Grants Pass,97526,1199,1,"Rogue Car Wash, 819 SE Mill St, Grants Pass, OR, 97526",q4_new_car_wash_rogue_car_wash
Road Runner Express,101 Market Center Way,Daleville,24083,1176,3,"Road Runner Express, 101 Market Center Way, Daleville, VA, 24083",q4_new_car_wash_road_runner_express
Lakes Edge,7916 Bradley Long Dr,Sherrills Ford,28673,672,1,"Lakes Edge, 7916 Bradley Long Dr, Sherrills Ford, NC, 28673",q4_new_car_wash_lakes_edge
Drip Car Wash,3709 Owen Rd,Fenton,48430,431,1,"Drip Car Wash, 3709 Owen Rd, Fenton, MI, 48430",q4_new_car_wash_drip_car_wash
Kwik Car Wash,4000 Catnip Hill Rd,Nicholasville,40356,667,1,"Kwik Car Wash, 4000 Catnip Hill Rd, Nicholasville, KY, 40356",q4_new_car_wash_kwik_car_wash
Papa Bear,1500 Pearman Dairy Rd,Anderson,29625,1093,4,"Papa Bear, 1500 Pearman Dairy Rd, Anderson, SC, 29625",q4_new_car_wash_papa_bear
Suds Bucket Car Wash,615 landmark Point Blvd. Suite B,Gray,31032,1348,1,"Suds Bucket Car Wash, 615 landmark Point Blvd. Suite B, Gray, GA, 31032",q4_new_car_wash_suds_bucket_car_wash
Riptide,3025 Mechanicsville Turnpike,Richmond,23223,1161,2,"Riptide, 3025 Mechanicsville Turnpike, Richmond, VA, 23223",q4_new_car_wash_riptide
Auto Soak,18711 S Gardner Rd,Gardner,66030,40,1,"Auto Soak, 18711 S Gardner Rd, Gardner, KS, 66030",q4_new_car_wash_auto_soak
Woodies,7601 Ulmerton Rd,Largo,33771,1631,14,"Woodies, 7601 Ulmerton Rd, Largo, FL, 33771",q4_new_car_wash_woodies
Blue Sky Englewood,3718 S Broadway,Englewood,80113,101,1,"Blue Sky Englewood, 3718 S Broadway, Englewood, CO, 80113",q4_new_car_wash_blue_sky_englewood
Staten Island Auto Bath Inc,1531 ARTHUR KILL RD,STATEN ISLAND,10312,1327,1,"Staten Island Auto Bath Inc, 1531 ARTHUR KILL RD, STATEN ISLAND, NY, 10312",q4_new_car_wash_staten_island_auto_bath_inc
Scarborough Car Wash,1448 FM 66,Waxahachie,75165,1214,1,"Scarborough Car Wash, 1448 FM 66, Waxahachie, TX, 75165",q4_new_car_wash_scarborough_car_wash
Express Wash,445 Florida Central Pkwy,Longwood,32750,483,4,"Express Wash, 445 Florida Central Pkwy, Longwood, FL, 32750",q4_new_car_wash_express_wash
TruShine,2227 Fort Henry Dr,Kingsport,37664,1460,5,"TruShine, 2227 Fort Henry Dr, Kingsport, TN, 37664",q4_new_car_wash_trushine
Riptide,13150 Falls of Neuse Rd,Raleigh,27614,1162,1,"Riptide, 13150 Falls of Neuse Rd, Raleigh, NC, 27614",q4_new_car_wash_riptide
FoamWorks Express,5551 Thomaston Rd.,Macon,31220,510,9,"FoamWorks Express, 5551 Thomaston Rd., Macon, GA, 31220",q4_new_car_wash_foamworks_express
Planet Oil,6380 Sashabaw Rd,Clarkston,48346,1109,1,"Planet Oil, 6380 Sashabaw Rd, Clarkston, MI, 48346",q4_new_car_wash_planet_oil
Aqua Breeze Car Wash,150 E Felton Rd,Cartersville,30120,27,1,"Aqua Breeze Car Wash, 150 E Felton Rd, Cartersville, GA, 30120",q4_new_car_wash_aqua_breeze_car_wash
Vortex Car Wash,150 Jonathans Way,Suffolk,23434,1513,1,"Vortex Car Wash, 150 Jonathans Way, Suffolk, VA, 23434",q4_new_car_wash_vortex_car_wash
Tsunami Car Wash,3105 Willowcreek Rd,Portage,46368,1485,8,"Tsunami Car Wash, 3105 Willowcreek Rd, Portage, IN, 46368",q4_new_car_wash_tsunami_car_wash
American Pride,3810 New Bern Ave,Raleigh,27610,20,5,"American Pride, 3810 New Bern Ave, Raleigh, NC, 27610",q4_new_car_wash_american_pride
Mega Shine,18282 E Thirteen Mile Rd,Roseville,48066,1012,1,"Mega Shine, 18282 E Thirteen Mile Rd, Roseville, MI, 48066",q4_new_car_wash_mega_shine
Sonic Suds,2836 Woodruff Rd,Simpsonville,29681,1271,4,"Sonic Suds, 2836 Woodruff Rd, Simpsonville, SC, 29681",q4_new_car_wash_sonic_suds
Soapatopia,6930 S. 73rd Street,Lincoln,68516,1259,1,"Soapatopia, 6930 S. 73rd Street, Lincoln, NE, 68516",q4_new_car_wash_soapatopia
Saratoga Honda,3402 US-9,Saratoga Springs,12866,1212,1,"Saratoga Honda, 3402 US-9, Saratoga Springs, NY, 12866",q4_new_car_wash_saratoga_honda
Wow Car Wash,242 N Broad St,Winder,30680,1637,3,"Wow Car Wash, 242 N Broad St, Winder, GA, 30680",q4_new_car_wash_wow_car_wash
Pelican Car Wash,13020 US-1,Sebastian,32958,1103,1,"Pelican Car Wash, 13020 US-1, Sebastian, FL, 32958",q4_new_car_wash_pelican_car_wash
Rocket Wash 2,1207 M.L.K. Jr Blvd,Chapel Hill,27514,1196,5,"Rocket Wash 2, 1207 M.L.K. Jr Blvd, Chapel Hill, NC, 27514",q4_new_car_wash_rocket_wash_2
Hitech Autocare,1675 Ave Victor M Labiosa,San Juan,926,629,1,"Hitech Autocare, 1675 Ave Victor M Labiosa, San Juan, FL, 926",q4_new_car_wash_hitech_autocare
Stevens Creek Xpress,3655 Stevens Creek Blvd,Santa Clara,95051,1330,1,"Stevens Creek Xpress, 3655 Stevens Creek Blvd, Santa Clara, CA, 95051",q4_new_car_wash_stevens_creek_xpress
Riptide,3639 Durham-Chapel Hill Blvd,Durham,27707,1153,3,"Riptide, 3639 Durham-Chapel Hill Blvd, Durham, NC, 27707",q4_new_car_wash_riptide
