site_id,date,age_in_months,real_age_months,monthly_volume,latitude,longitude,cluster_id,maturity_bucket,month,year,month_sin,month_cos,age_sq,log_age,is_early,is_growth,is_mature,cluster_month_avg,cluster_age_avg,cluster_lag_1,cluster_lag_3,cluster_growth_rate,cluster_rolling_mean,cluster_std,seasonality_factor,lat_lon_interaction,cluster_id_num,age_cluster_interaction,age_seasonality_interaction,lag_1,lag_3,rolling_mean_3
1,2024-01-01,1,1.0,48.0,32.6466149,-96.5333187,0,young,1,2024,0.49999999999999994,0.8660254037844387,1,0.6931471805599453,1,0,0,7496.888888888889,1666.0,,8542.124718576357,,8542.124718576357,5433.794264702254,0.8428296879665141,-3151.4860806178685,0,0,0.8428296879665141,,,
1,2024-02-01,2,2.0,7022.0,32.6466149,-96.5333187,0,young,2,2024,0.8660254037844386,0.5000000000000001,4,1.0986122886681098,1,0,0,9735.666666666666,7080.0,4018.75,6022.7261029411775,0.8785692068429238,6022.7261029411775,6011.143547612218,0.9712535653623937,-3151.4860806178685,0,0,1.9425071307247874,48.0,,48.0
1,2024-03-01,3,3.0,9961.0,32.6466149,-96.5333187,0,young,3,2024,1.0,6.123233995736766e-17,9,1.3862943611198906,1,0,0,10931.333333333334,8435.0,7549.5,5784.125000000001,0.2305781839856944,5784.125000000001,5554.1391547205585,1.0640280222751042,-3151.4860806178685,0,0,3.1920840668253128,7022.0,,3535.0
1,2024-04-01,4,4.0,10049.0,32.6466149,-96.5333187,0,young,4,2024,0.8660254037844387,-0.49999999999999983,16,1.6094379124341003,1,0,0,11815.888888888889,9132.5,9290.25,6952.833333333333,0.1294905949786067,6952.833333333333,6152.91474515218,1.0768458156712903,-3151.4860806178685,0,0,4.307383262685161,9961.0,48.0,5677.0
1,2024-05-01,5,5.0,12942.0,32.6466149,-96.5333187,0,young,5,2024,0.49999999999999994,-0.8660254037844387,25,1.791759469228055,1,0,0,10690.111111111111,10319.5,10493.25,9111.0,-0.02584995115907851,9111.0,5481.269662323786,1.0474066918833662,-3151.4860806178685,0,0,5.237033459416831,10049.0,7022.0,9010.666666666666
1,2024-06-01,6,6.0,13243.0,32.6466149,-96.5333187,0,young,6,2024,1.2246467991473532e-16,-1.0,36,1.9459101490553132,1,0,0,11076.333333333334,11248.5,10222.0,10001.833333333334,0.07535218156916446,10001.833333333334,5676.630316481777,1.0227107823630444,-3151.4860806178685,0,0,6.136264694178266,12942.0,9961.0,10984.0
1,2024-07-01,7,7.0,16635.0,32.6466149,-96.5333187,0,young,7,2024,-0.4999999999999998,-0.8660254037844388,49,2.0794415416798357,0,1,0,10909.1,12271.0,10992.25,10569.166666666666,-0.05351497646068826,10569.166666666666,5604.039147495909,0.9953486266588346,-3151.4860806178685,0,0,6.967440386611842,13243.0,10049.0,12078.0
1,2024-08-01,8,8.0,15064.0,32.6466149,-96.5333187,0,young,8,2024,-0.8660254037844384,-0.5000000000000004,64,2.1972245773362196,0,1,0,11356.1,12247.0,10404.0,10539.416666666666,0.12049211841599394,10539.416666666666,5416.855082876861,1.0118954902497466,-3151.4860806178685,0,0,8.095163921997973,16635.0,12942.0,14273.333333333334
1,2024-09-01,9,9.0,18425.0,32.6466149,-96.5333187,0,young,9,2024,-1.0,-1.8369701987210297e-16,81,2.302585092994046,0,1,0,10967.5,12734.0,11657.6,11017.950000000003,-0.09775597035410377,11017.950000000003,6057.808996108521,0.977255287094714,-3151.4860806178685,0,0,8.795297583852426,15064.0,13243.0,14980.666666666666
1,2024-10-01,10,10.0,14116.0,32.6466149,-96.5333187,0,young,10,2024,-0.8660254037844386,0.5000000000000001,100,2.3978952727983707,0,1,0,11188.7,10427.0,10518.0,10859.866666666667,0.06792165810990669,10859.866666666667,5612.4168303662,1.0688688564627258,-3151.4860806178685,0,0,10.688688564627258,18425.0,16635.0,16708.0
1,2024-11-01,11,11.0,13483.0,32.6466149,-96.5333187,0,young,11,2024,-0.5000000000000004,0.8660254037844384,121,2.4849066497880004,0,1,0,10057.222222222223,9764.5,11232.4,11136.0,-0.16653609201951503,11136.0,5399.988652251451,0.9646976395591788,-3151.4860806178685,0,0,10.611674035150966,14116.0,15064.0,15868.333333333334
1,2024-12-01,12,12.0,12289.0,32.6466149,-96.5333187,0,young,12,2024,-2.4492935982947064e-16,1.0,144,2.5649493574615367,0,1,0,8435.0,9914.0,9361.8,10370.733333333335,-0.09203358328526545,10370.733333333335,4516.3993243670175,0.9632194094959462,-3151.4860806178685,0,0,11.558632913951355,13483.0,18425.0,15341.333333333334
1,2025-01-01,13,13.0,14822.0,32.6466149,-96.5333187,0,young,1,2025,0.49999999999999994,0.8660254037844387,169,2.6390573296152584,0,1,0,7496.888888888889,13202.5,8500.2,9698.133333333333,0.20931272205359863,9698.133333333333,5433.794264702254,0.8428296879665141,-3151.4860806178685,0,0,10.956785943564684,12289.0,14116.0,13296.0
