site_id,mae_site
1574,26090.77074067701
1070,23972.872506627147
51,20760.27998106814
1485,19502.61287660795
1289,18790.172180537476
1138,18046.931272150287
1482,12275.891904114587
905,12191.642458900786
183,11818.661057102592
1330,11623.652392898404
890,10706.131488542982
1179,10700.715192995911
794,10155.008119663133
1236,10154.333620732205
370,10148.152891688778
1648,9974.414243378395
1432,9671.261742079038
1623,9576.327475672304
1589,9102.177708505234
1476,8617.502029099705
1630,8561.6383378022
1764,8528.617555574148
1658,8495.595328815074
452,8454.388043731462
986,8374.544523426164
1185,8342.6556248281
252,8070.79612258017
593,7780.801864842414
1306,7349.336537146636
1579,7322.691429218744
1629,7307.2720059798085
258,7207.969320121894
417,7153.9619366881825
1312,7086.703140687545
1238,6871.127697355692
43,6728.69363340758
1645,6689.810767603501
1654,6662.608739244327
963,6521.62671613165
1244,6453.544941560455
1469,6440.528397939049
1382,6392.501855383894
826,6283.221232109635
3369,6275.410091080821
1798,6130.621811506626
501,6126.394660416349
1734,6113.533191333983
1051,6078.679555040573
1587,5989.121019779275
765,5978.585072437849
296,5870.778333817122
1641,5780.120343129355
387,5653.8171188657225
3487,5490.893030469146
1553,5466.829962837562
679,5396.860656420102
1411,5248.6628292783025
254,5242.893637574656
1477,5212.398006449779
1508,5181.774544169163
1735,5143.140264406127
748,5080.445864303736
219,5074.380741711149
3443,5063.488344164011
1046,5018.0857835564175
236,4996.323561472785
3408,4994.661111524743
1644,4941.4616086945125
1875,4937.039349868403
1210,4918.71443978359
1895,4900.220035892738
1639,4860.934239127503
1164,4835.4615720485945
1094,4809.4911880397985
848,4793.7806832674505
1362,4673.0598313533455
1594,4638.229904757472
3491,4629.0844653198965
1555,4612.840499385075
1343,4589.246052842756
968,4492.199152308766
194,4491.375139468191
1043,4460.8818680303575
1199,4438.035884306943
3459,4422.264834175865
82,4368.377254182688
1118,4304.823951750641
1634,4260.027340630223
1483,4255.868680870389
1107,4243.699067789792
555,4168.443193144462
267,4143.898262886042
339,4143.506241136875
491,4139.283356769605
1105,4128.453707811551
1368,4116.500168305832
1657,4074.485934857532
1627,4068.4377915437867
1655,4059.4690438895686
1796,4028.2881293799333
461,4022.9734382848146
645,4006.832877508598
335,3958.392297327431
74,3956.653192461352
1375,3913.2874432934495
240,3889.6301350683043
3508,3886.272450514269
3453,3834.893133420206
3495,3830.116883953054
3427,3786.5746617641385
1494,3784.312587422166
1198,3773.5345266381278
223,3771.764703483488
944,3715.301883384595
1050,3707.1878863794323
1034,3706.4278679247577
368,3692.0994402663464
55,3668.0415353327803
477,3650.4681015967935
52,3648.360680862071
37,3644.9464141248077
1193,3639.6005596988416
87,3637.240337365712
1351,3620.8160461401444
64,3612.969769395803
434,3612.720960233722
1042,3575.1474049630856
1060,3572.804490229634
1609,3568.716174071406
727,3559.560252917514
1780,3519.667177501378
1642,3518.0327756220595
1371,3494.6972610637895
861,3493.1187827340236
1189,3455.8763775715524
1590,3451.711244602134
1656,3436.9339342831167
659,3433.093999269867
633,3415.208582942183
390,3390.6217546615603
556,3353.247941865455
689,3353.004826877202
1713,3352.0325857863527
1502,3344.5925068055208
1431,3335.861925824057
1342,3313.7084656919965
1636,3305.831323101971
1309,3302.865153664799
1799,3259.95015137772
547,3218.2586709081374
3413,3200.893562206605
1550,3195.547867065268
527,3181.6658100902305
13,3166.9584189774378
1095,3158.591745811847
926,3144.1652744178855
419,3140.598373369672
884,3139.5943466927074
157,3135.5012658200917
1392,3128.135649535973
20,3111.2737632854964
1171,3107.9051426372835
389,3101.7461598422647
107,3091.535483984796
1632,3090.8718532077314
606,3081.6972128119414
693,3075.650390794685
1437,3064.021384073633
705,3027.7578956141906
528,3025.4191941731838
90,3020.645039541519
444,3020.5599969936416
1471,3020.081258825574
209,3018.957694842016
21,3016.532629587717
1489,3011.625765860723
1270,3005.883435133843
1867,2999.7042886249374
1570,2996.910995550701
467,2990.393043284297
1268,2989.6039625707213
1837,2967.9621787714123
1057,2954.4710526629683
1562,2945.9317727252237
1818,2943.144477252994
502,2934.2250517442662
1625,2928.3680120049835
27,2908.145065099203
3429,2901.3874541410023
