date,age_in_months,p50,p10,p90,volume,low,high,cumulative_volume,monthly_profit,cumulative_profit,break_even_month,interval_width_ratio,confidence_label
2026-01-01,1.0,6392.2341558352755,3050.473435607114,12527.970620685943,6392.2341558352755,503.66901005877935,17204.104578479622,6392.2341558352755,-174431.0633766589,-174431.0633766589,,2.612613236416396,Low confidence
2026-02-01,2.0,10221.791837197025,6562.891359983575,15416.258824918918,10221.791837197025,3774.390115234998,19375.03763053957,16614.0259930323,-9112.832651211902,-183543.8960278708,,1.526214558293754,Low confidence
2026-03-01,3.0,12646.557170649141,7934.432087482085,22124.853716509748,12646.557170649141,4343.253059341552,29348.401304324223,29260.58316368144,586.2286825965639,-182957.66734527424,,1.9772296843791473,Low confidence
2026-04-01,4.0,9406.026966387886,6514.774962262307,11469.861236307906,9406.026966387886,4311.309778501402,13042.739336291006,38666.610130069326,-12375.892134448455,-195333.5594797227,,0.9282803024127814,Low confidence
2026-05-01,5.0,10265.724843938444,7708.3736910258485,12135.11172811878,10265.724843938444,5759.379200039597,13559.798648661503,48932.33497400777,-8937.100624246224,-204270.66010396893,,0.759850820711207,Low confidence
2026-06-01,6.0,11254.316968341926,7989.666082652013,16908.60591364483,11254.316968341926,5501.6281829852505,21217.821717774357,60186.651942349694,-4982.732126632298,-209253.39223060122,,1.3964591167639808,Low confidence
2026-07-01,7.0,11242.23198532057,8651.623179711165,14495.102821474171,11242.23198532057,6677.28254812338,16974.16297413749,71428.88392767026,-5031.07205871772,-214284.46428931894,,0.9159106873566782,Low confidence
2026-08-01,8.0,12256.157858665334,10021.429676365997,15221.194671012354,12256.157858665334,8318.310841397779,17480.892329761406,83685.0417863356,-975.3685653386638,-215259.8328546576,,0.7475900354153744,Low confidence
2026-09-01,9.0,11929.686717943518,9735.876527513996,14754.040428478706,11929.686717943518,8063.941888992818,16906.521450164113,95614.72850427912,-2281.2531282259297,-217541.08598288352,,0.7412247923602125,Low confidence
2026-10-01,10.0,12982.212561394965,10820.585886550292,15523.51253542112,12982.212561394965,9173.178773122414,17460.274189634885,108596.94106567408,1928.850245579859,-215612.23573730368,,0.638342299256242,Medium confidence
2026-11-01,11.0,13713.702762322773,11478.901293881261,15659.810301288107,13713.702762322773,9775.726606478698,17142.96714816477,122310.64382799686,4854.811049291093,-210757.42468801257,,0.537217458248382,High confidence
2026-12-01,12.0,17563.06403473266,14082.000148486806,21711.989160953563,17563.06403473266,11429.030755004283,24873.94531441707,139873.70786272953,20252.256138930636,-190505.16854908195,,0.7655221510357557,Low confidence
2027-01-01,13.0,15024.104351565518,12454.841094196037,18948.362664122786,15024.104351565518,10496.76821523163,21939.096972811807,154897.81221429503,10096.417406262073,-180408.75114281988,,0.7615980619587671,Low confidence
2027-02-01,14.0,15258.862933393482,12533.520909051455,19635.552738834984,15258.862933393482,10456.49813279079,22971.091665448992,170156.6751476885,11035.45173357393,-169373.29940924596,,0.8201524311782304,Low confidence
2027-03-01,15.0,17857.812807952523,14797.951043307461,23984.153693499662,17857.812807952523,12465.985909899551,28653.127143718408,188014.48795564103,21431.251231810093,-147942.04817743588,,0.9064459016898126,Low confidence
2027-04-01,16.0,15035.753785908239,12513.492060175238,21344.721073865207,15035.753785908239,10591.239731753172,26152.876760281753,203050.24174154928,10143.015143632954,-137799.03303380293,,1.0349755156324942,Low confidence
2027-05-01,17.0,14061.66902622582,12424.762630316982,19466.627375769553,14061.66902622582,11177.252469558263,23585.82470824121,217111.9107677751,6246.676104903279,-131552.35692889965,,0.8824395037785207,Low confidence
2027-06-01,18.0,14397.24942331911,12277.25629476251,17669.350921070647,14397.24942331911,10661.57871220616,20163.067040502436,231509.1601910942,7588.99769327644,-123963.35923562321,,0.6599516371680579,Low confidence
2027-07-01,19.0,16231.658043908687,12816.252727994688,21128.338791594073,16231.658043908687,10213.322685469922,24860.170374631834,247740.8182350029,14926.632175634746,-109036.72705998847,,0.9023630025126191,Low confidence
2027-08-01,20.0,12926.938686711223,11601.393782722873,15886.970079707522,12926.938686711223,10591.176741357302,18142.85303560338,260667.7569217141,1707.7547468448902,-107328.97231314357,,0.5841813345509987,High confidence
2027-09-01,21.0,12619.907151043402,11401.472500888698,17231.716058767124,12619.907151043402,10472.885741079166,20746.442671261415,273287.6640727575,479.62860417360935,-106849.34370896997,,0.8140754766582229,Low confidence
2027-10-01,22.0,13535.020323943701,11484.359545274972,16196.687798169241,13535.020323943701,9921.521154483386,18225.183274120864,286822.6843967012,4140.081295774806,-102709.26241319516,,0.6134946176870272,Medium confidence
2027-11-01,23.0,10722.139750852326,9432.830015217196,13218.670661145923,10722.139750852326,8450.228322420378,15121.313161061309,297544.82414755353,-7111.440996590696,-109820.70340978586,,0.6221785010299323,Medium confidence
2027-12-01,24.0,11979.923461553846,10510.443937468543,14794.610929113289,11979.923461553846,9390.53222968547,16939.725166504406,309524.7476091074,-2080.306153784615,-111901.00956357046,,0.6301536867423041,Medium confidence
2028-01-01,25.0,9897.103653888884,9382.997609294784,12103.65814083336,9897.103653888884,8991.189918921305,13785.305392998094,319421.85126299626,-10411.585384444465,-122312.59494801493,,0.484395803181129,High confidence
2028-02-01,26.0,11336.878793468455,10485.40479869479,13659.124132299341,11336.878793468455,9836.484089021467,15428.941064536095,330758.73005646473,-4652.4848261261795,-126965.07977414111,,0.4932977653640724,High confidence
2028-03-01,27.0,14365.155572825335,12469.217155492435,17064.53002925366,14365.155572825335,11024.294925542692,19121.762544505204,345123.8856292901,7460.622291301341,-119504.45748283976,,0.5636881255721907,High confidence
2028-04-01,28.0,15423.591982365875,12110.67862084692,17390.184488191124,15423.591982365875,9585.85918673776,18888.953226110807,360547.47761165595,11694.3679294635,-107810.08955337625,,0.6031729865135373,Medium confidence
2028-05-01,29.0,13293.658620191622,11514.860634273522,14792.922094390433,13293.658620191622,10159.212830027569,15935.532583537544,373841.1362318476,3174.6344807664864,-104635.45507260977,,0.4345169315768239,High confidence
2028-06-01,30.0,15734.997414015794,12834.69318661819,17905.380705165106,15734.997414015794,10624.329171905476,19559.461363177576,389576.1336458634,12939.989656063175,-91695.46541654659,,0.5678508839629912,High confidence
2028-07-01,31.0,13016.438006167762,10791.17198425633,14630.331887476612,13016.438006167762,9095.264399275371,15860.303876315516,402592.57165203115,2065.7520246710483,-89629.71339187554,,0.5197304726004796,High confidence
2028-08-01,32.0,17567.17629033761,14620.658145298008,19761.77462833952,17567.17629033761,12375.073832118047,21434.309925583268,420159.7479423688,20268.705161350445,-69361.0082305251,,0.5156910788179622,High confidence
2028-09-01,33.0,14590.809356615688,12432.518766990786,16968.06433747529,14590.809356615688,10787.654132607051,18779.804917601774,434750.5572989845,8363.23742646275,-60997.77080406235,,0.5477523959850255,High confidence
2028-10-01,34.0,17947.554241268394,13841.153460292262,20201.93449339844,17947.554241268394,10711.605728535122,21920.030456475524,452698.11154025287,21790.216965073574,-39207.55383898877,,0.6245098678427935,Medium confidence
2028-11-01,35.0,11657.732470876217,10457.060106616973,13757.999631004692,11657.732470876217,9542.010243106623,15358.64376625679,464355.8440111291,-3369.0701164951315,-42576.623955483905,,0.49895067820286215,High confidence
2028-12-01,36.0,12515.806779677769,10521.430472272546,14793.713569763022,12515.806779677769,9001.48729526328,16529.73944943152,476871.65079080686,63.22711871107458,-42513.39683677283,,0.6014995506155107,High confidence
2029-01-01,37.0,11506.01139729481,10139.27348179618,13680.533093575352,11506.01139729481,9097.662647517487,15337.76769030017,488377.6621881017,-3975.954410820763,-46489.35124759359,,0.5423343352247562,High confidence
2029-02-01,38.0,13125.351583243495,11419.007163668817,15274.779599597161,13125.351583243495,10118.577275622916,16912.889938051718,501503.0137713452,2501.40633297398,-43987.94491461961,,0.5176480507070855,High confidence
2029-03-01,39.0,15374.39141308338,13511.637437281783,18779.36081107421,15374.39141308338,12092.005552640036,21374.337488838148,516877.40518442856,11497.56565233352,-32490.379262286093,,0.6037528046603023,Medium confidence
2029-04-01,40.0,14485.39444838445,12030.264671344956,17006.666232257143,14485.39444838445,10159.174576949219,18928.164111596245,531362.799632813,7941.577793537799,-24548.801468748294,,0.605367673299339,Medium confidence
2029-05-01,41.0,14171.536667997969,12213.266503961544,17411.041369867115,14171.536667997969,10720.840343704709,19879.91499728281,545534.3363008109,6686.146671991875,-17862.65479675642,,0.6463007412325817,Medium confidence
2029-06-01,42.0,14005.453139127021,11626.524286807291,16157.415911333417,14005.453139127021,9813.50802490723,17797.458024072213,559539.7894399379,6021.8125565080845,-11840.842240248334,,0.5700600986832886,High confidence
2029-07-01,43.0,11796.129942078824,10018.82221803267,14417.251529802825,11796.129942078824,8664.310164023927,16414.846396218032,571335.9193820168,-2815.4802316847054,-14656.32247193304,,0.6570405946351582,Low confidence
2029-08-01,44.0,13474.560801611413,11683.600592824936,16034.195245515817,13474.560801611413,10318.683781723348,17984.929865760143,584810.4801836282,3898.2432064456516,-10758.079265487388,,0.5689421864162765,High confidence
2029-09-01,45.0,11694.257184742168,10222.06087859056,14190.656700023415,11694.257184742168,9100.078671699688,16093.19906188974,596504.7373683703,-3222.971261031329,-13981.050526518717,,0.597996117163917,High confidence
2029-10-01,46.0,14258.835789698058,11359.468792183496,16484.483322017823,14258.835789698058,9149.819053989577,18180.68166162716,610763.5731580683,7035.343158792231,-6945.707367726485,,0.6333520309932307,Medium confidence
2029-11-01,47.0,11060.213590873602,9746.1604532968,14340.251226512037,11060.213590873602,8744.70145417439,16840.0155919986,621823.786748942,-5759.145636505593,-12704.853004232078,,0.7319310852886396,Low confidence
2029-12-01,48.0,10889.186316233963,9689.836973405074,12972.411932340183,10889.186316233963,8775.795403760148,14560.068459152411,632712.9730651759,-6443.254735064147,-19148.107739296225,,0.531194240495057,High confidence
2030-01-01,49.0,10555.973060262964,9541.495469431833,13356.921434744701,10555.973060262964,8768.347349547315,15491.56490956999,643268.9461254389,-7776.107758948143,-26924.215498244368,,0.6369112085644408,Medium confidence
2030-02-01,50.0,11927.791110235969,10455.05617114553,14353.832449596384,11927.791110235969,9332.663464261628,16202.753822765335,655196.7372356749,-2288.835559056126,-29213.051057300494,,0.5759733964515934,High confidence
2030-03-01,51.0,12895.124592156739,11211.011280222117,15281.477402700712,12895.124592156739,9927.524042492209,17100.15157108885,668091.8618278316,1580.4983686269552,-27632.55268867354,,0.5562278578062791,High confidence
2030-04-01,52.0,13750.943262860666,11595.681353267555,16351.24821818367,13750.943262860666,9953.124919965316,18332.97842642543,681842.8050906922,5003.773051442666,-22628.779637230873,,0.609402085781526,Medium confidence
2030-05-01,53.0,12628.510024231698,10641.86918054925,15174.595598734992,12628.510024231698,9127.82131289699,17115.004428642787,694471.315114924,514.0400969267939,-22114.73954030408,,0.6324723264888295,Medium confidence
2030-06-01,54.0,12106.935664361295,10268.23742126578,14700.666118099685,12106.935664361295,8866.938760228228,16677.385803107358,706578.2507792853,-1572.257342554818,-23686.996882858897,,0.6451217102958026,Medium confidence
2030-07-01,55.0,12633.821501063952,10637.730191318786,15355.87480132983,12633.821501063952,9116.479986094495,17430.391193162417,719212.0722803493,535.2860042558095,-23151.710878603088,,0.6580678067764137,Low confidence
2030-08-01,56.0,12510.692316587158,10821.159329027623,15189.005927676477,12510.692316587158,9533.541677715732,17230.187666524285,731722.7645969365,42.76926634863048,-23108.941612254457,,0.6152054413478651,Medium confidence
2030-09-01,57.0,12032.00799649428,10399.231908470923,14666.75589840547,12032.00799649428,9154.869515395854,16674.73557695453,743754.7725934308,-1871.968014022881,-24980.90962627734,,0.6249884527274849,Medium confidence
