zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
27949,Kitty Hawk,NC,728,36.0646,-75.7057,NC,Dare,True
28034,Dallas,NC,728,35.3349,-81.1862,NC,Gaston,True
28043,Forest City,NC,728,35.325,-81.846,NC,Rutherford,True
28056,Gastonia,NC,728,35.2172,-81.1252,NC,Gaston,True
28146,Salisbury,NC,728,35.6187,-80.4022,NC,Rowan,True
28152,Shelby,NC,1456,35.2689,-81.5337,NC,Cleveland,True
28390,Spring Lake,NC,728,35.183,-78.9786,NC,Cumberland,True
28607,Boone,NC,728,36.2142,-81.666,NC,Watauga,True
28621,Elkin,NC,728,36.2872,-80.8554,NC,Surry,True
28625,Statesville,NC,728,35.8651,-80.8858,NC,Iredell,True
28673,Sherrills Ford,NC,727,35.5962,-81.0339,NC,Catawba,True
28697,Wilkesboro,NC,1455,36.1359,-81.1573,NC,Wilkes,True
28734,Franklin,NC,728,35.181,-83.3885,NC,Macon,True
28792,Hendersonville,NC,1455,35.3613,-82.4264,NC,Henderson,True
28803,Asheville,NC,728,35.5393,-82.518,NC,Buncombe,True
29579,Myrtle Beach,SC,728,33.7377,-78.9787,SC,Horry,True
29585,Pawleys Island,SC,803,33.4508,-79.1341,SC,Georgetown,True
29607,Greenville,SC,2182,34.8285,-82.3516,SC,Greenville,True
29621,Anderson,SC,728,34.5261,-82.6304,SC,Anderson,True
29625,Anderson,SC,728,34.5271,-82.7087,SC,Anderson,True
29640,Easley,SC,728,34.829,-82.5796,SC,Pickens,True
29681,Simpsonville,SC,1456,34.7512,-82.255,SC,Greenville,True
29687,Taylors,SC,1456,34.9245,-82.3197,SC,Greenville,True
30013,Conyers,GA,1456,33.6436,-83.9684,GA,Rockdale,True
30022,Alpharetta,GA,727,34.0268,-84.2422,GA,Fulton,True
30024,Suwanee,GA,728,34.0425,-84.0262,GA,Gwinnett,True
30040,Cumming,GA,728,34.2321,-84.158,GA,Forsyth,True
30043,Lawrenceville,GA,1455,34.0031,-84.0126,GA,Gwinnett,True
30044,Lawrenceville,GA,641,33.9418,-84.0706,GA,Gwinnett,True
30047,Lilburn,GA,727,33.8656,-84.0725,GA,Gwinnett,True
30052,Loganville,GA,719,33.8769,-83.8968,GA,Gwinnett,True
30058,Lithonia,GA,728,33.7356,-84.1009,GA,DeKalb,True
30062,Marietta,GA,1456,34.0025,-84.4633,GA,Cobb,True
30093,Norcross,GA,634,33.906,-84.184,GA,Gwinnett,True
30106,Austell,GA,728,33.8369,-84.6307,GA,Cobb,True
30114,Canton,GA,727,34.2505,-84.4909,GA,Cherokee,True
30120,Cartersville,GA,728,34.187,-84.8204,GA,Bartow,True
30121,Cartersville,GA,728,34.2079,-84.7673,GA,Bartow,True
30122,Lithia Springs,GA,728,33.7655,-84.6469,GA,Douglas,True
30125,Cedartown,GA,728,34.0112,-85.2459,GA,Polk,True
30127,Powder Springs,GA,728,33.9135,-84.6859,GA,Cobb,True
30134,Douglasville,GA,728,33.7606,-84.7477,GA,Douglas,True
30161,Rome,GA,728,34.2507,-85.1465,GA,Floyd,True
30168,Austell,GA,728,33.7838,-84.5952,GA,Cobb,True
30189,Woodstock,GA,728,34.1281,-84.5717,GA,Cherokee,True
30223,Griffin,GA,728,33.2549,-84.2728,GA,Spalding,True
30233,Jackson,GA,728,33.282,-83.9784,GA,Butts,True
30252,McDonough,GA,727,33.4768,-84.055,GA,Henry,True
30341,Atlanta,GA,728,33.8879,-84.2905,GA,DeKalb,True
30401,Swainsboro,GA,727,32.5699,-82.3462,GA,Emanuel,True
30512,Blairsville,GA,726,34.8763,-83.992,GA,Union,True
30518,Sugar Hill,GA,728,34.1124,-83.9965,GA,Gwinnett,True
30534,Dawsonville,GA,728,34.4537,-84.155,GA,Dawson,True
30605,Athens,GA,727,33.9321,-83.3525,GA,Clarke,True
30606,Athens,GA,726,33.9461,-83.418,GA,Clarke,True
30680,Winder,GA,727,33.9985,-83.7115,GA,Barrow,True
30830,Waynesboro,GA,727,33.1013,-81.9908,GA,Burke,True
