zip5,total_washes,avg_washes,n_site_days,retail_total,membership_total,voucher_total,precip_mean,snowfall_mean,sunshine_mean,wind_mean,region,state,city,retail_share,membership_share,voucher_share,latitude,longitude,has_lat_lon,kmeans_cluster,dbscan_cluster,tsne_x,tsne_y
10312,99129,136.54132231404958,726,79067,20062,0,1107.6,49.489999999999995,2999.7284530000006,17.71065574,Northeast,NY,STATEN ISLAND,0.7976172462145286,0.20238275378547146,0.0,40.5457,-74.1792,True,1,0,-4.2980967,12.189188
11558,79820,109.94490358126721,726,70392,9428,0,1218.6,45.08,3076.026283,19.83907104,Northeast,NY,Island Park,0.8818842395389627,0.11811576046103733,0.0,40.604,-73.6554,True,1,0,-5.6902523,14.381048
11566,79282,108.90384615384616,728,71642,7639,1,1237.9,40.81,3057.610064,20.18196721,Northeast,NY,Merrick,0.9036351252491107,0.09635226154738781,1.2613203501425292e-05,40.6685,-73.5536,True,1,0,-5.7726135,15.015648
11694,81656,112.62896551724138,725,69331,12325,0,1178.9,47.67,3063.3009280000006,18.4920765,Northeast,NY,ROCKAWAY PARK,0.8490619182913687,0.15093808170863132,0.0,40.5766,-73.8428,True,1,0,-5.074479,13.432699
11703,45402,63.410614525139664,716,43099,2303,0,1172.9,45.92,3068.2412000000004,19.35081967,Northeast,NY,North Babylon,0.9492753623188406,0.050724637681159424,0.0,40.7321,-73.3236,True,1,0,-6.177899,17.103895
11717,59276,91.61669242658424,647,59276,0,0,1129.8,45.99,3024.332583,17.48142077,Northeast,NY,Brentwood,1.0,0.0,0.0,40.7809,-73.2503,True,1,0,-6.009112,18.5863
11743,66905,92.28275862068965,725,63578,3327,0,1200.6,50.89,2993.263531,17.20874317,Northeast,NY,Huntington,0.9502727748299828,0.04972722517001719,0.0,40.8676,-73.4102,True,1,0,-5.4104033,17.324852
11746,114498,157.27747252747253,728,104244,10254,0,1200.6,50.89,2993.2635310000005,17.20874317,Northeast,NY,Huntington Station,0.9104438505476078,0.08955614945239218,0.0,40.8143,-73.3634,True,1,0,-5.3215837,15.919703
11783,82000,112.94765840220386,726,78046,3954,0,1237.9,40.81,3057.6100639999995,20.18196721,Northeast,NY,Seaford,0.951780487804878,0.04821951219512195,0.0,40.6795,-73.491,True,1,0,-6.504942,16.8939
11901,20677,34.00822368421053,608,20677,0,0,1064.7,50.12,3093.974722,21.91010929,Northeast,NY,Riverhead,1.0,0.0,0.0,40.9262,-72.652,True,1,-1,-7.39832,17.77014
12095,288850,396.77197802197804,728,234247,53772,831,1278.0,126.35000000000001,2812.526017,19.47923497,Northeast,NY,Johnstown,0.8109641682534188,0.1861589060065778,0.002876925740003462,43.0069,-74.3715,True,1,-1,-13.150496,12.054218
12866,44789,65.10029069767442,688,24502,1238,19049,1368.0,96.18000000000002,2865.245406,17.05163934,Northeast,NY,Saratoga Springs,0.5470539641429816,0.027640715354216437,0.425305320502802,43.0708,-73.7408,True,2,-1,-16.08991,6.3596435
14304,80951,111.34938101788171,727,73233,7718,0,873.2,123.54999999999998,2779.106392,20.49453552,Northeast,NY,Niagara Falls,0.90465837358402,0.09534162641598004,0.0,43.0908,-78.9644,True,1,-1,-11.392849,14.349369
17078,249363,343.0027510316369,727,204402,42628,2333,975.2,41.65,2999.818081,19.20218579,Northeast,PA,Palmyra,0.81969658690343,0.1709475744196212,0.009355838676948865,40.3011,-76.5886,True,1,0,-5.1523395,10.808255
17201,67046,92.22283356258598,727,51967,12127,2952,833.6000000000001,36.19,2979.2770809999997,18.41830601,Northeast,PA,Chambersburg,0.7750947110938758,0.18087581660352595,0.04402947230259822,39.9313,-77.6579,True,1,-1,-3.6145635,11.831775
17602,67603,103.68558282208589,652,67603,0,0,1008.0,34.58,3022.467342,19.1431694,Northeast,PA,Lancaster,1.0,0.0,0.0,40.0335,-76.2844,True,1,0,-6.593935,18.714386
18104,156817,215.70426409903715,727,146342,10475,0,1010.5,50.89,2992.222094,18.65409836,Northeast,PA,Allentown,0.9332023951484851,0.06679760485151483,0.0,40.6018,-75.5225,True,1,0,-6.6560583,15.924705
18202,170367,234.34250343878955,727,151962,18108,297,973.7,58.8,2942.17735,20.54098361,Northeast,PA,Hazleton,0.8919685150293191,0.10628818961418585,0.001743295356495096,40.9506,-76.0487,True,1,0,-7.4022484,13.303333
19115,193391,280.68359941944846,689,193391,0,0,1016.3,31.5,2985.32355,17.84125683,Northeast,PA,Philadelphia,1.0,0.0,0.0,40.0903,-75.041,True,1,0,-6.302004,20.698223
19132,230816,326.47241867043846,707,230816,0,0,997.7,30.449999999999996,3001.8825670000006,16.99480874,Northeast,PA,Philadelphia,1.0,0.0,0.0,39.9954,-75.1698,True,1,0,-5.761227,21.337376
19139,127999,186.0450581395349,688,127999,0,0,997.6999999999999,30.45,3001.882567,16.99480874,Northeast,PA,Philadelphia,1.0,0.0,0.0,39.9612,-75.2303,True,1,0,-5.702329,19.990099
19141,229981,331.86291486291486,693,229981,0,0,989.4,31.92,3004.670286,17.50218579,Northeast,PA,Philadelphia,1.0,0.0,0.0,40.0365,-75.1451,True,1,0,-6.7486815,21.215038
19144,151428,219.4608695652174,690,151428,0,0,989.4,31.920000000000005,3004.670286,17.50218579,Northeast,PA,Philadelphia,1.0,0.0,0.0,40.0338,-75.1731,True,1,0,-6.2750907,20.038721
19146,174932,249.54636233951499,701,174932,0,0,997.7,30.45,3001.882567,16.99480874,Northeast,PA,Philadelphia,1.0,0.0,0.0,39.9379,-75.1794,True,1,0,-5.521346,20.675026
19151,183372,264.6060606060606,693,183372,0,0,994.3000000000001,31.64,2978.327381,17.87103825,Northeast,PA,Philadelphia,1.0,0.0,0.0,39.9772,-75.2545,True,1,0,-6.817559,20.45118
19153,242027,349.24531024531024,693,242027,0,0,1032.7,31.36,2989.578742,17.2442623,Northeast,PA,Philadelphia,1.0,0.0,0.0,39.9055,-75.2444,True,1,0,-6.262352,21.519255
19348,289335,397.4381868131868,728,261630,23635,4070,1066.0,32.69,2965.689661,20.88606557,Northeast,PA,Kennett Square,0.9042459432837369,0.08168731746936941,0.01406673924689374,39.855,-75.7,True,1,-1,-6.9756846,11.869695
19382,105849,157.27934621099556,673,105849,0,0,1023.4,34.79,3013.762967,19.63415301,Northeast,PA,West Chester,1.0,0.0,0.0,39.9441,-75.5882,True,1,0,-6.6801724,19.206686
19947,92755,127.41071428571429,728,77842,12863,2050,1306.7,50.61,3031.4080110000004,19.29972678,South,DE,Georgetown,0.8392216053042962,0.13867716026090238,0.02210123443480136,38.679,-75.3932,True,1,0,-5.090607,13.837329
21117,430671,591.5810439560439,728,322775,66144,41752,1164.3,38.64,3033.9760360000005,19.00655738,South,MD,Owings Mills,0.7494700130726238,0.15358359397312565,0.09694639295425046,39.4269,-76.7769,True,0,-1,-1.9531848,-5.8410544
22026,596499,819.3667582417582,728,433952,104452,58095,1198.1,51.59,2996.361083,16.72103825,South,VA,Dumfries,0.7274982858311582,0.17510842432258897,0.09739328984625288,38.5669,-77.2921,True,0,-1,-2.4368405,-6.789847
22554,404179,555.190934065934,728,289510,75686,38983,1306.0,57.050000000000004,3061.905775,16.98224044,South,VA,Stafford,0.7162915440930875,0.18725861561337923,0.09644984029353332,38.4586,-77.4306,True,0,-1,-2.2559998,-5.84991
23223,408286,280.4162087912088,1456,333112,73460,1714,1080.5,46.83,3167.458703,16.46311475,South,VA,Richmond,0.8158790651651049,0.17992289718481652,0.004198037650078621,37.5477,-77.3948,True,4,-1,2.8758187,-21.20322
23434,143380,196.95054945054946,728,115730,25574,2076,1215.4,31.08,3125.555222,17.23825137,South,VA,Suffolk,0.8071558097363649,0.17836518342865113,0.01447900683498396,36.7304,-76.5931,True,5,1,1.026077,7.1363263
23701,190003,260.99313186813185,728,147001,41352,1650,1205.7,32.41,3167.527408,17.75191257,South,VA,Portsmouth,0.7736772577275096,0.21763866886312322,0.008684073409367221,36.8089,-76.3671,True,5,1,0.6677543,6.667427
24012,32194,44.65187239944522,721,30553,1638,3,943.2,42.49,3256.9484189999994,16.05928962,South,VA,Roanoke,0.949027769149531,0.05087904578492887,9.318506554016276e-05,37.3029,-79.9322,True,1,-1,-3.0906634,17.743942
24018,108602,155.59025787965615,698,74603,243,33756,961.4,39.34,3241.667017,15.96174863,South,VA,Cave Spring,0.6869394670448058,0.0022375278539990056,0.3108230051011952,37.2503,-80.0525,True,2,-1,9.560035,-15.044173
24060,107222,147.48555708390646,727,90791,10869,5562,903.6000000000001,40.32,3197.0293000000006,17.13907104,South,VA,Blacksburg,0.8467571953517002,0.10136912200854302,0.051873682639756766,37.2563,-80.4347,True,1,-1,-1.6500915,10.52765
24083,198937,273.2651098901099,728,168041,30894,2,977.1999999999999,47.67,3205.3406439999994,16.47923497,South,VA,Daleville,0.8446945515414428,0.1552953950245555,1.0053434001719137e-05,37.4125,-79.9211,True,1,1,-1.0304871,9.148143
