month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
11,2027-05,11,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,0.9886069646412594,9997.485651327665,9.210188925641532,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11302.09427508672,4899.826090347763,26069.769140292465,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
12,2027-06,12,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,0.9962339771274574,10494.13895620785,9.25866747239651,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12537.614929654717,5435.464547351288,28919.660270969976,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
13,2027-07,13,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,1.000674373795761,10283.215772089183,9.238365549504568,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11493.199273263841,4982.676333256123,26510.57799065001,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
14,2027-08,14,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,1.0019627669065605,11046.544080119409,9.30996342705074,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,13076.698401172716,5669.17479558746,30163.127305287722,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
15,2027-09,15,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,1.0019627669065605,9936.145953077435,9.204035130964641,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11279.211001082227,4889.905445530019,26016.98585465078,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
16,2027-10,16,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,1.0019627669065605,11253.86362284596,9.328555636239074,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,13916.250834325901,6033.148127967698,32099.665576935295,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
17,2027-11,17,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,1.0019627669065605,8489.812699047816,9.046739998993589,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10955.275105138602,4749.468680810804,25269.78504230936,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
18,2027-12,18,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,1.0030425963488845,8612.351696477965,9.061068801170192,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11317.344845274336,4906.437709387491,26104.946589212297,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
19,2028-01,19,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,0.9955018273826258,9188.691446073717,9.125837639821306,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8939.266175211847,3875.4631281404872,20619.59489977887,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
20,2028-02,20,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,1.0124586166484875,9933.178200642698,9.203736433964497,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10783.61746447459,4675.049500979054,24873.834083632388,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
21,2028-03,21,3,1.0,6.123233995736766e-17,32.7767,-96.797,2,0,10527.75,10036.875,1.2569037468644897,15,cbsa,0.953373227897699,10527.75,1.2569037468644897,0,0,,0.9970786839710741,13193.712491083557,9.48757145946802,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,12704.299284340383,5507.727645681826,29304.139690464162,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
22,2028-04,22,4,0.8660254037844387,-0.49999999999999983,32.7767,-96.797,2,0,10527.75,10036.875,0.9533043622806392,15,cbsa,0.953373227897699,10527.75,0.9533043622806392,0,0,,1.0124586166484875,10161.186545476718,9.22642890914684,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11632.553296129785,5043.090842320925,26832.016399891938,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
23,2028-05,23,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,1.0067487922705314,10180.948511594203,9.228371677642798,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11760.741798510619,5098.664734482906,27127.70006542945,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
24,2028-06,24,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,1.0,10533.809523809523,9.262440245753009,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11705.29797342996,3237.060402639653,42326.67408215671,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
25,2028-07,25,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,1.0,10276.285714285714,9.237691468570308,1,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10448.687630765273,2889.5490799018044,37782.73709371198,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
