cluster_id,role,client_name,client_id,site_id,address,state,lat,lon,opened,carwash_type,dist_from_entrant_km,wash_per_mo,wash_before_entry,wash_after_entry,decline_pct,google_maps_all_markers,google_earth
7.0,entrant,Big Dan's,bigdans_000378,18.0,5225 24th St E,FL,27.448146,-82.533542,2023-07-01,Express Tunnel,0.0,8481.0,,,,"https://www.google.com/maps/dir/27.448146,-82.533542/27.4621466,-82.567598","https://earth.google.com/web/@27.455146,-82.550570,0a,7055d,35y,0h,0t,0r"
7.0,neighbor,Car Wash On 5th,bluedolphincw_000185,1.0,505 Cortez Rd W,FL,27.4621466,-82.567598,2020-01-01,Full Service,3.7,,3269.0,1762.0,46.1,"https://www.google.com/maps/dir/27.448146,-82.533542/27.4621466,-82.567598","https://earth.google.com/web/@27.455146,-82.550570,0a,7055d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8.0,entrant,ClearWater,clearwater_000397,23.0,7310 Union Park Ln,TX,30.161315,-97.723914,2024-12-01,Express Tunnel,0.0,14936.0,,,,"https://www.google.com/maps/dir/30.161315,-97.723914/30.2738504,-97.7629511","https://earth.google.com/web/@30.217583,-97.743433,0a,21095d,35y,0h,0t,0r"
8.0,neighbor,Complete Auto Detail & Car Wash,completeadcw_000179,1.0,1516 W 5th St,TX,30.2738504,-97.7629511,2020-01-01,Hand Wash / Detail,13.1,,875.0,478.0,45.4,"https://www.google.com/maps/dir/30.161315,-97.723914/30.2738504,-97.7629511","https://earth.google.com/web/@30.217583,-97.743433,0a,21095d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9.0,entrant,ClearWater,clearwater_000397,19.0,3925 East US Hwy 377,TX,32.456287,-97.7267,2024-08-01,Express Tunnel,0.0,8572.0,,,,"https://www.google.com/maps/dir/32.456287,-97.7267/32.453117,-97.732979","https://earth.google.com/web/@32.454702,-97.729839,0a,2529d,35y,0h,0t,0r"
9.0,neighbor,Zips Express Car Wash,zips_000468,17.0,3601 E US Hwy 377,TX,32.453117,-97.732979,2022-09-01,Express Tunnel,0.7,,4302.0,2352.0,45.3,"https://www.google.com/maps/dir/32.456287,-97.7267/32.453117,-97.732979","https://earth.google.com/web/@32.454702,-97.729839,0a,2529d,35y,0h,0t,0r"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
10.0,entrant,Thoroughbred,thoroughbredcw_000304,8.0,1332 E John Rowan Blvd,KY,37.825304,-85.453567,2022-05-01,Express Tunnel,0.0,6465.0,,,,"https://www.google.com/maps/dir/37.825304,-85.453567/37.8601265,-85.5185246","https://earth.google.com/web/@37.842715,-85.486046,0a,11841d,35y,0h,0t,0r"
