cluster_id,n_sites,avg_pairwise_corr,min_pairwise_corr,radius_km,dominant_state,members
35,3,0.8713381876307262,0.8037552126443104,4.988655577633215,NY,"Flawless Auto Bath Inc__1, H2O Auto Spa__1, Staten Island Auto Bath Inc__1"
48,3,0.8702742546660337,0.7981330925481981,6.703499157525666,GA,"Aqua Blue Car Wash__1, Aqua Blue Car Wash__3, Orbit Car Wash__1"
21,3,0.8633967227872213,0.7839212687152393,7.948138951502049,GA,"Big Peach Car Wash__5, Big Peach Car Wash__7, Presto Conyers Car Wash__1"
33,3,0.8605011336468181,0.8145890035508262,12.29961401072764,FL,"Boca Best Car Wash__1, Car Wash Palace__1, Cool Clean Car Wash__1"
22,3,0.8484591611034551,0.7984309691925855,5.85354327163491,GA,"Gloss Car Wash__1, Mr Clean Car Wash__12, Mr Clean Car Wash__13"
41,3,0.8387316233716987,0.7414237435885307,11.67634347099406,IN,"Drip Auto Spa__1, Wash Up__3, Wash Up__7"
28,3,0.8321433708895176,0.7237683636701824,4.314544214722105,CA,"Extreme Express__1, Monkey Shine Car Wash__1, Stevens Creek Xpress__1"
39,3,0.8287709883466473,0.7211963566290629,6.957237598962699,MI,"Ford Road Car Wash__1, Splash Auto Wash__1, Suds N Vac__1"
44,3,0.8247352317923592,0.7007228265603825,9.781852876510781,MS,"Century Car Wash__2, Century Car Wash__4, Century Car Wash__8"
23,3,0.816107951245901,0.7263251172448085,5.726701815205021,FL,"Go Clean Car Wash__1, Go Clean Car Wash__2, Super Suds__1"
29,3,0.806620926280445,0.7345080990314099,11.58917911119179,AZ,"Fast Lap Car Wash__1, Sonoran Express Car Wash__2, Super Shine Car Wash__1"
31,3,0.7749206406029896,0.7299499984945622,3.384346134441168,CA,"Fast N Furious Speed Wash__1, Magic Brush__3, Magnus Car Wash__1"
