client_id,site_id,address1,company_name,file_name,matched_address_in_file,year_5_max_hourly[car_wash_volume_estimate],tunnel_length_predicted,tunnel_length_actual,project_cost_total_investment[car_wash_acquisition_budget],project_cost_owner_investment[car_wash_acquisition_budget],project_cost_bank_debt_total[car_wash_acquisition_budget],total_debt_monthly_payment[bank_debt_allocation],2020_volume,2021_volume,2022_volume,2023_volume,2024_volume,2025_volume,2026_volume,operational_start
floriscarwash_000233,1,3893 McCoy Rd,HGreg,"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (vehicle market)_0695w00000WO90AAAT.xlsx","3893 McCoy Rd., Orlando, FL 32812, Average Daily Wash Hours",109.07,39.3386,,0.0,,,0.0,32794.0,127941.0,156416.0,158872.0,94908.0,,,06-2020
linkscw_000673,1,3893 McCoy Rd,HGreg,"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (vehicle market)_0695w00000WO90AAAT.xlsx","3893 McCoy Rd., Orlando, FL 32812, Average Daily Wash Hours",109.07,39.3386,,0.0,,,0.0,,,,,48737.0,134753.0,52294.0,08-2024
floriscarwash_000233,1,3893 McCoy Rd,HGreg,"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (vehicle market)_0695w00000WO90AAAT.xlsx","3893 McCoy Rd, Orlando, FL 32812 (vehicle market)",109.07,39.3386,,0.0,,,0.0,32794.0,127941.0,156416.0,158872.0,94908.0,,,06-2020
linkscw_000673,1,3893 McCoy Rd,HGreg,"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (vehicle market)_0695w00000WO90AAAT.xlsx","3893 McCoy Rd, Orlando, FL 32812 (vehicle market)",109.07,39.3386,,0.0,,,0.0,,,,,48737.0,134753.0,52294.0,08-2024
floriscarwash_000233,1,3893 McCoy Rd,HGreg,"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (vehicle market)_0695w00000WO90AAAT.xlsx","3893 McCoy Rd., Orlando, FL 32812",109.07,39.3386,,0.0,,,0.0,32794.0,127941.0,156416.0,158872.0,94908.0,,,06-2020
linkscw_000673,1,3893 McCoy Rd,HGreg,"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (vehicle market)_0695w00000WO90AAAT.xlsx","3893 McCoy Rd., Orlando, FL 32812",109.07,39.3386,,0.0,,,0.0,,,,,48737.0,134753.0,52294.0,08-2024
000003_hurricane,3,11235 Hwy 44 E,Hurricance Bay,"SONNY'S Express Proforma - 11235 Hwy 44 E, Mt Washington, KY 40047_069Uc00000Qk9EEIAZ.pdf","11235 Hwy 44 E, Mt Washington, KY 40047",57.0,23.4684,,1500000.0,300000.0,1200000.0,10070.36,,,,,,2108.0,3492.0,09-2025
bigdans_000378,19,118 301 Blvd W,Hutton Wash LLC - Modwash PARTS,Sonny's Express Exterior Proforma_0695w00000AAVe5AAH.xlsx,118 301 Blvd. W,172.6,58.7016,,0.0,0.0,0.0,0.0,,,,17186.0,141809.0,175325.0,83610.0,11-2023
bigdans_000378,19,118 301 Blvd W,Hutton Wash LLC - Modwash PARTS,Sonny's Express Exterior Proforma_0695w00000AAVe5AAH.xlsx,"118 301 Blvd. W, Bradenton, FL 34205",172.6,58.7016,,0.0,0.0,0.0,0.0,,,,17186.0,141809.0,175325.0,83610.0,11-2023
bigdans_000378,19,118 301 Blvd W,Hutton Wash LLC - Modwash PARTS,Sonny's Express Exterior Proforma_0695w00000AAVe5AAH.xlsx,"118 301 Blvd. W, Bradenton, FL 34205, Average Daily Wash Hours",172.6,58.7016,,0.0,0.0,0.0,0.0,,,,17186.0,141809.0,175325.0,83610.0,11-2023
primocw_000691,1,13106 Valley Blvd,INDEPENDENT STATION,"Sonny's Express Exterior Proforma 13106 Valley Blvd., La Puente_0695w00000QAu7fAAD.xlsx",13106 Valley blvd.,119.11,42.3986,,0.0,0.0,0.0,0.0,,,,,,27403.0,20988.0,04-2025
