loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
15,"27.4481,-82.5335",cross_operator,2,2,Sud Stop,sudstop_000639,1,27.448146,-82.533542,03-2024,2024-03,2026-05,27,216396,58572,274968
16,"27.7189,-82.6757",cross_operator,2,2,Radiant Express Car Wash,radiantcw_000133,9,27.718876,-82.6757459,08-2024,2024-08,2026-05,22,43791,18192,61983
16,"27.7189,-82.6757",cross_operator,2,2,Vortex Express,vortexexpress_000684,1,27.718876,-82.6757459,02-2025,2025-02,2026-05,16,65047,35888,100935
17,"28.1237,-82.7402",cross_operator,2,2,Jallo Car Wash,jallocw_000405,1,28.1237294,-82.7402156,05-2022,2022-05,2024-12,32,209126,103143,312269
17,"28.1237,-82.7402",cross_operator,2,2,Links Car Wash,linkscw_000673,5,28.1237294,-82.7402156,12-2024,2024-12,2026-05,18,69525,29789,99314
18,"28.258,-81.4853",cross_operator,2,2,Avatar,avatar_000499,1,28.257953,-81.485295,03-2023,2023-03,2024-07,17,122528,71460,193988
18,"28.258,-81.4853",cross_operator,2,2,Waters Car Wash,waterscarwash_000245,10,28.257953,-81.485295,07-2024,2024-07,2025-05,11,98090,47049,145139
19,"28.33,-82.5597",cross_operator,2,2,Jallo Car Wash,jallocw_000405,3,28.3299935,-82.5597034,08-2023,2023-08,2024-12,17,51247,31719,82966
19,"28.33,-82.5597",cross_operator,2,2,Links Car Wash,linkscw_000673,4,28.3299935,-82.5597034,12-2024,2024-12,2026-05,18,85226,29693,114919
20,"28.452,-81.3345",cross_operator,2,2,Floris Car Wash,floriscarwash_000233,1,28.452047,-81.3345029,06-2020,2020-06,2024-08,51,385774,185157,570931
20,"28.452,-81.3345",cross_operator,2,2,Links Car Wash,linkscw_000673,1,28.452047,-81.3345029,08-2024,2024-08,2026-05,22,161775,74009,235784
21,"28.4971,-81.3093",cross_operator,2,2,El Car Wash,elcarwash_000738,8,28.497137,-81.309304,04-2025,2025-04,2025-07,4,43546,13762,57308
21,"28.4971,-81.3093",cross_operator,2,2,Wash City,washcity_000125,9,28.497137,-81.309304,05-2022,2022-05,2025-04,36,370022,162945,532967
22,"28.5969,-81.217",cross_operator,2,2,El Car Wash,elcarwash_000738,10,28.59694,-81.217049,04-2025,2025-04,2025-07,4,21088,10358,31446
22,"28.5969,-81.217",cross_operator,2,2,Wash City,washcity_000125,1,28.59694,-81.217049,01-2020,2020-01,2025-04,64,500301,440165,940466
23,"28.5979,-81.2838",cross_operator,2,2,El Car Wash,elcarwash_000738,12,28.597897,-81.283844,04-2025,2025-04,2025-07,4,17784,4348,22132
23,"28.5979,-81.2838",cross_operator,2,2,Wash City,washcity_000125,12,28.597897,-81.283844,04-2024,2024-04,2025-04,13,49020,20989,70009
24,"28.6409,-81.3232",cross_operator,2,2,El Car Wash,elcarwash_000738,11,28.64087,-81.323187,04-2025,2025-04,2025-08,5,31119,10523,41642
24,"28.6409,-81.3232",cross_operator,2,2,Wash City,washcity_000125,11,28.64087,-81.323187,12-2022,2022-12,2025-04,29,189365,102864,292229
25,"28.6723,-81.4749",cross_operator,2,2,El Car Wash,elcarwash_000738,9,28.672291,-81.474933,04-2025,2025-04,2025-07,4,58703,19366,78069
25,"28.6723,-81.4749",cross_operator,2,2,Wash City,washcity_000125,3,28.672291,-81.474933,06-2020,2020-06,2025-04,59,862486,535981,1398467
26,"29.7004,-95.9068",cross_operator,2,2,BlueWave,bluewave_000567,40,29.700376,-95.906834,10-2023,2023-10,2026-05,32,320932,104471,425403
26,"29.7004,-95.9068",cross_operator,2,2,Clean,clean_000473,6,29.700376,-95.906834,11-2025,2025-11,2026-05,7,14616,10606,25222
27,"29.7537,-95.8632",cross_operator,2,2,BlueWave,bluewave_000567,49,29.7536574,-95.8632474,02-2026,2026-02,2026-05,4,37957,6904,44861
27,"29.7537,-95.8632",cross_operator,2,2,ClearWater,clearwater_000397,1,29.7536574,-95.8632474,03-2022,2022-03,2026-02,48,484595,115019,599614
28,"29.7864,-95.7359",cross_operator,2,2,BlueWave,bluewave_000567,57,29.7863963,-95.7358777,02-2026,2026-02,2026-05,4,41668,10293,51961
28,"29.7864,-95.7359",cross_operator,2,2,ClearWater,clearwater_000397,11,29.7863963,-95.7358777,12-2022,2022-12,2026-02,39,351700,111075,462775
29,"29.801,-95.4098",cross_operator,2,2,BlueWave,bluewave_000567,63,29.801015,-95.409759,02-2026,2026-02,2026-05,4,35974,12729,48703
