state,calendar_month,month_level,ref_level,peer_count,seasonal_factor,ref_recent
AL,1,6803.75,7673.206896551724,9,0.8866892411121547,7508.148936170212
AL,2,7884.5,7673.206896551724,9,1.0275364793751658,7508.148936170212
AL,3,10000.375,7673.206896551724,9,1.3032849413319074,7508.148936170212
AL,4,10004.625,7673.206896551724,9,1.3038388166616486,7508.148936170212
AL,5,7467.4,7673.206896551724,9,0.9731785028963298,7508.148936170212
AL,6,7172.4,7673.206896551724,9,0.9347330388319409,7508.148936170212
AL,7,7434.1,7673.206896551724,9,0.9688387267832989,7508.148936170212
AL,8,7811.363636363636,7673.206896551724,9,1.0180050846633626,7508.148936170212
AL,9,7661.166666666667,7673.206896551724,9,0.9984308738122951,7508.148936170212
AL,10,9432.666666666666,7673.206896551724,9,1.229299143609125,7508.148936170212
AL,11,7701.666666666667,7673.206896551724,9,1.0037089798957113,7508.148936170212
AL,12,6605.8,7673.206896551724,9,0.8608916831069149,7508.148936170212
AR,1,8902.0,9941.45,2,0.8954428176976195,10494.75
AR,2,7964.0,9941.45,2,0.801090384199488,10494.75
AR,3,14909.0,9941.45,2,1.499680630089172,10494.75
AR,4,11125.5,9941.45,2,1.11910234422544,10494.75
AR,5,9932.0,9941.45,2,0.9990494344386381,10494.75
AR,6,9967.5,9941.45,2,1.002620342103013,10494.75
AR,7,10812.5,9941.45,2,1.0876180034099652,10494.75
AR,8,12259.5,9941.45,2,1.2331702115888525,10494.75
AR,9,11096.0,9941.45,2,1.1161349702508185,10494.75
AR,10,10674.333333333334,9941.45,2,1.0737199637209194,10494.75
AR,11,8071.666666666667,9941.45,2,0.8119204609656203,10494.75
AR,12,7776.333333333333,9941.45,2,0.7822131915699755,10494.75
AZ,1,4739.454545454545,4947.4,9,0.9579687402382151,4115.978723404255
AZ,2,5026.727272727273,4947.4,9,1.0160341336312555,4115.978723404255
AZ,3,5092.0,4947.4,9,1.0292274730161297,4115.978723404255
AZ,4,5992.0,4947.4,9,1.2111412054816673,4115.978723404255
AZ,5,6019.166666666667,4947.4,9,1.2166323051838677,4115.978723404255
AZ,6,4894.071428571428,4947.4,9,0.9892208894715262,4115.978723404255
AZ,7,5274.142857142857,4947.4,9,1.066043347443679,4115.978723404255
AZ,8,5107.133333333333,4947.4,9,1.0322863187398095,4115.978723404255
AZ,9,4523.0,4947.4,9,0.9142175688240288,4115.978723404255
AZ,10,5065.933333333333,4947.4,9,1.023958712320276,4115.978723404255
AZ,11,3976.375,4947.4,9,0.8037302421473906,4115.978723404255
AZ,12,4410.0625,4947.4,9,0.8913899219792215,4115.978723404255
CA,1,5380.15,6951.235191637631,34,0.7739847453978173,7293.422222222222
CA,2,4443.90243902439,6951.235191637631,34,0.6392968035911698,7293.422222222222
CA,3,5515.609756097561,6951.235191637631,34,0.7934718944242983,7293.422222222222
CA,4,7004.619047619048,6951.235191637631,34,1.0076797654675298,7293.422222222222
CA,5,8025.522727272727,6951.235191637631,34,1.1545462793328398,7293.422222222222
CA,6,8481.066666666668,6951.235191637631,34,1.2200805227924716,7293.422222222222
CA,7,8518.0,6951.235191637631,34,1.225393727182069,7293.422222222222
CA,8,8869.288461538461,6951.235191637631,34,1.2759298480086327,7293.422222222222
CA,9,7964.711538461538,6951.235191637631,34,1.145798022780631,7293.422222222222
CA,10,7536.423076923077,6951.235191637631,34,1.0841847339577044,7293.422222222222
CA,11,5878.962962962963,6951.235191637631,34,0.8457436413654055,7293.422222222222
CA,12,5807.12962962963,6951.235191637631,34,0.8354097465462877,7293.422222222222
CO,1,10741.142857142857,8907.670103092783,7,1.2058307877178212,7701.648648648648
CO,2,11023.42857142857,8907.670103092783,7,1.2375209728076018,7701.648648648648
CO,3,10753.857142857143,8907.670103092783,7,1.2072581290503064,7701.648648648648
CO,4,8797.142857142857,8907.670103092783,7,0.987591901735163,7701.648648648648
CO,5,10219.0,8907.670103092783,7,1.1472135678275643,7701.648648648648
CO,6,10499.888888888889,8907.670103092783,7,1.1787469413851865,7701.648648648648
CO,7,9486.777777777777,8907.670103092783,7,1.0650122498905663,7701.648648648648
CO,8,8554.727272727272,8907.670103092783,7,0.9603776491180372,7701.648648648648
CO,9,7647.636363636364,8907.670103092783,7,0.8585450825105287,7701.648648648648
CO,10,7957.0,8907.670103092783,7,0.8932751109897181,7701.648648648648
CO,11,6603.181818181818,8907.670103092783,7,0.741291689270033,7701.648648648648
CO,12,8332.09090909091,8907.670103092783,7,0.9353838672357174,7701.648648648648
CT,1,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,2,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,3,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,4,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,5,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,6,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,7,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,8,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,9,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
CT,10,57.105000000000004,57.105,1,1.0000000000000002,57.10500000000001
