client_id_location_id,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_months,site_train_recent6
360carwash_1,13620.7,13363.0,18425.0,2646.6301865663895,10,15002.0
alohacarwash2_1,4497.5,4588.5,7277.0,1349.3490349727226,12,4380.166666666667
alohacarwash2_2,6494.5,6718.5,10541.0,2127.744153280225,12,6119.666666666667
alohacarwash_1,4031.1666666666665,3998.0,5352.0,809.9679941301085,12,3906.6666666666665
alpineshell_1,2705.0,3032.0,3808.0,847.8213255161727,11,2645.3333333333335
alpinewash_1,12746.666666666666,13166.5,15162.0,1673.5652923859254,12,12807.333333333334
altontowncenter_1,6484.083333333333,6337.0,8527.0,1335.20256946845,12,6341.333333333333
americanpride_1,15438.916666666666,14905.5,20795.0,2831.534837835972,12,13912.666666666666
americanpride_3,17834.75,17018.0,22505.0,2902.8103663049155,12,16724.0
americanpride_4,23109.166666666668,22488.5,31347.0,4288.239071382721,12,21521.333333333332
americanpride_5,11228.25,10925.5,14580.0,1863.3202586682828,12,10613.166666666666
aquabluecarwash_1,15281.5,15450.5,18952.0,2612.433853012098,12,15635.166666666666
aquabluecarwash_3,8038.583333333333,8179.5,10267.0,1670.6538436048072,12,8620.666666666666
aquabreezecarwash_1,15499.5,15480.5,20069.0,2934.62051131906,12,16714.833333333332
aquabubblecarwash_1,9995.583333333334,10258.0,12503.0,1765.1987505059822,12,9400.666666666666
aquashineexpress_1,5660.416666666667,5641.5,8473.0,1196.2115545894605,12,5252.666666666667
aquashineexpress_3,4325.0,4325.0,4746.0,595.383909759073,2,4325.0
arcowash_1,2106.9166666666665,2240.0,3511.0,738.1679358487141,12,2063.5
atlanticcitycarwash_1,15816.083333333334,16292.5,19356.0,2465.589749047084,12,15890.833333333334
atlanticexpress_1,11936.666666666666,12961.5,14674.0,2731.971526982378,12,13700.666666666666
autobahnautocarecenter_1,10120.5,10719.0,14031.0,3055.411131389389,12,10951.666666666666
autobahnautocarecenter_3,1403.0,356.5,4411.0,1630.8124021202104,12,2574.0
autobriteexpress_1,6925.416666666667,7081.5,9141.0,1440.2394660947775,12,6913.0
autosoak_1,6807.583333333333,7078.0,8626.0,1045.9785725541533,12,6598.0
autosportcarwash_1,8344.25,8370.5,10607.0,1499.4176521084928,12,8284.333333333334
autowashexpress_1,5682.416666666667,5405.5,7454.0,1066.3400837642857,12,5019.0
bamboocarwash_1,26885.0,26154.5,32825.0,4403.211307464339,12,27260.666666666668
bashamagicaltouchcarwash_1,12574.0,12452.0,14185.0,1254.0448556570855,5,12574.0
beachbumexpress_1,9061.166666666666,9690.5,12655.0,2880.38727930601,12,11077.333333333334
bellastonecarwash_1,3309.8333333333335,3347.0,4156.0,586.4957309514217,12,3267.5
bigdripcarwash_1,7811.0,8011.0,8217.0,442.29684602085973,5,7811.0
bighorncarwash_1,3055.0,3055.0,3055.0,,1,3055.0
bigkahunacarwash_1,4410.25,4437.5,6206.0,1243.5915819622103,12,4343.5
bigpeachcarwash_1,17548.666666666668,17323.5,21029.0,2762.1625695469234,12,17527.333333333332
bigpeachcarwash_10,9339.4,9074.0,11709.0,1390.766471330747,10,9471.833333333334
bigpeachcarwash_12,8371.727272727272,8097.0,10303.0,1498.526815970211,11,8326.833333333334
bigpeachcarwash_3,12618.5,12531.0,15691.0,2387.8794510459006,12,12559.166666666666
bigpeachcarwash_5,11039.916666666666,10898.0,14262.0,2093.065540316549,12,11281.833333333334
bigpeachcarwash_7,6216.25,6022.0,8253.0,1540.2782585092746,12,6391.333333333333
bigpeachcarwash_9,3268.3333333333335,3236.0,4327.0,565.1785116226554,9,3363.6666666666665
bigrivercarwash_4,3521.125,3396.5,5158.0,1118.8172884792227,8,3614.6666666666665
blastcarwash_1,14284.8,13698.0,18090.0,2210.522049954113,10,14693.333333333334
bluebuffalocarwash_1,7987.0,7987.0,7987.0,,1,7987.0
bluecowcarwash_1,25254.916666666668,25601.0,30322.0,3525.6907629655498,12,24452.166666666668
blueiguana_1,17366.416666666668,17736.0,22258.0,3092.5024423693835,12,16229.5
blueiguana_3,14522.416666666666,14773.0,18046.0,2386.6302017063663,12,13763.833333333334
blueiguana_4,8078.416666666667,8295.5,10264.0,1369.596719564713,12,7906.333333333333
blueiguana_5,13711.166666666666,14118.5,17260.0,2332.6038448415748,12,13171.333333333334
blueiguana_6,5499.5,5547.0,7519.0,1057.2166287000978,12,5389.5
blueiguana_7,14337.833333333334,14585.0,18253.0,2461.712073605143,12,13382.0
bluepenguincarwash_1,10705.75,10731.0,12864.0,1652.9538367309706,12,10371.0
bluepenguincarwash_2,10303.166666666666,9916.5,12497.0,1761.8278129329897,12,9754.166666666666
bluepenguincarwash_3,4731.416666666667,4752.0,6264.0,904.862968865586,12,4663.666666666667
bluerainexpress_2,5476.333333333333,5557.0,5786.0,356.9038152406519,3,5476.333333333333
blueskyenglewood_1,3610.9166666666665,3488.5,4576.0,525.7276270834432,12,3587.5
bluewave_65,15597.4,17124.0,25124.0,8511.37226303726,5,15597.4
blupalmexpress_1,5758.916666666667,5404.5,9360.0,1680.879664630903,12,4667.666666666667
blusaharacarwash_1,10315.0,10315.0,10315.0,,1,10315.0
bluwavefl_1,11007.666666666666,12906.0,16246.0,3722.586466423581,9,13079.166666666666
bocabestcarwash_1,3205.75,3680.5,4810.0,1064.5086040900835,12,2624.1666666666665
brickyardcarwash_1,15461.583333333334,16519.5,21998.0,4018.6921087776204,12,13452.5
brookhurstexpresscarwash_1,9646.416666666666,10644.5,12509.0,2789.43814669593,12,11475.0
bubbasexpresscarwash_1,19106.416666666668,20870.5,24693.0,5293.272307344198,12,20176.0
bubblebay_1,11456.363636363636,11804.0,17401.0,3557.881680796237,11,13142.333333333334
bubbledown_1,25611.25,24367.5,33741.0,4564.226213918214,12,24117.166666666668
bubbledown_4,19378.416666666668,19257.0,24801.0,3480.713105054332,12,19580.333333333332
bubbledown_5,12043.763333333334,13409.0,19166.0,6259.719919966406,12,14717.333333333334
bubbledown_6,13574.0,13574.0,13574.0,,1,13574.0
buffitautowash_1,7703.0,7962.5,9738.0,1506.5195288840735,12,7282.166666666667
buffitautowash_2,5043.583333333333,5266.0,7220.0,1175.5928066170263,12,5078.5
buffitautowash_4,6690.0,6690.0,6736.0,65.05382386916237,2,6690.0
buggybath_1,4229.833333333333,4380.0,5825.0,973.7483185499154,12,4046.6666666666665
bulldogcarwash_1,2225.0,2233.0,2909.0,479.0665165430864,12,2152.3333333333335
bulldogexpress_1,6320.0,6320.0,6320.0,,1,6320.0
cadillacexpresscarwash_1,11849.333333333334,11621.0,15619.0,1867.0786774741946,12,11039.833333333334
cadillacexpresscarwash_3,15327.666666666666,15436.5,19965.0,2502.6176598743878,12,14209.166666666666
