h3_id,calendar_month,h3_month_level,h3_ref_level,h3_peer_count,h3_seasonal_factor
8826cc2899fffff,1,4288.0,7850.482142857143,2,0.5462084903793443
8826cc2899fffff,2,5022.0,7850.482142857143,2,0.6397059325291667
8826cc2899fffff,3,6615.0,7850.482142857143,2,0.8426234057507842
8826cc2899fffff,4,5316.0,7850.482142857143,2,0.677155861673646
8826cc2899fffff,5,5000.5,7850.482142857143,2,0.6369672472345875
8826cc2899fffff,6,6960.666666666667,7850.482142857143,2,0.8866546716496788
8826cc2899fffff,7,7397.0,7850.482142857143,2,0.9422351220466441
8826cc2899fffff,8,7024.0,7850.482142857143,2,0.8947221167034781
8826cc2899fffff,9,7070.0,7850.482142857143,2,0.900581629426764
8826cc2899fffff,10,8121.666666666667,7850.482142857143,2,1.0345436775569592
8826cc2899fffff,11,5916.0,7850.482142857143,2,0.753584288499114
8826cc2899fffff,12,5793.666666666667,7850.482142857143,2,0.7380013814741436
8826cc289dfffff,1,4288.0,7850.482142857143,2,0.5462084903793443
8826cc289dfffff,2,5022.0,7850.482142857143,2,0.6397059325291667
8826cc289dfffff,3,6615.0,7850.482142857143,2,0.8426234057507842
8826cc289dfffff,4,5316.0,7850.482142857143,2,0.677155861673646
8826cc289dfffff,5,5000.5,7850.482142857143,2,0.6369672472345875
8826cc289dfffff,6,6960.666666666667,7850.482142857143,2,0.8866546716496788
8826cc289dfffff,7,7397.0,7850.482142857143,2,0.9422351220466441
8826cc289dfffff,8,7024.0,7850.482142857143,2,0.8947221167034781
8826cc289dfffff,9,7070.0,7850.482142857143,2,0.900581629426764
8826cc289dfffff,10,8121.666666666667,7850.482142857143,2,1.0345436775569592
8826cc289dfffff,11,5916.0,7850.482142857143,2,0.753584288499114
8826cc289dfffff,12,5793.666666666667,7850.482142857143,2,0.7380013814741436
8826cc28d3fffff,1,4288.0,7850.482142857143,2,0.5462084903793443
8826cc28d3fffff,2,5022.0,7850.482142857143,2,0.6397059325291667
8826cc28d3fffff,3,6615.0,7850.482142857143,2,0.8426234057507842
8826cc28d3fffff,4,5316.0,7850.482142857143,2,0.677155861673646
8826cc28d3fffff,5,5000.5,7850.482142857143,2,0.6369672472345875
8826cc28d3fffff,6,6960.666666666667,7850.482142857143,2,0.8866546716496788
8826cc28d3fffff,7,7397.0,7850.482142857143,2,0.9422351220466441
8826cc28d3fffff,8,7024.0,7850.482142857143,2,0.8947221167034781
8826cc28d3fffff,9,7070.0,7850.482142857143,2,0.900581629426764
8826cc28d3fffff,10,8121.666666666667,7850.482142857143,2,1.0345436775569592
8826cc28d3fffff,11,5916.0,7850.482142857143,2,0.753584288499114
8826cc28d3fffff,12,5793.666666666667,7850.482142857143,2,0.7380013814741436
8826cc28d7fffff,1,4288.0,7850.482142857143,2,0.5462084903793443
8826cc28d7fffff,2,5022.0,7850.482142857143,2,0.6397059325291667
8826cc28d7fffff,3,6615.0,7850.482142857143,2,0.8426234057507842
8826cc28d7fffff,4,5316.0,7850.482142857143,2,0.677155861673646
8826cc28d7fffff,5,5000.5,7850.482142857143,2,0.6369672472345875
8826cc28d7fffff,6,6960.666666666667,7850.482142857143,2,0.8866546716496788
8826cc28d7fffff,7,7397.0,7850.482142857143,2,0.9422351220466441
8826cc28d7fffff,8,7024.0,7850.482142857143,2,0.8947221167034781
8826cc28d7fffff,9,7070.0,7850.482142857143,2,0.900581629426764
8826cc28d7fffff,10,8121.666666666667,7850.482142857143,2,1.0345436775569592
8826cc28d7fffff,11,5916.0,7850.482142857143,2,0.753584288499114
8826cc28d7fffff,12,5793.666666666667,7850.482142857143,2,0.7380013814741436
8826e80703fffff,1,2644.25,3846.458333333333,2,0.6874505768293344
8826e80703fffff,2,3916.0,3846.458333333333,2,1.018079402047338
8826e80703fffff,3,4571.5,3846.458333333333,2,1.1884959107403998
8826e80703fffff,4,3964.25,3846.458333333333,2,1.0306234089801225
8826e80703fffff,5,3539.5,3846.458333333333,2,0.9201971510588746
8826e80703fffff,6,3508.0,3846.458333333333,2,0.912007799382549
8826e80703fffff,7,3736.0,3846.458333333333,2,0.9712831067540487
8826e80703fffff,8,3906.75,3846.458333333333,2,1.0156745924280994
8826e80703fffff,9,3981.25,3846.458333333333,2,1.0350430590911555
8826e80703fffff,10,4675.5,3846.458333333333,2,1.2155337702431892
8826e80703fffff,11,2910.5,3846.458333333333,2,0.7566700969506581
8826e80703fffff,12,3222.75,3846.458333333333,2,0.8378486703136002
8826e80707fffff,1,2644.25,3846.458333333333,2,0.6874505768293344
8826e80707fffff,2,3916.0,3846.458333333333,2,1.018079402047338
8826e80707fffff,3,4571.5,3846.458333333333,2,1.1884959107403998
8826e80707fffff,4,3964.25,3846.458333333333,2,1.0306234089801225
8826e80707fffff,5,3539.5,3846.458333333333,2,0.9201971510588746
8826e80707fffff,6,3508.0,3846.458333333333,2,0.912007799382549
8826e80707fffff,7,3736.0,3846.458333333333,2,0.9712831067540487
8826e80707fffff,8,3906.75,3846.458333333333,2,1.0156745924280994
8826e80707fffff,9,3981.25,3846.458333333333,2,1.0350430590911555
8826e80707fffff,10,4675.5,3846.458333333333,2,1.2155337702431892
8826e80707fffff,11,2910.5,3846.458333333333,2,0.7566700969506581
8826e80707fffff,12,3222.75,3846.458333333333,2,0.8378486703136002
8826e80739fffff,1,2644.25,3846.458333333333,2,0.6874505768293344
8826e80739fffff,2,3916.0,3846.458333333333,2,1.018079402047338
8826e80739fffff,3,4571.5,3846.458333333333,2,1.1884959107403998
8826e80739fffff,4,3964.25,3846.458333333333,2,1.0306234089801225
8826e80739fffff,5,3539.5,3846.458333333333,2,0.9201971510588746
8826e80739fffff,6,3508.0,3846.458333333333,2,0.912007799382549
8826e80739fffff,7,3736.0,3846.458333333333,2,0.9712831067540487
8826e80739fffff,8,3906.75,3846.458333333333,2,1.0156745924280994
8826e80739fffff,9,3981.25,3846.458333333333,2,1.0350430590911555
8826e80739fffff,10,4675.5,3846.458333333333,2,1.2155337702431892
8826e80739fffff,11,2910.5,3846.458333333333,2,0.7566700969506581
8826e80739fffff,12,3222.75,3846.458333333333,2,0.8378486703136002
8826e8073dfffff,1,2644.25,3846.458333333333,2,0.6874505768293344
8826e8073dfffff,2,3916.0,3846.458333333333,2,1.018079402047338
8826e8073dfffff,3,4571.5,3846.458333333333,2,1.1884959107403998
8826e8073dfffff,4,3964.25,3846.458333333333,2,1.0306234089801225
8826e8073dfffff,5,3539.5,3846.458333333333,2,0.9201971510588746
8826e8073dfffff,6,3508.0,3846.458333333333,2,0.912007799382549
8826e8073dfffff,7,3736.0,3846.458333333333,2,0.9712831067540487
8826e8073dfffff,8,3906.75,3846.458333333333,2,1.0156745924280994
8826e8073dfffff,9,3981.25,3846.458333333333,2,1.0350430590911555
8826e8073dfffff,10,4675.5,3846.458333333333,2,1.2155337702431892
8826e8073dfffff,11,2910.5,3846.458333333333,2,0.7566700969506581
8826e8073dfffff,12,3222.75,3846.458333333333,2,0.8378486703136002
8829a56869fffff,5,1684.0,7598.875,2,0.5
8829a56869fffff,6,1397.0,7598.875,2,0.5
8829a56869fffff,7,1703.0,7598.875,2,0.5
8829a56869fffff,8,9157.0,7598.875,2,1.2050467996907437
8829a56869fffff,9,8265.5,7598.875,2,1.0877268016647201
8829a56869fffff,10,7804.0,7598.875,2,1.0269941274201773
8829a56869fffff,11,5836.5,7598.875,2,0.7680742215130529
8829a56869fffff,12,6508.5,7598.875,2,0.8565083647250415
8829a56b13fffff,5,1684.0,7598.875,2,0.5
8829a56b13fffff,6,1397.0,7598.875,2,0.5
8829a56b13fffff,7,1703.0,7598.875,2,0.5
8829a56b13fffff,8,9157.0,7598.875,2,1.2050467996907437
8829a56b13fffff,9,8265.5,7598.875,2,1.0877268016647201
8829a56b13fffff,10,7804.0,7598.875,2,1.0269941274201773
8829a56b13fffff,11,5836.5,7598.875,2,0.7680742215130529
8829a56b13fffff,12,6508.5,7598.875,2,0.8565083647250415
882a304695fffff,1,10514.75,8949.0,2,1.174963683093083
882a304695fffff,2,12283.25,8949.0,2,1.372583528885909
882a304695fffff,3,8066.0,8949.0,2,0.9013297575148062
882a304695fffff,4,7923.25,8949.0,2,0.8853782545535814
882a304695fffff,5,9259.25,8949.0,2,1.0346686780645882
882a304695fffff,6,9611.75,8949.0,2,1.0740585540283831
882a304695fffff,7,7781.25,8949.0,2,0.8695105598390882
882a304695fffff,8,7515.75,8949.0,2,0.8398424404961449
882a304695fffff,9,7398.25,8949.0,2,0.8267124818415466
882a304695fffff,10,7477.0,8949.0,2,0.8355123477483518
882a304695fffff,11,6186.75,8949.0,2,0.6913342272879651
882a304695fffff,12,9062.25,8949.0,2,1.0126550452564533
882a3046b1fffff,1,10514.75,8949.0,2,1.174963683093083
882a3046b1fffff,2,12283.25,8949.0,2,1.372583528885909
882a3046b1fffff,3,8066.0,8949.0,2,0.9013297575148062
882a3046b1fffff,4,7923.25,8949.0,2,0.8853782545535814
882a3046b1fffff,5,9259.25,8949.0,2,1.0346686780645882
882a3046b1fffff,6,9611.75,8949.0,2,1.0740585540283831
882a3046b1fffff,7,7781.25,8949.0,2,0.8695105598390882
882a3046b1fffff,8,7515.75,8949.0,2,0.8398424404961449
882a3046b1fffff,9,7398.25,8949.0,2,0.8267124818415466
882a3046b1fffff,10,7477.0,8949.0,2,0.8355123477483518
882a3046b1fffff,11,6186.75,8949.0,2,0.6913342272879651
882a3046b1fffff,12,9062.25,8949.0,2,1.0126550452564533
882a3046b9fffff,1,10514.75,8949.0,2,1.174963683093083
882a3046b9fffff,2,12283.25,8949.0,2,1.372583528885909
882a3046b9fffff,3,8066.0,8949.0,2,0.9013297575148062
882a3046b9fffff,4,7923.25,8949.0,2,0.8853782545535814
882a3046b9fffff,5,9259.25,8949.0,2,1.0346686780645882
882a3046b9fffff,6,9611.75,8949.0,2,1.0740585540283831
882a3046b9fffff,7,7781.25,8949.0,2,0.8695105598390882
882a3046b9fffff,8,7515.75,8949.0,2,0.8398424404961449
882a3046b9fffff,9,7398.25,8949.0,2,0.8267124818415466
882a3046b9fffff,10,7477.0,8949.0,2,0.8355123477483518
882a3046b9fffff,11,6186.75,8949.0,2,0.6913342272879651
882a3046b9fffff,12,9062.25,8949.0,2,1.0126550452564533
882a3046bbfffff,1,10514.75,8949.0,2,1.174963683093083
882a3046bbfffff,2,12283.25,8949.0,2,1.372583528885909
882a3046bbfffff,3,8066.0,8949.0,2,0.9013297575148062
882a3046bbfffff,4,7923.25,8949.0,2,0.8853782545535814
882a3046bbfffff,5,9259.25,8949.0,2,1.0346686780645882
882a3046bbfffff,6,9611.75,8949.0,2,1.0740585540283831
882a3046bbfffff,7,7781.25,8949.0,2,0.8695105598390882
882a3046bbfffff,8,7515.75,8949.0,2,0.8398424404961449
882a3046bbfffff,9,7398.25,8949.0,2,0.8267124818415466
882a3046bbfffff,10,7477.0,8949.0,2,0.8355123477483518
882a3046bbfffff,11,6186.75,8949.0,2,0.6913342272879651
882a3046bbfffff,12,9062.25,8949.0,2,1.0126550452564533
882ad36829fffff,1,5273.540000000001,6242.748333333333,2,0.8447465312419825
882ad36829fffff,2,5843.290000000001,6242.748333333333,2,0.9360124240151708
882ad36829fffff,3,8483.54,6242.748333333333,2,1.3589431364230873
882ad36829fffff,4,7956.790000000001,6242.748333333333,2,1.2745652355573096
882ad36829fffff,5,6277.540000000001,6242.748333333333,2,1.0055731329871007
882ad36829fffff,6,6329.040000000001,6242.748333333333,2,1.013822704690162
882ad36829fffff,7,5487.790000000001,6242.748333333333,2,0.8790663513853009
882ad36829fffff,8,5643.290000000001,6242.748333333333,2,0.9039752523527967
882ad36829fffff,9,5822.040000000001,6242.748333333333,2,0.9326084745260436
882ad36829fffff,10,6880.290000000001,6242.748333333333,2,1.1021251590845806
882ad36829fffff,11,5799.540000000001,6242.748333333333,2,0.9290042927140265
