client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
bluewaveexpress_27b51eea4fc0b8428e92bc0a76046817b772339efbb29476847431996c25ac4b,2024-01-01,37.3239942,-121.964776,TX,South,HOUSTON,77035-3307,young,41940,"San Jose-Sunnyvale-Santa Clara, CA",8828347045fffff
bluewaveexpress_28472d418dd99fa85034a9dd45ea0510838b7b3881755b94fb5b738022c1ce71,2024-01-01,32.456287,-97.7267,TX,South,GRANBURY,76049,young,19100,"Dallas-Fort Worth-Arlington, TX",8826ca2e33fffff
bluewaveexpress_2ae553ae05e6fa39a74883d5a25c61a8bb66c54eef7d920941203463a5f72e88,2024-01-01,36.318523,-86.625336,TX,South,ROSENBERG,77471-6255,young,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",88264d8131fffff
bluewaveexpress_34dfe44c16f312d0c7a63b91647c079c57ae66fbc616cc8d135dc9ba326e9b9c,2024-01-01,29.690437,-95.202587,TX,South,PASADENA,77502,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446c0755fffff
bluewaveexpress_423f3584964233287e4b0104f3c20fd3380cf997c740f405cdeaca3ff7221862,2024-01-01,30.068785,-94.132751,TX,South,BEAUMONT,77701-4620,young,13140,"Beaumont-Port Arthur, TX",88446ea95dfffff
bluewaveexpress_4d9d3969d2fc01f93742ade5a9d17924e24c9090775f5967201e2990eaf9e8ff,2024-01-01,29.9456787,-95.6763916,TX,South,CYPRESS,77433-2289,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446dd9d1fffff
bluewaveexpress_4f58a5e0392de301de3a4b8212ee1c38b47a0b8b49dc5645535f4220563f60e3,2024-01-01,30.3542302,-95.5844037,TX,South,MONTGOMERY,77356,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446d4311fffff
bluewaveexpress_598dd6724614af10ccbfd6c4e8ee2fa80b9ff204f21e090a329ba047cf876aa2,2024-01-01,28.1860383,-82.4067407,TX,South,KATY,77494-2002,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441a0067fffff
bluewaveexpress_6c16f621bcd49925e9333931f1311147730236b9163ca3dafac80a18aa703463,2024-01-01,34.8281587,-82.3476092,TX,South,KATY,77494-3428,young,24860,"Greenville-Anderson-Mauldin, SC",8844dd545dfffff
bluewaveexpress_8d3ac6f965fd5037b61adeb51186f9c1427daf89c076acc1eddad9a7aee578f7,2024-01-01,33.7904146,-84.6218277,TX,South,LUMBERTON,77657-7379,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c1a559fffff
