region,calendar_month,month_level,ref_level,peer_count,seasonal_factor,ref_recent
Midwest,1,7581.836065573771,8057.096956031567,55,0.9410133832258262,8360.340206185567
Midwest,2,9048.415384615384,8057.096956031567,55,1.1230366761121962,8360.340206185567
Midwest,3,8852.850746268658,8057.096956031567,55,1.0987643309469408,8360.340206185567
Midwest,4,8076.382352941177,8057.096956031567,55,1.0023935912667865,8360.340206185567
Midwest,5,8890.753623188406,8057.096956031567,55,1.1034686155207256,8360.340206185567
Midwest,6,8236.154929577464,8057.096956031567,55,1.0222236339618396,8360.340206185567
Midwest,7,7654.767123287671,8057.096956031567,55,0.9500651618145527,8360.340206185567
Midwest,8,8176.584415584415,8057.096956031567,55,1.0148300883314305,8360.340206185567
Midwest,9,7861.088607594937,8057.096956031567,55,0.9756725841197805,8360.340206185567
Midwest,10,8083.938271604939,8057.096956031567,55,1.0033313879328805,8360.340206185567
Midwest,11,6318.071428571428,8057.096956031567,55,0.7841622687488825,8360.340206185567
Midwest,12,8145.197674418605,8057.096956031567,55,1.0109345486181702,8360.340206185567
Northeast,1,6220.906976744186,5526.715231788079,51,1.1256065702396454,4950.4525547445255
Northeast,2,6821.816091954023,5526.715231788079,51,1.234334646503387,4950.4525547445255
Northeast,3,5609.482758620689,5526.715231788079,51,1.0149758985873842,4950.4525547445255
Northeast,4,5804.701149425287,5526.715231788079,51,1.050298578084558,4950.4525547445255
Northeast,5,5974.954545454545,5526.715231788079,51,1.0811041088363522,4950.4525547445255
Northeast,6,6056.397727272727,5526.715231788079,51,1.095840381360354,4950.4525547445255
Northeast,7,4986.295454545455,5526.715231788079,51,0.9022168223659716,4950.4525547445255
Northeast,8,5373.988636363636,5526.715231788079,51,0.9723657563273744,4950.4525547445255
Northeast,9,5040.136363636364,5526.715231788079,51,0.9119587589110701,4950.4525547445255
Northeast,10,5613.4157303370785,5526.715231788079,51,1.0156875277471007,4950.4525547445255
Northeast,11,4367.730337078651,5526.715231788079,51,0.7902940813662193,4950.4525547445255
Northeast,12,4804.5888888888885,5526.715231788079,51,0.8693389630886486,4950.4525547445255
South,1,8032.833333333333,9497.171387223485,298,0.8458132433136754,9430.556466876971
South,2,9116.169590643274,9497.171387223485,298,0.9598826028250084,9430.556466876971
South,3,11597.345609065156,9497.171387223485,298,1.2211368139219883,9430.556466876971
South,4,11155.840108401084,9497.171387223485,298,1.1746487089207425,9430.556466876971
South,5,9933.710594315246,9497.171387223485,298,1.0459651815570092,9430.556466876971
South,6,9308.548628428927,9497.171387223485,298,0.9801390591888959,9430.556466876971
South,7,8897.40586797066,9497.171387223485,298,0.9368479840155682,9430.556466876971
South,8,9459.449648711943,9497.171387223485,298,0.9960281080572803,9430.556466876971
South,9,8935.259174311926,9497.171387223485,298,0.9408337293283453,9430.556466876971
South,10,10566.76,9497.171387223485,298,1.1126218080275385,9430.556466876971
South,11,8963.17543859649,9497.171387223485,298,0.9437731586748684,9430.556466876971
South,12,8429.18376068376,9497.171387223485,298,0.8875467670324992,9430.556466876971
West,1,6082.047619047619,7124.340513670257,73,0.8536997364706704,6966.317135549873
West,2,5950.613636363636,7124.340513670257,73,0.8352511541167268,6966.317135549873
West,3,6749.888888888889,7124.340513670257,73,0.9474405211173067,6966.317135549873
West,4,7704.395604395604,7124.340513670257,73,1.0814187768836052,6966.317135549873
West,5,8400.425531914894,7124.340513670257,73,1.1791162305894942,6966.317135549873
West,6,8476.765306122448,7124.340513670257,73,1.1898315766711522,6966.317135549873
West,7,8758.039603960397,7124.340513670257,73,1.2293123254223155,6966.317135549873
West,8,8453.888888888889,7124.340513670257,73,1.186620554234807,6966.317135549873
West,9,7562.435185185185,7124.340513670257,73,1.0614926631699184,6966.317135549873
West,10,6840.587155963302,7124.340513670257,73,0.9601712808136437,6966.317135549873
West,11,5346.991228070176,7124.340513670257,73,0.7505243773525865,6966.317135549873
West,12,5630.096491228071,7124.340513670257,73,0.7902621274804291,6966.317135549873
