iter	RMSE
0	0.351250874
1	0.3463026745
2	0.3401605396
3	0.3339148182
4	0.328744047
5	0.3228783397
6	0.3177017624
7	0.3126509551
8	0.3082482166
9	0.3031104028
10	0.2990613827
11	0.2946325321
12	0.2903046124
13	0.285449397
14	0.2815599108
15	0.2772414113
16	0.2730308041
17	0.2690255221
18	0.2651070695
19	0.261509206
20	0.2582528219
21	0.2544550793
22	0.2509391987
23	0.2473831686
24	0.2443940429
25	0.2407267487
26	0.2375893848
27	0.234425746
28	0.2315022853
29	0.228613738
30	0.2257195633
31	0.222858242
32	0.2204157939
33	0.2180169415
34	0.2155997811
35	0.2131838461
36	0.2110868094
37	0.2088348628
38	0.2064053942
39	0.2043190025
40	0.2020219531
41	0.2000573203
42	0.1981751049
43	0.1960222039
44	0.1941713123
45	0.1924439459
46	0.1905820152
47	0.1889722242
48	0.1872187661
49	0.1854078334
50	0.1836442003
51	0.1819523015
52	0.1803798716
53	0.1788522808
54	0.1777399915
55	0.1762967161
56	0.1750572231
57	0.173615833
58	0.1718839964
59	0.170725436
60	0.1692865126
61	0.1678782785
62	0.1667996045
63	0.1656812664
64	0.1645496348
65	0.1633945
66	0.1623698462
67	0.1612135224
68	0.1604586343
69	0.159219745
70	0.1581851661
71	0.1574214468
72	0.1565654244
73	0.1558565969
74	0.1550108773
75	0.1539025819
76	0.1529303765
77	0.1521243355
78	0.1514341932
79	0.1507089567
80	0.1500722452
81	0.1491686577
82	0.1483136659
83	0.1477348457
84	0.1468875633
85	0.1460958548
86	0.1452875179
87	0.1446932277
88	0.144177224
89	0.1433972153
90	0.1426612065
91	0.1419516372
92	0.1412285715
93	0.1406462372
94	0.1398990873
95	0.1391723497
96	0.1385449471
97	0.1381147976
98	0.1375090814
99	0.1367944034
100	0.136206067
101	0.1356219394
102	0.1350862377
103	0.1346250896
104	0.1341639261
105	0.1336002732
106	0.132852583
107	0.1323284907
108	0.1318453616
109	0.1314022727
110	0.1308346075
111	0.1302881064
112	0.1297825924
113	0.1293524289
114	0.1288884648
115	0.1284260208
116	0.1281711132
117	0.1276994366
118	0.1272577693
119	0.1268480117
120	0.1264772022
121	0.1260568628
122	0.1255484503
123	0.1251548062
124	0.1246854751
125	0.1243142704
126	0.1239619426
127	0.1237638963
128	0.1233311872
129	0.1230426538
130	0.1227267239
131	0.1224006386
132	0.122094409
133	0.1217089799
134	0.1211861218
135	0.1208601955
136	0.1204815772
137	0.120111846
138	0.11971387
139	0.1193898611
140	0.119051428
141	0.1187752662
142	0.1184048781
143	0.1182108269
144	0.1179695873
145	0.1176766584
146	0.1173949161
147	0.1170034725
148	0.1167981718
149	0.1164898223
150	0.1159646064
151	0.1157317396
152	0.1153962025
153	0.114894843
154	0.1147464429
155	0.114476144
156	0.1141790158
157	0.1139269727
158	0.1136981523
159	0.1134126502
160	0.1131875601
161	0.1130490256
162	0.1127402013
163	0.112468544
164	0.1123016158
165	0.1119439662
166	0.1117870593
167	0.1114965732
168	0.1112182785
169	0.1109381621
170	0.1106896335
171	0.1103247501
172	0.1100322987
173	0.1098447057
174	0.109665082
175	0.1095096928
176	0.1092268664
177	0.1089357952
178	0.1087593393
179	0.1084975441
180	0.1082441891
181	0.1081003211
182	0.1078863333
183	0.1076696596
184	0.107436439
185	0.1071615
186	0.1069189265
187	0.1066593009
188	0.1064757193
189	0.1062432156
190	0.1060130618
191	0.1058139651
192	0.1056313951
193	0.1053590374
194	0.1052173548
195	0.1049441592
196	0.1048229172
197	0.104488186
198	0.1043195267
199	0.1041371386
200	0.1039285845
201	0.1037839396
202	0.103577172
203	0.1032987179
204	0.1031654181
205	0.1029398315
206	0.1027859937
207	0.1025912053
208	0.1024189379
209	0.1022283988
210	0.1020025014
211	0.1018707915
212	0.101607854
213	0.1013763235
214	0.1012299415
215	0.1010290009
216	0.1007291051
217	0.1005097696
218	0.1004236769
219	0.1003405032
220	0.1000939396
221	0.09991685746
222	0.09963561063
223	0.09942554591
224	0.09923382465
225	0.09903658138
226	0.09887462248
227	0.09869988301
228	0.09845008296
229	0.09826207069
230	0.09808772497
231	0.09791066605
232	0.09775959347
233	0.09762501698
234	0.09749905784
235	0.09734664584
236	0.09722289249
237	0.0970582966
238	0.09684927665
239	0.09661304318
240	0.09639769607
241	0.09627780424
242	0.09617053131
243	0.09604025226
244	0.09580168273
245	0.09564446361
246	0.09549584684
247	0.09531274924
248	0.09522695302
249	0.09502788034
250	0.09482479627
251	0.09467206202
252	0.0944035506
253	0.09423161303
254	0.09409499283
255	0.09400085535
256	0.09381898386
257	0.09373526096
258	0.09357546217
259	0.09342416687
260	0.09323557423
261	0.09313394997
262	0.09299281887
263	0.09286758201
264	0.09268515029
265	0.09257538965
266	0.0923995149
267	0.09227260108
268	0.09211298666
269	0.09192993759
270	0.09183981779
271	0.09168536043
272	0.09155328209
273	0.09140949977
274	0.09131003028
275	0.09121359913
276	0.09112220918
277	0.0910256547
278	0.09085678514
279	0.0907286315
280	0.09058505184
281	0.09044642095
282	0.09025606454
283	0.09020046248
284	0.09011089535
285	0.09001281099
286	0.0899402407
287	0.08981758508
288	0.08973064512
289	0.08962559733
290	0.08944696527
291	0.08930467203
292	0.08917588058
293	0.08908581142
294	0.08899110934
295	0.08887588107
296	0.08878296884
297	0.08866394985
298	0.0885400564
299	0.0884012247
300	0.08829196157
301	0.08819997764
302	0.08806848364
303	0.08795165008
304	0.08780962548
305	0.08767130078
306	0.08757086762
307	0.08753263387
308	0.087449904
309	0.08729142499
310	0.08710909293
311	0.08699577313
312	0.08682179925
313	0.08668708498
314	0.08658923786
315	0.08652202827
316	0.08640733562
317	0.08628476917
318	0.08620211918
319	0.08610392985
320	0.08602483
321	0.08588126609
322	0.08569596326
323	0.08561035944
324	0.08547156866
325	0.08539006546
326	0.08527762556
327	0.08515656431
328	0.08505200323
329	0.08499253973
330	0.08488278311
331	0.084787845
332	0.08473460579
333	0.08461232448
334	0.08451197089
335	0.08439231943
336	0.08426050869
337	0.08416279471
338	0.0840645838
339	0.08394769964
340	0.08382322191
341	0.08370725986
342	0.08361255663
343	0.08349364041
344	0.08335487537
345	0.08324997081
346	0.08315302862
347	0.08304948655
348	0.08289815595
349	0.08277531621
350	0.08263983888
351	0.08250970578
352	0.08239016771
353	0.08227553037
354	0.08218939166
355	0.08209827833
356	0.08200791636
357	0.08188784351
358	0.0817612252
359	0.08163131773
360	0.08151993806
361	0.08144396792
362	0.08134200617
363	0.08122827595
364	0.08109843533
365	0.08101512905
366	0.08094565219
367	0.08082302603
368	0.08072146098
369	0.08063431691
370	0.08058173508
371	0.08050173258
372	0.08040046019
373	0.08031496699
374	0.0802383596
375	0.08014586065
376	0.08004106713
377	0.07995773801
378	0.07983664503
379	0.07973144425
380	0.07963482728
381	0.07954934138
382	0.07947421083
383	0.07940076577
384	0.07933864529
385	0.07928094045
386	0.07924354976
387	0.07915406115
388	0.07909823389
389	0.07903690126
390	0.07893996615
391	0.07884490593
392	0.07874964202
393	0.07868339508
394	0.07861476338
395	0.07854089125
396	0.07843921992
397	0.07836030989
398	0.07830659512
399	0.07823874341
400	0.07813738088
401	0.07800895237
402	0.07794211108
403	0.07781760787
404	0.0777153464
405	0.07762901604
406	0.07751461349
407	0.07741647275
408	0.07735490237
409	0.07725780653
410	0.07720656411
411	0.07710703868
412	0.0770584865
413	0.07697555037
414	0.07686682447
415	0.07682426677
416	0.07672257249
417	0.0766469056
418	0.07655479826
419	0.07644188038
420	0.0763912347
421	0.07631477753
422	0.07625511901
423	0.07619100198
424	0.07612266639
425	0.07604668049
426	0.07595501023
427	0.07585751508
428	0.07573844149
429	0.07565901769
430	0.07560027293
431	0.07551947432
432	0.07538067316
433	0.07529293094
434	0.0752168398
435	0.07513520988
436	0.07505441627
437	0.07497085803
438	0.07493514311
439	0.07483306343
440	0.07475579583
441	0.07468422815
442	0.07461425806
443	0.07452120931
444	0.07442136527
445	0.07434314437
446	0.0742936794
447	0.07422383664
448	0.07413384639
449	0.07402900248
450	0.07398259948
451	0.07394208722
452	0.07386588697
453	0.07379685594
454	0.0736993868
455	0.07365424432
456	0.0735986921
457	0.07352501962
458	0.07349042961
459	0.07345452348
460	0.07339326891
461	0.07331568587
462	0.0732618042
463	0.07311930695
464	0.07305285216
465	0.07298764779
466	0.07291889611
467	0.07282187106
468	0.07276681676
469	0.07265367494
470	0.07260727858
471	0.07250541236
472	0.07244374847
473	0.07237797635
474	0.07234506721
475	0.07228429066
476	0.07225251081
477	0.07214247986
478	0.07207064899
479	0.07200854878
480	0.07197800207
481	0.07188747589
482	0.0718173623
483	0.07175042958
484	0.07169501508
485	0.07166233919
486	0.0715924148
487	0.07151372799
488	0.0714649269
489	0.07143465309
490	0.07138021216
491	0.07131649359
492	0.07124815043
493	0.07119620625
494	0.07115073118
495	0.07114117535
496	0.07113268335
497	0.07109277775
498	0.07105908706
499	0.07097534121
500	0.07091533434
501	0.07087424924
502	0.0707912465
503	0.07073716578
504	0.07065968489
505	0.07057560242
506	0.07051278955
507	0.07045159903
508	0.07037689425
509	0.07030241514
510	0.07027446156
511	0.07026542288
512	0.07023437252
513	0.07014450879
514	0.0701366856
515	0.07012807583
516	0.07012129762
517	0.07007224135
518	0.07001140555
519	0.06991534895
520	0.06984891791
521	0.06984124144
522	0.06979039486
523	0.06969702623
524	0.06961159235
525	0.06957482144
526	0.06951298183
527	0.06946710646
528	0.06941211047
529	0.06935487013
530	0.06928563333
531	0.06921162831
532	0.06920385464
533	0.06919712058
534	0.06912552131
535	0.06911841674
536	0.06903342716
537	0.06891382765
538	0.0688438106
539	0.06877444199
540	0.06870059309
541	0.06863173355
542	0.0685979899
543	0.06853991826
544	0.06848066626
545	0.06847400481
546	0.06842557575
547	0.06841783043
548	0.06829987342
549	0.06819404379
550	0.06818435429
551	0.06811380395
552	0.06802748869
553	0.06796752397
554	0.06783999093
555	0.06775496036
556	0.06767836136
557	0.06755402406
558	0.06748927464
559	0.06742922272
560	0.06737548051
561	0.06731593396
562	0.06725344914
563	0.06717270445
564	0.06708202556
565	0.06702862958
566	0.06695189845
567	0.06690901638
568	0.06689549706
569	0.06683191776
570	0.06676490044
571	0.0666670891
572	0.06666021987
573	0.06655582709
574	0.06649428055
575	0.06645100691
576	0.06641499935
577	0.06633660015
578	0.06627249286
579	0.06620643549
580	0.06615909768
581	0.06611676184
582	0.06609116938
583	0.06602203051
584	0.06591917427
585	0.06582976946
586	0.06571799059
587	0.06566915018
588	0.06555148033
589	0.06546029832
590	0.06535737009
591	0.06523315463
592	0.06517981854
593	0.06511975953
594	0.06504220026
595	0.06499814824
596	0.06495946341
597	0.06489905742
598	0.06483833351
599	0.06478068946
