client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
feelgreatcarwash_1,2024-06-05,32.7589159,-96.8931161,TX,South,Dallas,75211,young,19100,"Dallas-Fort Worth-Arlington, TX",8826cb9b15fffff
floriscarwash_3,2024-01-10,28.567093,-81.253742,FL,South,Orlando,32825,young,36740,"Orlando-Kissimmee-Sanford, FL",8844a90f21fffff
fordroadcarwash_1,2024-01-12,42.3263524,-83.2884476,MI,Midwest,Dearborn Heights,48127,young,19820,"Detroit-Warren-Dearborn, MI",882ab2cdedfffff
freedomexpress_1,2024-08-15,36.5767865,-94.769154,OK,South,Grove,74344,young,33060,"Miami, OK (nearest)",8826ec28a1fffff
freshwash_3,2024-03-12,34.287202,-83.809828,GA,South,Gainesville,30501,young,23580,"Gainesville, GA",8844ced681fffff
galaxycarwash_1,2024-11-25,28.6581873,-81.1785821,FL,South,Oviedo,32765,young,36740,"Orlando-Kissimmee-Sanford, FL",8844a972a5fffff
gallocarwash_3,2024-04-23,29.604704,-82.368563,FL,South,Gainesville,32641,young,23540,"Gainesville, FL",8844f422e7fffff
gateexpress_10,2024-04-09,30.287451,-81.535229,FL,South,Jacksonville,32246,young,27260,"Jacksonville, FL",8844f0475bfffff
gateexpress_11,2024-02-27,30.287545,-81.6326879,FL,South,Jacksonville,32207,young,27260,"Jacksonville, FL",8844f00941fffff
gateexpress_12,2024-03-26,30.106697,-81.823792,FL,South,Middleburg,32068,young,27260,"Jacksonville, FL",8844f01147fffff
gateexpress_13,2024-03-19,30.2715387,-81.7354023,FL,South,Jacksonville,32210,young,27260,"Jacksonville, FL",8844f00a1dfffff
gateexpress_14,2024-03-19,30.197819,-81.8223849,FL,South,Jacksonville,32222,young,27260,"Jacksonville, FL",8844f00341fffff
gateexpress_15,2024-03-05,30.204768,-81.7598609,FL,South,Jacksonville,32244,young,27260,"Jacksonville, FL",8844f018c7fffff
gateexpress_17,2024-04-02,30.490137,-81.626126,FL,South,Jacksonville,32218,young,27260,"Jacksonville, FL",8844f071ddfffff
gateexpress_18,2024-03-05,30.629671,-81.585767,FL,South,Yulee,32097,young,27260,"Jacksonville, FL",8844f061cbfffff
gateexpress_19,2024-05-08,30.266266,-81.523687,FL,South,Jacksonville,32246,young,27260,"Jacksonville, FL",8844f055b5fffff
