n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
3,0,0,,,,,6777.077777777778,4,0,,,quickandcleancw_000262::5,quickandcleancw_000262,2021-12-01,0,228.25,False,quickandcleancw_000262,0.3752309069447437
10,3,0,,,,,2835.833333333333,1,0,,,training_000400::1,training_000400,2021-12-01,0,87.61538461538461,False,training_000400,0.33236014378709244
2,0,0,,,,,7410.166666666666,5,0,,,woodys_000289::6,woodys_000289,2021-12-01,1,13000.692307692309,True,woodys_000289,0.38412897798248735
7,0,0,,,,,6102.722222222222,1,0,,,oceansexp_000393::1,oceansexp_000393,2022-01-01,1,13341.307692307691,True,oceansexp_000393,0.3854380852153432
3,0,0,,,,,7346.555555555556,1,0,,,supersplishsplash_000385::1,supersplishsplash_000385,2022-01-01,1,23633.30769230769,True,supersplishsplash_000385,0.41640718322574466
5,1,0,,,,,4663.766666666666,1,0,,,rinsemyride_000430::1,rinsemyride_000430,2022-02-01,0,1131.5384615384614,False,rinsemyride_000430,0.40244678554560004
6,6,0,,,,,2256.2,1,0,,,skylineexpresscw_000365::1,skylineexpresscw_000365,2022-02-01,0,0.0,False,skylineexpresscw_000365,0.318635595122905
4,1,0,,,,,8395.958333333334,1,0,,,bluepenguincw_000433::1,bluepenguincw_000433,2022-03-01,0,8912.538461538461,True,bluepenguincw_000433,0.4755661975483859
7,1,0,,,,,4631.027777777778,1,0,,,bluepenguincw_000433::3,bluepenguincw_000433,2022-03-01,0,3845.6153846153848,True,bluepenguincw_000433,0.37662469385689695
3,0,0,,,,,5801.11111111111,13,0,,,championxpresscw_000216::15,championxpresscw_000216,2022-03-01,0,7454.923076923077,True,championxpresscw_000216,0.42845167702748327
2,0,0,,,,,8681.916666666666,13,0,,,championxpresscw_000216::17,championxpresscw_000216,2022-03-01,0,4371.307692307692,True,championxpresscw_000216,0.4901593551213654
8,0,0,,,,,3600.9583333333335,1,0,,,clearwater_000397::1,clearwater_000397,2022-03-01,1,13276.0,True,clearwater_000397,0.33463515636057645
3,0,0,,,,,1003.2222222222222,1,0,,,happycarwash_000373::1,happycarwash_000373,2022-03-01,0,2970.5384615384614,False,happycarwash_000373,0.3062466758983916
2,0,0,,,,,5169.833333333333,1,0,,,racerclassiccw_000389::2,racerclassiccw_000389,2022-03-01,1,9220.46153846154,True,racerclassiccw_000389,0.4105250284607124
2,0,0,,,,,6093.25,3,0,,,riptideneuse_000337::1,riptideneuse_000337,2022-03-01,1,7744.0,True,riptideneuse_000337,0.39249589686072245
5,0,0,,,,,4686.916666666667,3,0,,,sudsdeluxe_000305::5,sudsdeluxe_000305,2022-03-01,1,10347.76923076923,True,sudsdeluxe_000305,0.40082168838070603
3,1,0,,,,,2658.2777777777774,2,0,,,bigdans_000378::3,bigdans_000378,2022-04-01,1,12185.46153846154,True,bigdans_000378,0.32549503717598455
8,0,0,,,,,8141.095238095237,5,0,,,cadillacexpresscw_000080::6,cadillacexpresscw_000080,2022-04-01,0,4903.0,True,cadillacexpresscw_000080,0.4657891441957006
11,4,0,,,,,3247.3787878787875,1,0,,,carwashcafe_000425::1,carwashcafe_000425,2022-04-01,0,2063.5384615384614,False,carwashcafe_000425,0.33069403826855687
2,1,0,,,,,12034.583333333332,1,0,,,magnolia_000414::1,magnolia_000414,2022-04-01,0,10915.53846153846,True,magnolia_000414,0.537087357508927
2,1,0,,,,,12034.583333333332,1,0,,,magnolia_000414::2,magnolia_000414,2022-04-01,0,10344.846153846154,True,magnolia_000414,0.537087357508927
