site_client_id,location_id,client_id,street,city,zip,new_operational_start_date,quarter,current_count,previous_count,yoy_percent_change,location_match_source
244,1,Bubble Down,15305 N Nebraska Ave,Tampa,33613,,2025,312832.0,300016.0,4.27,site_client
246,1,Buckeye Car Wash,4521 KENNY RD,COLUMBUS,43220,,2025,154092.32,157080.8,-1.9,site_client
247,1,Buff it Auto Wash,1408 E Wade Watts Ave,McAlester,74501,,2025,80050.68,87240.0,-8.24,site_client
248,2,Buff it Auto Wash,1699 Stick Ross Mountain Rd,Tahlequah,74464,,2025,64354.19,57656.0,11.62,site_client
251,1,BuggyBath,2525 S Virginia St,Reno,89502,,2025,60431.4,71284.61,-15.23,site_client
252,1,Bulldog Car Wash,2920 Atlanta Hwy,Athens,30606,,2025,24492.14,26662.0,-8.14,site_client
255,6,Cadillac Express Carwash,2005 Bingle Rd,Houston,77055,,2025,65179.26,70983.0,-8.18,site_client
257,7,Cadillac Express Carwash,9520 Cullen Blvd,Houston,77051,,2025,114280.38,99940.0,14.35,site_client
258,3,Cadillac Express Carwash,235 E Little York Rd,Houston,77076,,2025,172879.13,183918.0,-6.0,site_client
259,1,Cadillac Express Carwash,13450 Tomball Pkwy,Houston,77086,,2025,116705.78,142170.0,-17.91,site_client
261,2,Cajun Clean,2235 US-90,Gautier,39553,,2025,181441.44,185502.0,-2.19,site_client
263,1,Canton Auto Wash,45425 Michigan Ave,Canton,48188,,2025,69060.55,66299.0,4.17,site_client
264,1,Capitol Car Wash,3125 Airport Rd,Pierre,57501,,2025,88071.82,87217.0,0.98,site_client
266,1,Car Wash Cafe,3050 N University Dr,Sunrise,33322,,2025,27215.36,28297.34,-3.82,site_client
269,1,Car Wash Palace,4600 Coral Ridge Drive,Coral Springs,33067,,2025,67062.51,68544.0,-2.16,site_client
270,1,Carisma Car Wash,2407 W Dickinson Blvd,Fort Stockton,79735,,2025,56492.8,58416.0,-3.29,site_client
271,4,Carmel Car Wash,9115 Garland Rd,Dallas,75218,,2025,194240.15,205162.0,-5.32,site_client
272,3,Carmel Car Wash,2003 S Goliad St,Rockwall,75087,,2025,105541.1,121404.0,-13.07,site_client
273,2,Carmel Car Wash,5780 Eldorado Pkwy,Frisco,75034,,2025,94331.17,104073.0,-9.36,site_client
274,1,Carroll Clean Car Wash,11260 Dolfield Blvd,Owings Mills,21117,,2025,211295.38,178791.0,18.18,site_client
278,7,Century Car Wash,620 W Service Rd,West Memphis,72301,,2025,156106.46,129895.0,20.18,site_client
279,5,Century Car Wash,7050 Winchester Rd,Memphis,38125,,2025,117813.0,156411.0,-24.68,site_client
280,6,Century Car Wash,328 E Main St,Senatobia,38668,,2025,110052.37,99687.0,10.4,site_client
282,2,Century Car Wash,1101 Church Rd W,Southaven,38671,,2025,126071.0,132446.0,-4.81,site_client
283,1,Century Car Wash,29 Robbins Rd,Covington,38019,,2025,133669.0,132856.0,0.61,site_client
284,4,Century Car Wash,1690 Goodman Rd,Horn Lake,38637,,2025,117684.19,125092.0,-5.92,site_client
285,8,Century Car Wash,2660 McIngvale Rd,Hernando,38632,,2025,128013.0,100959.0,26.8,site_client
286,1,Chagrin Auto Spa,8327 E Washington St,Chagrin Falls,44023,,2025,44155.96,40887.9,7.99,site_client
288,3,Champion CW,101 Ren Mar Dr,Pleasant View,37146,,2025,61110.63,62123.0,-1.63,site_client
289,1,Champion CW,1432 Robinson Rd,Old Hickory,37138,,2025,60168.0,62268.0,-3.37,site_client
290,2,Champion CW,1159 W Main St,Hendersonville,37075,,2025,64384.72,69916.0,-7.91,site_client
291,9,Champion CW,271 New Shackle Island Rd,Hendersonville,37075,,2025,47256.3,53229.0,-11.22,site_client
293,10,Champion CW,3855 Dickerson Pike,Nashville,37207,,2025,58237.76,63484.0,-8.26,site_client
294,1,Champions Car Wash,20118 Stone Oak Parkway,San Antonio,78258,,2025,148037.79,136921.0,8.12,site_client
295,1,Champs Car Wash,775 N Mustang Rd,Tuttle,73089,,2025,35255.42,33200.38,6.19,site_client
296,1,Chandi Carwash,1801 Lander Ave,Turlock,95380,,2025,1267.54,1621.4,-21.82,site_client
297,1,Chemical Guys Car Wash,21003 Bloomfield Ave,Lakewood,90715,,2025,266044.86,190453.0,39.69,site_client
298,1,Circle K,954 US-27,Somerset,42501,,2025,8442.78,11324.57,-25.45,site_client
299,3,Circle K,1830 E. Hwy 80,Somerset,42503,,2025,11948.3,11166.05,7.01,site_client
301,2,Circle K,1990 Oak Hill Road,Somerset,42503,,2025,7963.51,10352.19,-23.07,site_client
306,1,Classic Auto Wash,289 N Comrie Ave,Johnstown,12095,,2025,148861.0,160795.0,-7.42,site_client
309,1,Classic Touch Car Wash,2758 Reynolda Rd,Winston-Salem,27106,,2025,44940.29,40693.83,10.44,site_client
310,1,Classie Express Car Wash,510 E Broadway,Louisville,40202,,2025,47922.77,26250.0,82.56,site_client
316,2,Clean,1020 Pear Drive,Huntsville,77320,,2025,175981.27,150790.0,16.71,site_client
317,1,Clean Car Wash,3975 N Federal Hwy,Boca Raton,33431,,2025,26187.89,25485.87,2.75,site_client
320,1,Clean Wave,11031 Los Alamitos Blvd,Los Alamitos,90720,,2025,209815.67,218191.0,-3.84,site_client
321,1,Clean Wheels,3919 Cheyenne Street,Cheyenne,82001,,2025,63793.45,79156.0,-19.41,site_client
367,1,Closter Car Wash,11 Endres St,Closter,07624,,2025,48828.77,48340.07,1.01,site_client
369,3,Coastal Car Wash,9123 Ocean Hwy,Pawleys Island,29585,,2025,60.53,64.53,-6.2,site_client
370,1,Coastal Car Wash,9123 Ocean Hwy,Pawleys Island,29585,,2025,145694.03,143736.0,1.36,site_client
371,1,Colonial Car Wash,11021 Colonial Blvd,Fort Myers,33913,,2025,95234.22,98263.42,-3.08,site_client
372,6,Colonial Car Wash,1405 Woodruff Rd,Greenville,29607,,2025,47143.06,35583.0,32.49,site_client
373,3,Colonial Car Wash,2900 Wade Hampton Blvd,Taylors,29687,,2025,80616.39,90968.0,-11.38,site_client
374,4,Colonial Car Wash,6050 Wade Hampton Blvd,Taylors,29687,,2025,60011.47,65019.0,-7.7,site_client
377,1,Complete Auto Detail & Car Wash,1516 W 5th St,Austin,78703,,2025,6262.67,11372.98,-44.93,site_client
379,1,Controls Training Classroom,6501 Nob Hill Rd,Tamarac,33321,,2025,1154.23,2118.98,-45.53,site_client
380,1,Cool Clean Car Wash,1255 W Palmetto Park Rd,Boca Raton,33486,,2025,185986.55,181651.0,2.39,site_client
383,1,Coral Springs Classic Car Wash,10610 Wiles Rd,Coral Springs,33076,,2025,61233.31,45740.0,33.87,site_client
389,1,Crystal Clean Auto Spa,75 Old HWY 96,Bonaire,31005,,2025,255632.33,237335.0,7.71,site_client
412,1,David Chevrolet,10225 Niagara Falls Blvd,Niagara Falls,14304,,2025,42628.44,39006.51,9.29,site_client
413,1,Daybreak,19701 Cochran Blvd,Port Charlotte,33948,,2025,143718.02,142829.0,0.62,site_client
417,4,Detricks,1036 Glenforest Rd,Myrtle Beach,29579,,2025,204397.12,178311.0,14.63,site_client
420,1,Dino Dash Wash,575 N Dixie Dr,St. George,84770,,2025,124202.2,119770.0,3.7,site_client
421,2,Dino Dash Wash,2054 E Riverside Dr,St. George,84790,,2025,211804.19,239969.0,-11.74,site_client
425,1,Dix Hill Car Wash New,1232 E Jericho Turnpike,Huntington,11743,,2025,30955.02,36121.0,-14.3,site_client
430,1,Drip Auto Spa,8955 Indianapolis Blvd,Highland,46322,,2025,156408.78,122133.0,28.06,site_client
431,1,Drip Car Wash,3709 Owen Rd,Fenton,48430,,2025,155962.88,122714.0,27.09,site_client
434,1,Drive Thru Express,590 N Magnolia Ave,Anaheim,92801,,2025,109408.47,121867.0,-10.22,site_client
438,2,Edge Express,925 E Dixon Blvd,Shelby,28152,,2025,133990.42,121538.0,10.25,site_client
441,6,Edge Express,1004 Morrisville Carpenter Rd,Morrisville,27560,,2025,123634.06,93884.0,31.69,site_client
444,1,Edge Express,17000 Jefferson Davis Hwy,Dumfries,22026,,2025,283951.79,257788.0,10.15,site_client
445,5,Edge Express,4717 Veterans Pwky,Garner,27529,,2025,365383.69,342057.82,6.82,site_client
446,4,Edge Express,1696 E Dixon Blvd,Shelby,28152,,2025,32444.25,29894.0,8.53,site_client
447,8,Edge Express,110 Patriot Crossing Drive,Stafford,22554,,2025,219886.33,149090.0,47.49,site_client
465,1,Elks Edge,547 CC Camp Rd,Elkin,28621,,2025,332687.91,294734.0,12.88,site_client
466,1,Encinitas Car Wash,293 N El Camino Real,Encinitas,92024,,2025,62728.53,69714.63,-10.02,site_client
467,1,Encino Car Wash,17432 Ventura Blvd,Los Angeles,91316,,2025,314581.02,285648.0,10.13,site_client
468,1,Englewood Car Wash,287 S Indiana Ave,Englewood,34223,,2025,23572.5,23963.73,-1.63,site_client
470,1,Evanston Car Wash,2416 Dempster St,Evanston,60202,,2025,46666.83,33530.47,39.18,site_client
471,1,Evergreen Car Wash,3303 San Felipe Rd,San Jose,95135,,2025,40652.6,41832.0,-2.82,site_client
478,1,Express On Vaughn,6870 Vaughn Rd,Montgomery,36116,,2025,70636.26,65709.0,7.5,site_client
481,1,Express Wash,5430 Florida Ave S,Lakeland,33813,,2025,219201.06,202764.0,8.11,site_client
482,3,Express Wash,1095 Amber Pointe Blvd,Kissimmee,34744,,2025,130917.3,136810.0,-4.31,site_client
