date,age_in_months,latitude,longitude,month,month_sin,month_cos,less_cluster_id,more_cluster_id,less_cluster_month_avg,less_cluster_month_std,less_cluster_month_mean,less_cluster_month_median,less_cluster_month_p25,less_cluster_month_p75,more_cluster_daily_avg,more_cluster_std,more_cluster_month_avg,more_cluster_month_median,more_cluster_month_p25,more_cluster_month_p75,cluster_id,site_id,monthly_volume,cluster_growth_rate,cluster_age_avg,age_sq,log_age,is_early,is_growth,is_mature,lat_lon_interaction,age_saturation,growth_velocity,p50,std_use,p10,p90
2026-01-01,1,32.6466149,-96.5333187,1,0.49999999999999994,0.8660254037844387,5,8,14891.5,11907.911387439492,14891.5,13899.5,9097.25,17971.25,10912.166666666666,3828.0050307113647,10912.166666666666,12789.0,7298.0,13261.0,5,_forecast_new_,14891.5,0.0,12161.0,1,0.6931471805599453,1,0,0,-3151.4860806178685,0.08314096643359975,6080.5,1776.7258878634898,11907.911387439492,0.0,7579.719267696453
2026-02-01,2,32.6466149,-96.5333187,2,0.8660254037844386,0.5000000000000001,5,8,17490.444444444445,9339.34077051361,17490.444444444445,14652.0,11922.0,20284.0,12818.666666666666,4558.253659488733,12818.666666666666,14456.0,8403.25,15711.75,5,_forecast_new_,17490.444444444445,0.1745253630893091,18176.4,4,1.0986122886681098,1,0,0,-3151.4860806178685,0.16514041292462933,6058.8,10431.492631734885,9339.34077051361,5880.221556568769,14982.763706901002
2026-03-01,3,32.6466149,-96.5333187,3,1.0,6.123233995736766e-17,5,8,13736.0,4604.059209002421,13736.0,13561.0,12040.25,16919.25,14953.25,5604.336310150625,14953.25,15516.5,10644.25,19410.5,5,_forecast_new_,13736.0,-0.21465689201722848,11998.666666666666,9,1.3862943611198906,1,0,0,-3151.4860806178685,0.24491866240370913,2999.6666666666665,13387.114329292695,4604.059209002421,11143.452595432165,15630.776063153226
2026-04-01,4,32.6466149,-96.5333187,4,0.8660254037844387,-0.49999999999999983,5,8,16037.875,6149.174449526886,16037.875,16279.0,11765.0,19930.0,13909.416666666666,5115.350986950649,13909.416666666666,14485.5,9319.25,17456.5,5,_forecast_new_,16037.875,0.16757971753057666,18004.2,16,1.6094379124341003,1,0,0,-3151.4860806178685,0.32151273753163434,3600.84,17087.612806159348,6149.174449526886,14090.981620300698,20084.243992017997
2026-05-01,5,32.6466149,-96.5333187,5,0.49999999999999994,-0.8660254037844387,5,8,16629.625,9028.718370328885,16629.625,14577.0,12813.5,18036.5,13164.916666666666,4405.12277113679,13164.916666666666,14462.5,9663.75,15767.5,5,_forecast_new_,16629.625,0.03689703280515655,18276.2,25,1.791759469228055,1,0,0,-3151.4860806178685,0.39411856793081457,3046.0333333333333,14029.398769706668,9028.718370328885,9629.500985225357,18429.29655418798
2026-06-01,6,32.6466149,-96.5333187,6,1.2246467991473532e-16,-1.0,5,8,14086.0,4185.033858883342,14086.0,14331.5,12293.25,16935.25,12389.916666666666,4161.487899523293,12389.916666666666,14245.5,8583.75,14845.75,5,_forecast_new_,14086.0,-0.15295744792802002,13780.333333333334,36,1.9459101490553132,1,0,0,-3151.4860806178685,0.46211715726000974,1968.6190476190477,15258.437098337008,4185.033858883342,13218.975853849288,17297.898342824727
2026-07-01,7,32.6466149,-96.5333187,7,-0.4999999999999998,-0.8660254037844388,5,8,14755.375,4044.053798479936,14755.375,14188.5,12813.0,18245.5,12446.166666666666,4249.503561023513,12446.166666666666,13547.0,9071.5,15428.0,5,_forecast_new_,14755.375,0.04752058781769142,14842.0,49,2.0794415416798357,0,1,0,-3151.4860806178685,0.525083943312195,1855.25,16105.324358115815,4044.053798479936,14134.56587186934,18076.08284436229
2026-08-01,8,32.6466149,-96.5333187,8,-0.8660254037844384,-0.5000000000000004,5,8,16783.125,3370.619503783498,16783.125,15838.0,14319.0,19588.5,14347.333333333334,4784.421658472485,14347.333333333334,15390.5,11073.25,17567.5,5,_forecast_new_,16783.125,0.13742449785247746,16735.8,64,2.1972245773362196,0,1,0,-3151.4860806178685,0.5827829453479101,1859.5333333333333,18325.5941012035,3370.619503783498,16683.01531219579,19968.17289021121
2026-09-01,9,32.6466149,-96.5333187,9,-1.0,-1.8369701987210297e-16,5,8,15280.25,3999.301751556139,15280.25,14301.5,12743.75,16607.0,12420.5,4166.088671425731,12420.5,14139.5,8474.75,14909.5,5,_forecast_new_,15280.25,-0.08954679179235092,15531.8,81,2.302585092994046,0,1,0,-3151.4860806178685,0.6351489523872873,1553.1799999999998,19341.198153181613,3999.301751556139,17392.24834719679,21290.147959166436
2026-10-01,10,32.6466149,-96.5333187,10,-0.8660254037844386,0.5000000000000001,5,8,17995.666666666668,7400.471570559991,17995.666666666668,15821.0,13021.75,21035.25,13641.166666666666,4873.740598784718,13641.166666666666,14938.5,9969.75,17057.25,5,_forecast_new_,17995.666666666668,0.1777076073144528,19062.6,100,2.3978952727983707,0,1,0,-3151.4860806178685,0.6822617902381697,1732.9636363636362,20520.260691207175,7400.471570559991,16913.844239628597,24126.677142785753
