source_file,client_name,client_id,site_id,state,lat,lon,proforma_type,operational_start,proforma_assumed_open,open_year,factor_area_profile_choice,factor_area_profile_score,factor_nearest_competition_choice,factor_nearest_competition_score,factor_weekly_hours_choice,factor_weekly_hours_score,factor_type_of_site_choice,factor_type_of_site_score,factor_site_accessibility_choice,factor_site_accessibility_score,factor_entrance_stack_up_choice,factor_entrance_stack_up_score,factor_free_vacuum_slots_choice,factor_free_vacuum_slots_score,factor_pay_stations_choice,factor_pay_stations_score,factor_visibility_choice,factor_visibility_score,factor_traffic_speed_choice,factor_traffic_speed_score,cumulative_site_score,demog_avg_household_size_value,demog_avg_household_size_score,demog_pct_pop_25_65_value,demog_pct_pop_25_65_score,demog_pct_hh_income_35k_value,demog_pct_hh_income_35k_score,demog_base_price_carwash_value,demog_base_price_carwash_score,cumulative_demographic_score,traffic_count,traffic_incr_y3,traffic_incr_y4,traffic_incr_y5,avg_daily_wash_hours,weekly_hours_operation,plateau_loo_location,m5in_era_anchor,m5in_n_era,m5in_pay,m5in_vac,m5in_tos,proforma_y1,proforma_y2,proforma_y3,proforma_y4,proforma_y5,coldstart_v15_y1,coldstart_v15_y2,coldstart_v15_y3,coldstart_v15_y4,coldstart_v15_y5,model5_y1,model5_y2,model5_y3,model5_y4,model5_y5,model5_mature,actual_y1,actual_y2,actual_y3,actual_y4,actual_y5,actual_mature_wash,actual_nobs_y1,actual_nobs_y2,actual_nobs_y3,actual_nobs_y4,actual_nobs_y5,proforma_y5_monthly,proforma_y5_yearly,proforma_y5_daily,year5_max_hourly,tunnel_length_ft,tunnel_length_m,tunnel_length_actual_m,actuals_suspect
Sonny's Express Exterior Proforma_0695w0000097tEHAAY.xlsx,Big Dan's Bradenton 14th St,bigdans_000378,13.0,FL,27.428992,-82.576271,Express Exterior,03-2023,03-2023,2023,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles / Less Than 10 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.0,2.2,0.0,0.456,-0.0282,0.564,0.0479999999999999,5.0,0.0,0.0049499999999999,43116.0,0.01,0.01,0.01,12.0,84.0,10144.734182011216,2865.1666666666665,1,0.1,0.1,0.05,8921.0,11774.0,12871.0,13342.0,14396.0,7788.0,9713.0,10822.0,12455.0,13499.0,5746.0,7808.0,8645.0,10360.0,10277.0,7510.0,15941,17739,17738.0,20284.0,,18425,12,12,12,4,0,14396.0,172752.0,473.3,148.5,168.5,51.36,,False
Sonny's Express Exterior Proforma_0695w00000A9eDQAAZ.xlsx,Heroes Express Salisbury,carolinacarwash_000283,8.0,NC,35.654361,-80.45651,Express Exterior,03-2023,03-2023,2023,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles / Less Than 10 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.1,2.4,0.0,0.489,-0.0183,0.542,0.0315,5.0,0.0,0.0033,20640.0,0.0,0.0,0.0,12.0,84.0,9099.209987031523,,0,0.1,0.1,0.15,4690.0,6190.0,6700.0,6945.0,7493.0,7000.0,8715.0,8950.0,9013.0,8984.0,5411.0,7341.0,7491.0,7854.0,7166.0,7058.0,12442,16980,18218.0,21778.0,,18178,12,12,12,4,0,7493.0,89916.0,246.3,77.3,97.3,29.66,,False
Express Exterior Proforma_0695w0000097nchAAA.xlsx,Big Peach Tallahassee,bigpeachcw_000300,9.0,FL,30.499714,-84.32811,Express Exterior,03-2024,03-2024,2024,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In Or Easy Out One Way,0.05,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.0499999999999998,2.4,0.0,0.48,-0.021,0.64,0.105,5.0,0.0,0.0209999999999999,32127.0,0.03,0.03,0.03,12.0,84.0,4836.561918855328,,0,0.1,0.1,0.075,7091.0,9359.0,10434.0,10816.0,11669.0,4037.0,4704.0,4638.0,4516.0,4444.0,2883.0,3660.0,3586.0,3635.0,3275.0,3466.0,2409,3284,3676.0,,,2924,12,12,4,0,0,11669.0,140028.0,383.6,120.4,140.4,42.79,,False
"Sonny's Express Exterior Proforma - 8909 Six Forks Rd Raleigh, NC, NC 27615_069Uc00000DMO5vIAH.xlsx",American Pride Six Forks,americanpride_000238,4.0,NC,35.902215,-78.653304,Express Exterior,04-2021,04-2021,2021,Shopping,0.15,Multiple in 4 Miles,0.125,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In Or Easy Out One Way,0.05,20 - 15 Vehicles,0.125,More Than 20 Vehicles,0.15,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.1250000000000002,2.2,0.0,0.51,-0.012,0.84,0.255,12.0,-0.15,0.02325,32998.0,0.0,0.0,0.0,12.0,84.0,9629.169757624735,,0,0.1,0.15,0.125,7821.0,10322.0,11172.0,11581.0,12495.0,7483.0,9240.0,9762.0,10322.0,10609.0,6034.0,8119.0,8524.0,9384.0,8829.0,7792.0,9575,15388,17547.0,18738.0,17887.0,17049,12,12,12,12,12,12495.0,149940.0,410.8,128.9,148.9,45.38,,False
Car Wash Cafe_ SONNY'S Express Proforma_069f2000004sKgFAAU.xlsx,Wash & Wax Pros,carwashcafe_000425,1.0,FL,26.163815,-80.256221,Express,04-2022,04-2022,2022,SHOPPING,0.15,MULTIPLE IN 2 MILES,-0.025,MORE THAN 70 HOURS,0.15,INSIDE LOT NEAR LIGHT,0.075,EASY IN OR EASY OUT ONE WAY,0.05,LESS THAN 15 VEHICLES,0.075,LESS THAN 12 VEHICLES,0.05,2,0.1,LESS THAN 300 FEET BOTH DIRECTIONS,0.0,LESS THAN 50  MPH,0.05,0.675,2.4,0.0,50.4,-0.0138,0.627,0.09525,6.0,-0.075,0.0016124999999999,29250.0,,,,,,4173.330520891225,2481.416666666667,8,0.1,0.05,0.075,4071.0,5374.0,5816.0,6029.0,6505.0,3493.0,4061.0,3979.0,3847.0,3770.0,2548.0,3227.0,3142.0,3164.0,2838.0,3055.0,1822,2014,1659.0,1572.0,1521.0,1572,12,12,12,12,3,6505.0,78060.0,213.9,67.1,87.1,26.55,,False
Sonny's Express Exterior Proforma_0695w00000NS2LnAAL.xlsx,Atlantic Blvd,luvcarwash_000457,35.0,FL,30.313489,-81.565598,Express Exterior,04-2023,04-2023,2023,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,12 - 20 Vehicles,0.1,3 or More,0.15,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.025,2.44,0.0,0.525,-0.0075,0.664,0.123,5.0,0.0,0.028875,32000.0,0.01,0.01,0.01,12.0,84.0,7283.433251223257,,0,0.15,0.1,0.075,6948.0,9170.0,10025.0,10392.0,11212.0,5688.0,6995.0,7308.0,7617.0,7764.0,5744.0,7697.0,7990.0,8671.0,8091.0,7381.0,3839,5482,5574.0,5387.0,,5116,12,12,12,3,0,11212.0,134544.0,368.6,115.7,135.7,41.36,,False
"Sonny's Express Exterior Proforma 5001 Collin McKinney Pkwy., McKinney, TX_0695w00000U9kNNAAZ.xlsx",Oasis Auto Spa,oasisautospa_000475,1.0,TX,33.150031,-96.681147,Express Exterior,04-2023,04-2023,2023,Business,0.1,Multiple in 4 Miles,0.125,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.15,2.8,0.0,0.509,-0.0123,0.889,0.29175,5.0,0.0,0.0698625,25332.0,0.06,0.05,0.05,12.0,84.0,10907.237897037572,8664.416666666666,3,0.1,0.1,0.15,6417.0,8469.0,9717.0,9977.0,10765.0,8437.0,10457.0,10961.0,11471.0,11723.0,7143.0,9646.0,10047.0,10948.0,10241.0,9266.0,2651,4925,5828.0,4997.0,,5632,12,12,12,3,0,10765.0,129180.0,353.9,111.1,131.1,39.96,,False
Sonny's Express Exterior Proforma_069f2000005ZqijAAC.xlsx,Raceway Elgin,racewaycw_000646,1.0,IL,42.04323,-88.277633,Express Exterior,04-2024,04-2024,2024,Residential,0.05,Multiple in 4 Miles,0.125,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,300 - 400 Feet Both Directions,0.05,30 - 40 MPH,0.1,0.8999999999999999,3.0,0.0,0.521,-0.0087,0.704,0.1529999999999999,6.0,-0.075,0.0173249999999999,13385.0,0.0,0.0,0.0,12.0,84.0,7203.725068158916,,0,0.1,0.05,0.05,2355.0,3108.0,3364.0,3487.0,3763.0,5799.0,6815.0,7112.0,7057.0,7083.0,3800.0,4866.0,5046.0,5213.0,4789.0,4737.0,2845,5135,4815.0,,,4533,12,12,3,0,0,3763.0,45156.0,123.7,38.8,58.8,17.92,,False
"Sonny's Express Exterior Proforma 7326 Reseda Blvd., Reseda_0695w00000QAYyrAAH.xlsx",Reseda,luvcarwash_000457,56.0,CA,34.203776,-118.535759,Express Exterior,04-2024,04-2024,2024,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,12 - 20 Vehicles,0.1,2,0.1,300 - 400 Feet Both Directions,0.05,40 - 50 MPH,0.05,0.825,2.9,0.0,0.523,-0.0081,0.759,0.19425,5.0,0.0,0.0465375,39080.0,0.01,0.01,0.0,12.0,84.0,15160.203280186632,,0,0.1,0.1,0.075,6947.0,9169.0,10023.0,10390.0,11099.0,9799.0,14487.0,15405.0,15567.0,15771.0,7948.0,12804.0,13529.0,14235.0,13201.0,12340.0,15362,18317,16085.0,,,16732,12,12,3,0,0,11099.0,133188.0,364.9,114.5,134.5,41.0,,False
Sonny's Express Exterior Proforma_069f2000005RKKcAAO.xlsx,Varsity Carwash Lincoln,varsitycarwash_000227,1.0,IA,42.023334,-93.669375,Express Exterior,05-2020,05-2020,2020,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,1.175,2.3,0.0,0.431,-0.0357,0.598,0.0734999999999999,6.0,-0.075,-0.0093,20053.0,0.0,0.0,0.0,12.0,84.0,8168.372401515611,,0,0.1,0.05,0.15,4486.0,5920.0,6408.0,6642.0,7167.0,6414.0,7707.0,8300.0,8582.0,8789.0,4913.0,6432.0,6884.0,7411.0,6947.0,6279.0,5940,9260,7075.0,6705.0,6380.0,6490,12,12,12,12,12,7167.0,86004.0,235.6,73.9,93.9,28.62,,False
Sonny's Express Exterior Proforma_0695w00000FT0KlAAL.xlsx,Super Scrub Car Wash,superscrubcw_000402,1.0,CA,37.987804,-121.311918,Express Exterior,05-2022,05-2022,2022,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,More Than 20 Vehicles,0.15,More Than 20 Vehicles,0.15,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.125,2.79,0.0,0.49,-0.018,0.624,0.093,5.0,0.0,0.0187499999999999,15592.0,0.04,0.04,0.04,12.0,84.0,5538.203608158975,17506.5,1,0.1,0.15,0.15,3679.0,4856.0,5466.0,5666.0,6113.0,4100.0,5398.0,5610.0,5625.0,5778.0,3103.0,4452.0,4597.0,4800.0,4513.0,4207.0,1896,3286,3756.0,3905.0,3823.0,3500,11,12,12,12,2,6113.0,73356.0,201.0,63.1,83.1,25.33,,False
Sonny's Express Exterior Proforma_0695w00000NRsyVAAT.xlsx,Baymeadows,luvcarwash_000457,36.0,FL,30.222043,-81.561327,Express Exterior,05-2023,05-2023,2023,Shopping,0.15,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot No Light,0.05,Easy In/Out With Divided Highway,0.1,14 - 10 Vehicles,0.075,12 - 20 Vehicles,0.1,2,0.1,Less Than 300 Feet Both Directions,0.0,40 - 50 MPH,0.05,0.85,2.1,0.0,0.54,-0.003,0.774,0.2055,5.0,0.0,0.050625,49504.0,0.03,0.02,0.02,12.0,84.0,7866.479475913844,,0,0.1,0.1,0.05,9102.0,12013.0,13393.0,13748.0,14833.0,6042.0,7532.0,7872.0,8156.0,8273.0,4605.0,6255.0,6495.0,7007.0,6506.0,6016.0,2889,5136,6171.0,5564.0,,5832,12,12,12,2,0,14833.0,177996.0,487.7,153.0,173.0,52.73,,False
"Sonny's Express Exterior Proforma 510 E Broadway, Louisville, KY_0695w00000U7IlyAAF.xlsx",Classie Express Wash,classicexpcw_000556,1.0,KY,38.244742,-85.745003,Express Exterior,05-2023,05-2023,2023,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,Less Than 10 Vehicles,0.05,Less Than 12 Vehicles,0.05,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.025,2.0,-0.01,0.526,-0.0072,0.569,0.0517499999999999,5.0,0.0,0.0086374999999999,18884.0,0.02,0.02,0.02,12.0,84.0,6055.921576659653,8277.791666666668,2,0.1,0.05,0.075,4020.0,5305.0,5857.0,6071.0,6551.0,4879.0,5730.0,6141.0,6374.0,6573.0,3327.0,4257.0,4534.0,4900.0,4625.0,4143.0,966,2605,3932.0,3808.0,,3804,12,12,12,2,0,6551.0,78612.0,215.4,67.6,87.6,26.7,,False
Sonny's Express Exterior Proforma_0695w00000OuG88AAF.xlsx,Havasu Express Car Wash,lakehavasuexp_000487,1.0,AZ,34.476881,-114.3462,Express Exterior,05-2023,05-2023,2023,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,300 - 400 Feet Both Directions,0.05,30 - 40 MPH,0.1,1.1,2.2,0.0,0.43,-0.036,0.68,0.135,5.0,0.0,0.02475,16714.0,0.02,0.02,0.02,12.0,84.0,6857.509799227923,,0,0.1,0.1,0.075,3879.0,5120.0,5652.0,5859.0,6321.0,5293.0,6728.0,6730.0,6381.0,6380.0,3694.0,5116.0,5086.0,5021.0,4595.0,4802.0,1116,2705,5587.0,5056.0,,5533,12,12,12,2,0,6321.0,75852.0,207.8,65.2,85.2,25.97,,False
Flexserve_proforma_ Sonny's (3-mile market)_0695w00000CDfUdAAL.xlsx,True Clean,trueclean_000554,1.0,CO,39.698793,-105.32867,Flexserve,05-2023,05-2023,2023,SHOPPING,0.15,ONE IN 4 MILES,0.15,MORE THAN 70 HOURS,0.15,INSIDE LOT NEAR LIGHT,0.075,EASY IN & EASY OUT,0.15,LESS THAN 20 VEHICLES,0.125,LESS THAN 15 VEHICLES,0.05,2,0.1,MORE THAN 300 FEET BOTH DIRECTIONS,0.05,LESS THAN 40 MPH,0.1,1.1,2.5,0.0,45.1,-0.0296999999999999,0.878,0.2835,5.0,0.0,0.0634499999999999,18263.0,,,,,,8236.722369352772,5970.833333333334,2,0.1,0.05,0.075,4105.0,5418.0,5865.0,6079.0,6559.0,5666.0,7941.0,8247.0,8081.0,8095.0,3893.0,5944.0,6134.0,6259.0,5739.0,5678.0,6225,9912,10225.0,10492.0,,10178,12,12,12,2,0,6559.0,78708.0,215.6,67.7,87.7,26.73,,False
"Sonny's Express Exterior Proforma 1245 Fremont St., Fenley_0695w00000QAl3eAAD.xlsx",Lickety Split Express,licketysplitexp_000558,1.0,NV,39.606931,-119.224565,Express Exterior,05-2024,05-2024,2024,Shopping,0.15,One in 4 Miles / Multiple in 2 Miles,0.15,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.325,2.7,0.0,0.479,-0.0213,0.775,0.20625,5.0,0.0,0.0462375,17466.0,0.02,0.01,0.01,12.0,84.0,7243.099284523803,,0,0.1,0.1,0.15,4985.0,6579.0,7264.0,7456.0,8044.0,5261.0,7039.0,7187.0,6939.0,6946.0,3896.0,5680.0,5762.0,5793.0,5308.0,5382.0,6268,9610,10885.0,,,9962,11,12,2,0,0,8044.0,96528.0,264.5,83.0,103.0,31.39,,False
"Sonny's Express Exterior Proforma 14537 Sherman Way, Los Angeles_0695w00000QAXd4AAH.xlsx",Van Nuys,luvcarwash_000457,61.0,CA,34.201644,-118.450113,Express Exterior,05-2024,05-2024,2024,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot With Light / Corner Lot Without Light,0.15,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,40 - 50 MPH,0.05,1.05,3.2,-0.1,0.538,-0.0036,0.695,0.1462499999999999,5.0,0.0,0.0106624999999999,34622.0,0.01,0.01,0.0,12.0,84.0,15850.55489971475,,0,0.1,0.1,0.15,7564.0,9984.0,10914.0,11313.0,12086.0,10255.0,15149.0,16335.0,16920.0,17410.0,8937.0,14384.0,15413.0,16623.0,15657.0,13861.0,20338,20713,18770.0,,,18770,12,12,2,0,0,12086.0,145032.0,397.3,124.7,144.7,44.1,,False
"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (traffic volume)_0695w00000WO8AHAA1.xlsx",Floris Car Wash,floriscarwash_000233,1.0,FL,28.452051,-81.333977,Express Exterior,06-2020,06-2020,2020,Business,0.1,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.1,2.7,0.0,0.528,-0.0066,0.699,0.1492499999999999,5.0,0.0,0.0356624999999999,11674.0,0.02,0.01,0.01,12.0,84.0,13637.745276719004,,0,0.1,0.1,0.075,2738.0,3614.0,3990.0,4095.0,4419.0,9820.0,12911.0,13574.0,13889.0,13918.0,7121.0,10202.0,10658.0,11355.0,10416.0,9924.0,7121,12274,13098.0,12792.0,9001.0,11816,12,12,12,12,3,4419.0,53028.0,145.3,45.6,65.6,19.99,,False
Sonny's Express Exterior Proforma_0695w00000DzJq4AAF.xlsx,Rock N Roll Stuart,rocknrollexpress_000224,1.0,FL,27.184451,-80.241684,Express Exterior,06-2020,06-2020,2020,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,Less Than 300 Feet Both Directions,0.0,40 - 50 MPH,0.05,0.875,2.1,0.0,0.458,-0.0276,0.716,0.1619999999999999,5.0,0.0,0.0335999999999999,39007.0,0.02,0.01,0.01,12.0,84.0,8693.738042368825,,0,0.1,0.1,0.075,7263.0,9586.0,10583.0,10863.0,11721.0,7059.0,8410.0,8453.0,8399.0,8343.0,5601.0,7271.0,7263.0,7514.0,6832.0,6923.0,2458,4189,5888.0,6548.0,6352.0,2229,12,12,12,12,12,11721.0,140652.0,385.3,120.9,140.9,42.95,,False
Sonny's Express Exterior Proforma_0695w00000AA9l6AAD.xlsx,JJ Express Car Wash,jjexpresscw_000427,1.0,AZ,32.837872,-109.736334,Express Exterior,06-2022,06-2022,2022,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.15,2.9,0.0,0.492,-0.0174,0.66,0.12,5.0,0.0,0.02565,18949.0,0.02,0.02,0.02,12.0,84.0,7397.095535277145,,0,0.1,0.05,0.075,4602.0,6073.0,6705.0,6950.0,7499.0,5407.0,7196.0,7332.0,7066.0,7072.0,3785.0,5488.0,5556.0,5576.0,5109.0,5196.0,4600,6781,5650.0,4694.0,4986.0,4556,12,12,12,12,1,7499.0,89988.0,246.5,77.4,97.4,29.69,,False
Sonny's Express Exterior Proforma_0695w00000ShakSAAR.xlsx,The Auto Spa @ University,mainstreet_000067,3.0,OK,34.005312,-96.409418,Express Exterior,06-2023,06-2023,2023,Shopping,0.15,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot With Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,Less Than 30 MPH,0.15,1.2,2.4,0.0,0.487,-0.0189,0.547,0.03525,7.0,-0.15,-0.0334125,8983.0,,,,12.0,84.0,6337.822995638882,5198.166666666667,1,0.1,0.1,0.15,2145.0,2831.0,3065.0,3177.0,3427.0,5333.0,6173.0,5939.0,5593.0,5399.0,3337.0,4209.0,4023.0,3945.0,3486.0,3979.0,6494,9199,9616.0,6417.0,,9766,12,12,12,1,0,3427.0,41124.0,112.7,35.4,55.4,16.89,,False
Sonny's Express Exterior Proforma_069f2000005bE4vAAE.xlsx,Brookhurst Express Car Wash,brookhurstexpresscw_000235,1.0,CA,33.751349,-117.955791,Express Exterior,07-2020,07-2020,2020,Shopping,0.15,One in 2 Miles,0.075,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,40 - 50 MPH,0.05,1.025,3.6,-0.3,0.524,-0.0078,0.69,0.1424999999999999,7.0,-0.15,-0.078825,48096.0,0.0,0.0,0.0,12.0,84.0,8270.007616229504,,0,0.1,0.1,0.075,9350.0,12340.0,13357.0,13845.0,14938.0,5792.0,7994.0,8282.0,8120.0,8159.0,4484.0,6742.0,6941.0,7086.0,6517.0,6424.0,4049,10137,8747.0,8069.0,9154.0,7362,11,12,12,12,12,14938.0,179256.0,491.1,154.1,174.1,53.07,,False
Sonny's Express Exterior Proforma_069f2000005aZWaAAM.xlsx,Glacier Express King Ave,glacierexpress_000240,1.0,MT,45.754659,-108.563221,Express Exterior,07-2020,07-2020,2020,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,400 - 500 Feet Both Directions,0.1,30 - 40 MPH,0.1,0.925,2.3,0.0,0.514,-0.0108,0.663,0.12225,6.0,-0.075,0.0091125,36267.0,0.0,0.0,0.0,12.0,84.0,7103.734437601391,,0,0.1,0.1,0.075,6505.0,8586.0,9293.0,9633.0,10393.0,5786.0,7032.0,6822.0,6261.0,6200.0,4305.0,5701.0,5496.0,5252.0,4761.0,5304.0,9217,12905,11380.0,9260.0,8207.0,6108,12,12,12,12,12,10393.0,124716.0,341.7,107.2,127.2,38.77,,False
Sonny's Express Exterior Proforma_069f2000008KdYrAAK.xlsx,Hero CarWash,herocarwash_000253,1.0,TX,32.807895,-96.992353,Express Exterior,07-2020,07-2020,2020,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Corner Lot Without Light,0.125,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,300 - 400 Feet Both Directions,0.05,40 - 50 MPH,0.05,0.875,2.6,0.0,0.543,-0.0021,0.795,0.22125,6.0,-0.075,0.0360375,38038.0,0.0,0.0,0.0,12.0,84.0,7822.837417521663,,0,0.1,0.1,0.125,7099.0,9370.0,10142.0,10513.0,11343.0,6625.0,7629.0,8043.0,8862.0,9456.0,5512.0,6915.0,7245.0,8312.0,8117.0,6530.0,3359,4477,3715.0,2431.0,,3324,12,12,12,4,0,11343.0,136116.0,372.9,117.0,137.0,41.76,,False
Sonny's Express Exterior Proforma_0695w00000DyF6PAAV.xlsx,Aqua Shine Greenville,revexpress_000340,1.0,SC,34.829075,-82.369705,Express Exterior,07-2021,07-2021,2021,Business,0.1,One in 2 Miles,0.075,More Than 70 Hours,0.15,Corner Lot With Light / Inside Lot Near Light,0.15,Easy In & Easy Out,0.15,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,2,0.1,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,1.2,2.1,0.0,0.524,-0.0078,0.667,0.12525,5.0,0.0,0.0293625,24297.0,0.01,0.0,0.0,12.0,84.0,9689.199592726629,,0,0.1,0.1,0.15,6179.0,8156.0,8915.0,9150.0,9873.0,7257.0,9236.0,9626.0,9827.0,9855.0,6060.0,8403.0,8703.0,9251.0,8492.0,8119.0,4548,4703,5004.0,4232.0,4418.0,4180,12,12,12,12,12,9873.0,118476.0,324.6,101.9,121.9,37.16,,False
"Sonny's Express Exterior Proforma 9520 Cullen Blvd., Houston_0695w00000Sho0XAAR.xlsx",Cadillac Express Cullen,cadillacexpresscw_000080,7.0,TX,29.653275,-95.355952,Express Exterior,07-2023,07-2023,2023,Shopping,0.15,One in 4 Miles,0.15,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In/Out With Divided Highway,0.1,20 - 15 Vehicles,0.125,12 - 20 Vehicles,0.1,3 or More,0.15,300 - 400 Feet Both Directions,0.05,30 - 40 MPH,0.1,1.15,2.8,0.0,0.474,-0.0228,0.569,0.0517499999999999,5.0,0.0,0.0072374999999999,23131.0,0.01,0.01,0.0,12.0,84.0,9973.02618121304,4215.333333333333,3,0.15,0.1,0.075,5516.0,7281.0,7959.0,8250.0,8814.0,7639.0,9545.0,9662.0,9511.0,9350.0,7708.0,10493.0,10555.0,10819.0,9736.0,10097.0,5138,7470,7749.0,,,7788,12,12,12,0,0,8814.0,105768.0,289.8,90.9,110.9,33.8,,False
Sonny's Express Exterior Proforma (modified traffic)_0695w00000HHR0tAAH.xlsx,Seaford Car Wash,seafordcarwash_000354,1.0,NY,40.66476,-73.502306,Express Exterior,08-2021,01-2020,2021,Business,0.1,Multiple in 2 Miles,-0.025,More Than 70 Hours,0.15,Inside Lot Near Light,0.075,Easy In & Easy Out,0.15,14 - 10 Vehicles,0.075,Less Than 12 Vehicles,0.05,1,0.05,More Than 500 Feet Both Directions,0.15,30 - 40 MPH,0.1,0.875,2.95,0.0,0.512,-0.0114,0.899,0.29925,5.0,0.0,0.0719625,20000.0,0.0,0.0,0.0,12.0,84.0,3109.991493799192,,0,0.05,0.05,0.075,4248.0,5607.0,6069.0,6291.0,6788.0,2709.0,2964.0,2985.0,2900.0,2873.0,1088.0,1297.0,1297.0,1312.0,1190.0,1253.0,3073,3307,3216.0,3356.0,3209.0,3348,12,12,12,12,11,6788.0,81456.0,223.2,70.0,90.0,27.43,,False
