cbsa_id,MAE,RMSE,WMAPE,bias,n
10780,591.3105985244492,721.5005923343173,0.047512636478823325,123.1600299803619,3.0
32620,567.8209230539628,720.5577109184673,0.04982779328873222,127.39057993010692,12.0
30220,664.0436796081486,910.6155421747462,0.050785984776027276,-198.00315792776246,12.0
29460,1110.1395698977742,1360.1940077355696,0.05978832047704943,-839.2246312807665,12.0
10100,739.3712196337883,1264.0478084375918,0.06421311579484598,406.68237059953634,12.0
39900,310.88495897811725,444.9888763265132,0.07537366416279234,119.17692608134973,12.0
34180,1194.8226652752112,1391.1348159507568,0.07572873039582603,993.3962083214174,12.0
38180,555.841220967132,842.3035864972907,0.07685060605815658,79.31166709167753,12.0
24540,459.31280721169185,578.7004194828078,0.07721002831824368,-205.09402623932067,8.0
28060,2238.123542626134,2658.7245253583824,0.08909697921488322,911.9981866427546,12.0
37620,1367.1474171081989,1647.1282548524919,0.09094762374948519,-536.0428612779943,24.0
31930,1629.4794535302715,2123.878108619692,0.09492481961611741,-558.1987665408022,15.0
42140,1063.7122713532199,1728.5227096777894,0.09650919388518014,-572.5315432207042,32.0
25060,870.7441033797149,1089.025980088953,0.09814518748644217,49.03441120034919,12.0
25540,5.616908012522586,6.586216092458088,0.09836105441769696,-1.1731345260420074,12.0
27740,901.6921932381347,1308.5093907781459,0.09948883603984604,-842.4877925927528,20.0
35380,824.8250644653752,1072.1686551170753,0.10018118191887149,-414.5620247352496,12.0
23460,1561.7964940107188,2007.2048229786237,0.1012455184924025,-658.6008203016125,12.0
26620,743.4699402787911,960.5185240155902,0.10462934106586795,197.96226857681918,68.0
19700,620.3186783620814,772.9448161268277,0.10485736216854455,-187.15231368723653,12.0
14300,672.362160909065,869.411625127307,0.10621911359409035,312.33589145805274,22.0
21460,723.8453252798969,881.7709991433231,0.10718738234829477,197.75372541743636,12.0
20900,1090.2943707450709,1199.6281555664466,0.10752834142816983,231.4689208821168,5.0
17660,947.7595138530405,1282.1139188578632,0.10949373415073155,-108.78335745990141,12.0
43500,821.4285277182432,1014.6711601724027,0.1105333415485761,423.6922416864507,10.0
26960,441.61499857275334,533.997793780051,0.11156589437627452,-202.1010454947492,12.0
42940,1047.648310797551,1307.7454195947334,0.1117139012095793,158.3347623870185,24.0
25740,302.1224763891455,313.1615587558004,0.1118143880048651,302.1224763891455,2.0
27460,959.5500223844533,959.8442749730966,0.11378513250141745,-959.5500223844533,2.0
43140,1347.2321700981527,1769.7984604228236,0.1139870693166314,-731.490387811718,12.0
28660,392.8236604886647,759.4977936142925,0.1151328414103504,-258.606478061216,12.0
18420,1138.1328235832018,1300.2404896940834,0.11520145995072643,-915.2882685939215,12.0
42680,1781.6143790082133,2280.628243949184,0.11598274641956681,-1080.138567895527,34.0
18100,1480.96311769977,1771.2290870348277,0.11702438669579776,-991.7356077720702,12.0
11700,1347.7447819487124,1827.6068367396886,0.11718897099708143,-622.1726850608221,36.0
20420,988.2922842736702,1353.079168438583,0.11944231829058162,-889.7024244115615,9.0
41100,1448.905540319502,1702.074463349175,0.12191647083639733,-816.9440730288129,17.0
45340,1084.9084409832747,1381.2006083478843,0.12254975160212303,-676.404759811044,10.0
16340,828.5232047503381,1056.6927290342464,0.12387588408926062,127.93749386155567,12.0
49180,1530.4580235740689,1953.5806696798645,0.1266716990232702,-1530.4580235740689,12.0
46340,630.2541733694648,803.1523473247488,0.1271485504931505,241.67988339725147,12.0
33740,1374.0727123141878,1409.6586966572083,0.12779694124945942,-503.8746163562112,3.0
13740,1158.6388943923191,1355.02647865004,0.12907348501850024,-285.8610955730398,12.0
28700,925.0760926335965,1087.3654229665228,0.12951410667821495,-544.6722469830862,24.0
26580,1083.6923874999115,1481.038366768542,0.12956628258009464,1009.4976241255704,2.0
38620,472.34126560010344,665.7397666058592,0.1298711205939245,-58.4471894326031,6.0
12700,431.1653379447104,532.539850491382,0.1303237715759433,157.64378010380517,12.0
38940,1321.110996950268,1550.2744784727008,0.13037630468331635,540.7867241751769,33.0
23860,1263.2541499770907,2388.04448132626,0.13204084390429965,3.4499919383566753,29.0
41540,494.4891332811808,642.9530615964302,0.13223991797499932,221.22444208690766,12.0
24340,1069.8959589415115,1342.7377288649077,0.13319772906183444,-333.050617620499,36.0
44700,1357.424201864991,2026.637403605226,0.133435999158618,-315.4943791192151,33.0
24140,1824.5118622550344,2573.892920534519,0.13439486163005143,-1552.164387215825,41.0
41940,2726.965401244232,3455.6134976910053,0.13466723316609744,-2065.758848462394,38.0
33500,915.9058969760748,1187.5163907280446,0.13505284662103287,-318.2094607025942,12.0
40660,1245.1847230191759,1552.2833316822594,0.13534248776056912,-618.4254963542646,12.0
39380,1792.864769078949,2115.4137073617367,0.13540967871414916,-1782.265465698253,10.0
37340,1201.0714833596562,1502.7986657623785,0.13739878548986517,892.9718279864502,26.0
42660,1102.9901388126477,1560.0449330710403,0.14098236193104643,155.1542700243074,53.0
39820,1135.7987783088067,1451.5731209861526,0.14131830599201295,-894.0665803611822,12.0
14140,1883.3624647156598,2214.973856857656,0.1414223075707228,-1527.8155658970568,17.0
42540,1595.5985456949902,2002.5185831102567,0.14163819651651832,-112.32027421660118,32.0
29700,782.3109496891675,831.1989000067863,0.14211346689681809,769.7813964134148,12.0
34980,1567.2860582010806,2500.0044272470914,0.14330127623672675,429.87240503359584,148.0
15260,1958.4137117174598,2306.7734990900226,0.1468314727567541,-1403.0247177603844,12.0
40060,932.8446812291359,1164.6723293008602,0.14773836841427518,-22.014806373543024,12.0
30780,1260.9843316705583,2092.577829792546,0.1479912759178341,-464.22380577755916,12.0
41860,411.72635792321825,574.6855120987053,0.14876746545056213,34.569925584731116,12.0
21540,954.923862374304,1341.6643237727658,0.14906904227200957,-747.3317072953332,12.0
31420,1346.5356665189197,1669.5049810426046,0.15247156290592617,-955.0488351125534,36.0
19740,1201.0544520425374,1458.8519414748014,0.15335742433039992,-434.68403087829665,75.0
12100,2258.6688697691898,2963.6330144344793,0.15479435077260192,1416.6749632331828,12.0
16740,2633.012892638352,3454.9268877961135,0.15544600253926757,-1463.3189665763448,59.0
NON_CBSA_TX,1083.5158740607962,1750.7819095500145,0.1557905040183095,-771.3263651955548,22.0
39580,2486.996551707842,3287.6571981382176,0.15601002298230515,-2160.6405430779123,88.0
31500,732.2893186512474,1001.3645356900297,0.15726021055725511,-641.5662918204199,11.0
37860,933.0826555449863,1090.4982478566828,0.15844500858294894,-569.0946127515416,12.0
41700,1463.651735884178,2087.01152862143,0.1593035887854986,545.7839307519049,43.0
15980,1850.5897992605103,2616.497448549253,0.16041277979747287,-1725.2831157181786,59.0
12260,1334.7641648482766,1744.827186972781,0.16128722085109787,-1224.5293065848716,33.0
45140,893.3248392269552,1055.115561240668,0.1613300535874225,-502.6399298074827,12.0
20500,1960.8797421152315,2778.9628150571416,0.16498430761786512,-1802.9926775228905,24.0
31940,766.8224467594073,863.6879623275463,0.16504707120895534,456.520732543374,12.0
38060,581.1245731108344,786.8192194136909,0.16610134672314084,253.98318484625617,83.0
43300,3406.9932139200328,4144.3088749242515,0.1672787025156518,-3127.3194884178106,18.0
13140,595.9425231140104,938.7484909472605,0.16795524231308617,326.0896096503914,18.0
21580,1406.6807512591124,1738.619709745147,0.1680602085111423,-239.6188993368687,10.0
26140,1109.321876665471,1529.4577102484116,0.16912113172052104,-1109.321876665471,6.0
12580,3258.9801212707075,3807.907442640173,0.1697009839629617,-3068.593687570046,12.0
44180,2264.0642378009056,3102.474676500327,0.16992072114514448,-656.9926946894964,88.0
39300,675.051554727234,942.493379103155,0.17001497815635586,273.12945089228396,24.0
30140,1883.2459063785234,2330.61501339692,0.17069854353046868,-1233.3126601603615,12.0
24860,2486.508594626731,3221.1901307625913,0.17229632134236628,-1858.4297306303708,115.0
35900,2135.4618869743613,2433.429579962423,0.17252307649219933,-1949.183977746885,12.0
33100,1309.0001749314338,1959.3630127492672,0.17324658546015742,-675.8483549786336,188.0
28140,1125.7738306419196,1503.0735053850474,0.17409434540678548,31.561234125276542,24.0
10700,1661.0464963745737,1938.4211039156141,0.17582793441034972,-1338.9430480574927,10.0
12780,1369.8521910705379,1748.6491748829894,0.17598118267882598,-1175.5299489175907,12.0
24300,896.9559145858684,1339.765446452496,0.17625386413556068,-446.67738398776635,17.0
38420,944.9542643777443,1160.3065591329787,0.17822180057575865,-712.777975322306,8.0
42340,1698.2709034644538,2090.109128300467,0.17856718433342728,-687.4185621282062,58.0
48260,2718.2082656543607,3139.8852755534535,0.18011959259124363,1000.196655093957,23.0
22660,315.32191074374634,375.7837270924303,0.18043434768300698,-95.3491248962088,7.0
34340,2730.8164282766734,3100.2038061541743,0.18066332098023044,-2730.8164282766734,12.0
12020,873.9565471702463,1240.0354120684249,0.18201445183602186,-48.17790002973551,45.0
40140,746.1251127423686,1113.3490645298798,0.1837513430934884,104.4914783523529,66.0
10860,1811.8240943043627,1938.187342162362,0.18409104798865705,-1811.8240943043627,4.0
20460,2304.100817047345,2807.330346468524,0.18448631362391837,-2296.002592000797,18.0
36740,1970.374438441104,3010.570568626362,0.1845922544407218,-342.38057326194564,86.0
NON_CBSA_KY,1027.0851244394241,1307.9230662576047,0.18649973509174544,-436.8114348645713,24.0
24100,2208.525544448912,2975.8900540839227,0.18691369946460548,34.161283921383074,12.0
25840,1518.0292185553983,1811.9218880572666,0.1887519798807395,-721.0937062069438,11.0
35220,1749.2388997796436,2288.510812870559,0.1892296516421077,1212.0173536602385,3.0
15380,665.6046811808369,798.6014792262088,0.18945104777443175,-307.50389491416064,12.0
14460,1848.525134302681,3051.962974768506,0.1899029667371714,-1149.0078891032176,118.0
34820,2472.260394844915,3052.6737604220907,0.19049385061380297,-607.2776771495762,58.0
44500,1970.124843452107,2249.5831946370345,0.19069661253795367,-1970.124843452107,10.0
12420,2406.8126423170174,3979.373706044475,0.19220284166824467,1767.4302638397826,79.0
26420,1858.6806452207102,2857.07614210858,0.1931738668609116,-30.503362108469545,290.0
17980,1661.5705204429028,2214.29514766221,0.19360123746230634,-1101.7072754917397,16.0
24060,1604.2452612117793,2147.458965996564,0.19382067031502298,-1493.6518335432652,23.0
47900,3931.832018748981,4917.079719138125,0.19386129270185254,-3242.9982147282676,34.0
40220,956.1222429423557,1324.09873219427,0.1942637042413267,-620.1466668874648,40.0
27860,1775.3030458713185,2137.9133163855404,0.19459285473296756,-1736.8902614009073,12.0
19100,2391.3045059839624,3635.7112700252114,0.1948768618613984,-864.1075148733842,291.0
10740,1518.9381044287825,1989.0727424593076,0.19654779722524304,-568.6256945042583,94.0
36260,422.75437498339824,566.2187719091322,0.1971802122124059,132.17397243719532,12.0
15540,690.2920349030851,1001.5228583225385,0.19838194926405459,-339.9395237521979,36.0
37460,1511.5209542926013,1842.7212696938284,0.19851285005593935,-1211.8261448565875,18.0
26660,3075.3345696816973,3643.575816617095,0.19872921290350223,-3075.3345696816973,12.0
46060,2168.2332433470337,3612.0011086943155,0.2007158753387673,-1685.1050668420978,22.0
13220,448.57764011556327,506.57891231286635,0.20084067164341315,325.64076227479285,12.0
33860,1335.4141195837583,2019.599715551496,0.20163619562214918,-704.0704442324952,36.0
45220,1086.6938188769416,1309.0020123224854,0.20178362055550647,500.0169667537084,34.0
32460,766.7702726063571,951.5488200846191,0.20222512684123706,-389.1192753921793,12.0
28420,1409.238255202845,1686.7348654775064,0.20267210448809186,-1004.4319628699787,24.0
30980,1030.1890640617985,1229.7685970586526,0.20441949183533,-1030.1890640617985,12.0
12060,2067.968063971367,3377.671000419024,0.2056789334257765,-365.1666665744298,413.0
17460,751.6989189144374,988.2634522547521,0.20577577851476522,-286.92208199991927,12.0
27260,2378.5092781442745,3077.584761051346,0.20637350922746586,956.9947865760187,276.0
13980,866.6458356674239,953.7578280940796,0.20695196266833332,551.0694435523864,12.0
31700,1645.5371332029492,1977.6576257457657,0.2070270347179773,-18.88383495703268,12.0
48980,3324.9160601638578,4036.4558847922654,0.20725285238012428,1436.1363844145355,5.0
30660,1541.6453470211754,1858.1580322278207,0.20726053978397668,-1242.8686434683418,10.0
19820,1709.0932115782646,2453.133023836564,0.207938598706622,-920.3742739132981,102.0
16540,577.2461032594133,695.1561606390919,0.2090083048431887,71.80497184217423,12.0
33140,3871.289770945164,6471.673834162257,0.21148207770936014,-3871.289770945164,23.0
19380,504.9553363220159,680.6100368774559,0.21380558328443566,-45.70890670714258,24.0
32820,1994.7537931972945,2518.101921547336,0.2143789473220456,-266.08886019416894,76.0
30700,957.9211318144006,1319.5887417724127,0.2156589542938878,-790.3576405695317,12.0
41420,435.06948253779825,526.813031272758,0.2160404614108077,-15.9314715205763,12.0
45300,3486.73749903777,6923.915533417066,0.21639277537102095,-2332.337138263973,305.0
22420,2231.176548457891,2459.857597405417,0.21759084732376546,-1120.3152885149318,22.0
41980,1104.386460624997,1354.4375768081402,0.21790650017264568,-883.9543156479249,12.0
46220,1918.6894637682885,1921.815024481662,0.21825611008625737,109.56153498380854,2.0
16980,2212.825573274553,3940.84698901793,0.21941514365913892,-1745.630262175377,138.0
21060,1387.9629180813013,1653.245304442792,0.22045472671856636,-1254.6477595917383,11.0
13820,1887.91816111681,2081.3086697479475,0.22290347842695227,-522.7915760992394,9.0
41180,1649.992015222993,2105.3514869004493,0.2230734697064106,-1579.8350777530134,46.0
23700,2264.776541287204,2355.469649197884,0.2231944635696114,-2264.776541287204,10.0
46660,831.3472080687679,957.9524390051698,0.22336034606898655,84.16182507748572,5.0
47260,1635.332037874632,2111.0868976880092,0.22611576713762666,-1166.4934531300723,36.0
42200,1040.4477222714936,1322.6135920636223,0.22698790924080456,-161.94097086214873,21.0
15620,1839.5306535681132,2049.6613435410814,0.2287309636798748,1693.9631720813625,12.0
27140,2222.9579465561224,2654.775024451026,0.22968396210326736,-1595.0745000502363,12.0
11380,2023.6973964124506,2312.4716768677504,0.2348494135328363,-2023.6973964124506,3.0
18380,2724.873209696137,3085.50627658197,0.23618559501570052,-2724.873209696137,12.0
26820,1916.4284756011068,2443.140518588811,0.239745855605155,-1916.4284756011068,12.0
11900,3566.647424193076,4047.5648094489225,0.24002472655157145,1080.2796644719233,4.0
24660,1783.4920248341816,1956.1391756438115,0.2417529402901927,-1783.4920248341816,12.0
32580,5160.213509626551,6029.377134502209,0.242851354277641,-5160.213509626551,9.0
10580,493.37443440118494,590.0584388270139,0.24300169154548593,-385.89281862311026,12.0
36220,1267.4351685960144,1622.0035166606003,0.24301782578441047,-203.7879870497305,5.0
27340,1679.1004523730135,1892.012258547164,0.24431571234450677,-1084.0087880248702,3.0
43700,391.3588042866808,708.9562227432212,0.24590069518828372,223.6681900082368,47.0
24420,3516.4730986066297,4182.272784875911,0.245964544085332,-3425.464219471933,12.0
28620,1031.8641627197774,1423.273563975879,0.24602364300888793,-676.9997628245436,12.0
31080,3720.4921722512945,5579.145578719562,0.2465709138772751,-1585.8259725722367,181.0
43340,1753.9785276160756,2218.0034558616726,0.24831578220656553,1382.544425040345,12.0
35620,842.1622583820887,1213.6170026286259,0.24908792544491962,-151.4735126239118,186.0
25860,2540.693053361725,2695.906997846206,0.24940542390907286,-2540.693053361725,12.0
13700,2419.83063570092,2907.807095610508,0.250720679241664,-2419.83063570092,2.0
22900,1632.5396474775073,1656.3107880716354,0.25254570940197607,402.9783658262325,3.0
16620,1496.5385866060124,1645.3843956963462,0.25568744004886595,115.62965850827368,3.0
22280,3077.6157394467054,3552.035682682736,0.2568157496148289,-2805.394201721302,8.0
16820,1992.347764494199,2147.068277346065,0.25706883835930444,678.0433697098347,4.0
33340,2438.5655529210867,4012.6271777613442,0.25772391025253916,-1935.1407956628696,57.0
26020,2275.6098235881054,2674.509708926951,0.25869981699815514,-1922.2004045168753,6.0
18880,1539.2016528395466,1684.0009504706395,0.260110122997811,-1539.2016528395466,4.0
10500,1698.7561757786507,1967.8862340254486,0.2613778543017465,-1385.322668099353,17.0
29540,1021.1488449110295,1767.785422547532,0.26203833784872094,-728.3157904547053,18.0
NON_CBSA_AL,2068.550942830807,2321.4261294511916,0.26217375701277656,-790.5019013308013,4.0
20140,1768.2069282264913,2988.9485113134942,0.26355282784490247,347.21606590984993,17.0
35820,177.03940969040104,197.65493562560957,0.2659580516130211,100.31397374416747,12.0
25780,2453.223632100027,2932.6128062225034,0.2665988562133743,-1998.0789491240437,14.0
16100,2395.339496246544,3079.3731382585697,0.2666168936851967,-2395.339496246544,5.0
45740,1406.1220947820657,1502.9314838500536,0.26806254785665157,530.6822964009816,2.0
33460,2135.091432033123,2872.75045132903,0.269037043873605,-1621.7838127947043,20.0
23540,3556.8144835204107,4370.608274643376,0.27157851885415973,-3475.0556352275494,33.0
37980,2163.280081511987,2784.988226757836,0.2716138203547555,-89.93569356232167,138.0
29820,2076.821896576281,2078.1761623169377,0.2718175376711316,2076.821896576281,2.0
16940,1442.8829068072735,1656.0991626458651,0.2726536105077992,1286.881668001828,12.0
15420,1081.2341228597838,1142.2526697287494,0.27453439950736286,-556.2971357243267,7.0
44420,3965.5380866533897,5449.871696128403,0.2775389425624874,-3679.257231444588,9.0
31180,2914.046556284277,3794.5637411128473,0.27855820657238367,913.293155730007,17.0
33060,1366.9513371717871,1575.1058810525508,0.2785944110324435,340.3540861438108,5.0
21340,1626.2939351747884,2081.789622987632,0.2817069002554631,-1488.495863789936,42.0
46180,3712.6143525489038,4345.969795981809,0.281931454041759,-3712.6143525489038,10.0
22520,1459.4857041764863,1757.3180169145312,0.2851114874343595,153.46083685200722,4.0
36100,1849.7057519316922,2220.489631863458,0.2876335131681986,-1808.9047629314002,22.0
19000,2571.7912844899433,2966.2916235530734,0.28866529556247084,-2521.174969953921,24.0
26740,1177.1548574197332,1325.3501450136498,0.29453415948783984,661.6157855631752,15.0
14380,4751.233810407546,5217.954548641867,0.29502584026838596,-4143.22325497552,15.0
43900,2649.863427162474,3152.20046250699,0.2960162456684418,1550.2308583547863,4.0
31140,2573.1220255935186,3582.552651059144,0.30040049078731784,-1595.1355447594117,83.0
27180,1600.0390128891172,1927.922340937389,0.30117814495522294,774.5840077600791,5.0
18980,3177.1301586065915,3685.7609524703685,0.3035784053094511,-3074.0703906983053,15.0
41740,1993.1957026037007,3275.602773288247,0.30897819109657804,-1155.2173938636536,123.0
24620,2254.2162347536205,2375.198341183577,0.3099469836040327,-2254.2162347536205,11.0
35840,2819.265317069029,6119.714777632855,0.3130142186061236,-2268.750224335771,99.0
23660,2290.3481747336764,2464.599597894386,0.3216178863602803,882.9130100285539,12.0
45780,2169.7613238863496,2400.8265722143706,0.3233097797777065,1751.6465357694456,11.0
33980,4511.925578639128,5076.872721050807,0.32912382311047045,-4511.925578639128,10.0
40940,1961.555788826263,2127.74626756234,0.3297979553320606,1961.555788826263,12.0
49620,3786.775036404881,4080.274217806651,0.3302372090293642,-3786.775036404881,12.0
45020,1568.4450311885769,1847.5064268461572,0.3318992095341561,276.9125209279379,3.0
26900,2328.0166280458593,2657.2705087692357,0.3397704660688088,-1285.6470630996748,15.0
28940,3297.336241072971,3851.103580808031,0.34037214458183834,-3297.336241072971,9.0
NON_CBSA_MI,2046.5898097982097,2732.9914140832625,0.34054154323694913,-1857.199100088971,21.0
37100,8687.942511781888,9408.132504956275,0.3419585936012971,-3502.22533392936,12.0
22180,3039.3321630825935,3231.3647951747016,0.3438774474782542,-3039.3321630825935,12.0
29200,2600.71950346886,3638.878435229025,0.3443619060318923,-1466.4231816910265,7.0
45500,4136.982723190984,4847.353972267667,0.34481177575813765,-4136.982723190984,10.0
25980,1533.766664016533,1806.893330453635,0.3478421916975837,443.31283022976646,8.0
12540,1729.733090073021,1984.5335648779662,0.34815157800865904,-1012.281021952022,9.0
29780,3742.1717359828194,4196.787321911904,0.3586310674086999,-3642.9544950559693,10.0
49420,4236.366930068682,4819.949202526024,0.360098668028174,-1231.3836450354972,13.0
42220,6360.0309796202955,7830.534327342376,0.36030597417368226,5381.438643466988,4.0
33700,895.9666087678985,2167.8116455039467,0.3603414961236301,-656.87361848002,16.0
41620,1120.8250202516629,1145.304852349791,0.3786571014363726,593.4626268856624,3.0
23240,28.124454487761074,39.74581030973262,0.39759372066954063,9.42100063050593,12.0
11460,1617.051602324017,2124.454814657663,0.4067883784304265,41.09007505954529,6.0
38540,1693.1951881618365,1846.216910203626,0.42065468189710586,-1051.6767142491087,7.0
30460,4928.299118064002,11200.791347173175,0.44432249548915503,-4595.182877037238,67.0
19660,16870.06270147598,20579.65679674233,0.4975739164561452,-16870.06270147598,11.0
18460,5725.401873315245,8452.877927711266,0.5106001358515941,4168.52160126989,12.0
46140,8640.026495625234,16598.77469389169,0.5110977702830016,-7923.732565964951,22.0
33260,5519.302498011536,6041.5933582937105,0.5357679176196282,335.9628440537793,3.0
36420,6494.037147593826,15886.297405160052,0.6160998915064502,-6148.0523158859005,17.0
18140,5181.997672167021,5211.7041497456785,3.0516246188250467,5181.997672167021,9.0
