client_id_location_id,calendar_year,actual,predicted,n_months,abs_error,hit
bigpeachcarwash_9,2025,44566.0,39586.162381606366,10,4979.837618393634,1
blastcarwash_1,2025,182213.0,145739.28698449262,10,36473.71301550738,0
bluecowcarwash_1,2025,301441.0,312384.97823971306,12,10943.978239713062,1
blueiguana_1,2025,213920.0,207984.39918583856,12,5935.600814161444,1
blueiguana_3,2025,171052.0,170784.52617272342,12,267.4738272765826,1
blueiguana_4,2025,111335.0,97970.71083033812,12,13364.289169661875,1
blueiguana_5,2025,187357.0,163429.5329549044,12,23927.467045095604,0
blueiguana_6,2025,73026.0,67969.37864370129,12,5056.62135629871,1
blueiguana_7,2025,181860.0,173709.73437877768,12,8150.265621222323,1
bluepenguincarwash_1,2025,119174.0,127875.50792350221,12,8701.507923502213,1
bluepenguincarwash_2,2025,125682.0,122893.4483238065,12,2788.5516761934996,1
bluepenguincarwash_3,2025,58621.0,58162.3582413179,12,458.64175868209713,1
blueskyenglewood_1,2025,52428.0,44625.38198871323,12,7802.618011286773,1
bluewaveexpress_4f58a5e0392de301de3a4b8212ee1c38b47a0b8b49dc5645535f4220563f60e3,2025,119206.5,133725.63780344647,12,14519.137803446472,1
blupalmexpress_1,2025,55880.0,69674.03451818094,12,13794.034518180939,1
bluwavefl_1,2025,159362.0,119236.05568548269,10,40125.94431451731,0
brookhurstexpresscarwash_1,2025,105281.0,117573.30669642726,12,12292.306696427258,1
bubbasexpresscarwash_1,2025,222056.0,231010.84629785546,12,8954.84629785546,1
bubblebay_1,2025,166488.0,134980.44373768667,11,31507.55626231333,0
bubbledown_1,2025,319265.0,306486.42178840796,12,12778.578211592045,1
bubbledown_4,2025,274458.0,227047.83683955864,12,47410.163160441356,0
bubbledown_5,2025,220336.0,137742.45419703887,12,82593.54580296113,0
buffitautowash_2,2025,66447.0,60415.320842310204,12,6031.679157689796,1
buggybath_1,2025,49495.0,50925.123112976195,12,1430.1231129761945,1
bulldogcarwash_1,2025,24240.0,26959.445393960035,12,2719.4453939600353,1
cadillacexpresscarwash_1,2025,116073.0,142397.2417123678,12,26324.241712367802,0
cadillacexpresscarwash_3,2025,171925.0,184478.8312742683,12,12553.831274268305,1
cadillacexpresscarwash_6,2025,64752.0,70394.24872127101,12,5642.248721271011,1
cadillacexpresscarwash_7,2025,113623.0,100545.8399338426,12,13077.160066157405,1
cadillacexpresscarwash_8,2025,123542.0,95518.84195864791,10,28023.158041352086,0
cajunclean_2,2025,106464.0,107052.41293440419,12,588.4129344041867,1
calibercapital_66efbe1b66590027e7f8290ecb00d373e0a409da2b501ae075176fb32f1d295e,2025,102721.0,81811.5322437209,10,20909.467756279104,0
cantonautowash_1,2025,58303.0,62097.27040250499,12,3794.2704025049898,1
capitolcarwash_1,2025,86793.0,87744.74000510013,12,951.7400051001314,1
carismacarwash_1,2025,55691.0,58543.33756745742,12,2852.33756745742,1
carmelcarwash_2,2025,94819.0,104870.67618223252,12,10051.67618223252,1
carmelcarwash_3,2025,107037.0,122701.51027862116,12,15664.510278621165,1
carmelcarwash_4,2025,88749.0,95494.11066987852,12,6745.110669878515,1
carrollcleancarwash_1,2025,230451.0,193627.87574915946,12,36823.12425084054,0
carwashcafe_1,2025,27063.0,25893.51120523081,12,1169.4887947691896,1
carwashcompany_1,2025,115070.0,60812.35124468656,12,54257.64875531344,0
carwashpalace_1,2025,64654.0,67298.91253342602,12,2644.912533426017,1
centurycarwash_4,2025,117174.0,126283.20482372458,12,9109.204823724576,1
centurycarwash_5,2025,118252.0,156186.99095530738,12,37934.99095530738,0
centurycarwash_7,2025,154795.0,128183.28952315058,12,26611.710476849417,0
centurycarwash_8,2025,128045.0,104162.87672466406,12,23882.123275335936,0
chagrinautospa_1,2025,43836.0,40392.93501600097,12,3443.064983999029,1
championcw_1,2025,60399.0,62669.730481508406,12,2270.7304815084062,1
championcw_10,2025,58098.0,64337.95584943165,12,6239.955849431652,1
championcw_2,2025,64307.0,70962.10190975235,12,6655.101909752353,1
championcw_3,2025,61494.0,62925.01692072647,12,1431.0169207264698,1
championcw_9,2025,46877.0,53784.91602767137,12,6907.9160276713665,1
championscarwash_1,2025,147279.0,138105.1704964568,12,9173.82950354321,1
championxpress_15b4e22aa9715b215626dc8cbca332ce90eded9bf145bfc591b8573a6e31c65b,2025,81863.0,69350.77619092514,10,12512.223809074858,1
championxpress_1b45b065772d0982d39a46ec4a4dd9a910eadf03ce96091dfaf4fe6bafcc76f2,2025,88528.0,81763.95240188956,10,6764.047598110439,1
championxpress_1d700c40eb6d957c2cd1477c695d19cc98d16c0b8ce997ef62715880429a4f04,2025,68325.0,51328.71258626295,10,16996.287413737053,1
championxpress_22d7f8fe30715a313c2c1053514eb43f13eb6a71c7f02d1235f75dc48d4dae7d,2025,76083.0,67633.76607039665,10,8449.233929603346,1
championxpress_3f5a12a6339bc73427b27f9c6d2d00c3cde0b8861a92cbd12e9466a70d206c94,2025,42017.0,37085.731543610826,10,4931.268456389174,1
championxpress_48afa8b2903d27b99e75c3b8034fdc8ddc58853ad92629132541f3858b14b843,2025,86963.0,77355.75216226761,10,9607.247837732386,1
