client_id_location_id,calendar_year,actual,predicted,n_months,abs_error,hit
edgeexpress_4,2024,33991.0,163988.995690687,12,129997.995690687,0
edgeexpress_4,2025,35555.0,145542.11478523686,12,109987.11478523686,0
flawlessautobathinc_1,2024,57727.0,38671.18832166576,12,19055.81167833424,1
flawlessautobathinc_1,2025,59829.0,38641.351038272674,12,21187.648961727326,0
foamworksexpress_7,2024,60374.0,156256.96862043062,12,95882.96862043062,0
foamworksexpress_7,2025,71022.0,146686.52410984365,12,75664.52410984365,0
freshwash_3,2024,47104.0,110758.08628356653,10,63654.08628356653,0
freshwash_3,2025,65441.0,107239.57418407885,10,41798.574184078854,0
glosscarwash_1,2024,134574.0,123504.69373073705,12,11069.306269262946,1
glosscarwash_1,2025,95479.0,124693.66209767995,12,29214.662097679946,0
gocleancarwash_3,2024,83819.0,104881.0502344007,12,21062.050234400696,0
gocleancarwash_3,2025,87734.0,93463.44151232428,12,5729.44151232428,1
gogreennclean1_1,2024,145932.0,93576.8778841641,12,52355.1221158359,0
gogreennclean1_1,2025,143403.0,93829.78434350104,12,49573.21565649896,0
greenoceancarwash_1,2024,99113.0,94925.9305001656,12,4187.069499834397,1
greenoceancarwash_1,2025,107239.0,96781.11770791443,12,10457.882292085575,1
happycarwash2_1,2024,46086.0,54683.491550244515,12,8597.491550244515,1
happycarwash2_1,2025,57135.0,50280.79040899611,12,6854.209591003892,1
havasuexpress_1,2024,30664.0,67465.07255775825,12,36801.07255775825,0
havasuexpress_1,2025,59473.0,60817.42682591829,12,1344.4268259182936,1
heroescarwash_8,2024,259298.0,248554.06255220558,12,10743.937447794422,1
heroescarwash_8,2025,291959.0,232149.4624793581,12,59809.5375206419,0
ishinecarwash_e2ddffa6556f1fa53c5886e04ba392728b2541a54032e4cbe4dd1555937ead48,2024,189266.0,126312.27235013734,12,62953.72764986266,0
ishinecarwash_e2ddffa6556f1fa53c5886e04ba392728b2541a54032e4cbe4dd1555937ead48,2025,161848.0,98896.51674998357,10,62951.483250016434,0
jimmysudscarwash_1,2024,134571.0,106932.21840421138,12,27638.78159578862,0
jimmysudscarwash_1,2025,130086.0,107742.70086350584,12,22343.299136494155,0
jjscarwash_1,2024,134366.0,107069.54477889022,12,27296.455221109776,0
jjscarwash_1,2025,137604.0,107269.80510574247,12,30334.194894257525,0
kindcarwash_1,2024,183674.0,173062.69507014973,12,10611.304929850274,1
kindcarwash_1,2025,200421.0,157818.84540681387,12,42602.15459318613,0
kuhnsvillecarwash_1,2024,77668.0,84123.71188963111,12,6455.711889631115,1
kuhnsvillecarwash_1,2025,79149.0,83891.64496829621,12,4742.644968296212,1
kwikcarwash_1,2024,9298.0,58246.09633677395,12,48948.09633677395,0
kwikcarwash_1,2025,12845.0,58027.10104080296,12,45182.10104080296,0
lathroparcocarwash_1,2024,40085.0,103232.2814326052,12,63147.2814326052,0
lathroparcocarwash_1,2025,36948.0,104679.98689669026,12,67731.98689669026,0
lonestarsudsexpress_2,2024,299163.0,189938.49403675567,12,109224.50596324433,0
lonestarsudsexpress_2,2025,329957.0,165628.3529593676,12,164328.6470406324,0
luvcarwash_29280a8e0af8d02eefd0a0c9488c8ac94b17300cb31a8ecb43a169f78a396368,2024,148464.0,151788.7672383134,12,3324.7672383133904,1
luvcarwash_3e96033de8cf88eb16c13f5cc56bb785b2f34ab2e077fc53d67a106d3ebf8524,2024,87178.0,151788.7672383134,12,64610.76723831339,0
