source_file,m5_mature,m5_y1,m5_y2,m5_y3,m5_y4,m5_y5
Sonny's Express Exterior Proforma 28 Ferry Road_0695w00000Si8m7AAB.xlsx,3911.4322392211334,3419.417112274396,4169.5098785840955,4153.085282323189,4383.1450795835235,4102.36027825846
"Sonny's Express Exterior Proforma 3111 Teays Valley Rd., Hurricane_0695w00000Q8kRHAAZ.xlsx",5888.214975877033,4781.050607960732,6189.058292687842,6569.393181481052,7524.669677818313,7290.373630071913
"Sonny's Express Exterior Proforma 35952 US Hwy 19 N, Palm Harbor, FL 34684_0695w00000Y5LyUAAV.xlsx",9538.50601326759,7170.618623553812,9885.03418775672,10237.125416833756,10910.634043712102,10038.10225973557
"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (traffic volume)_0695w00000WO8AHAA1.xlsx",9924.28062035305,7121.333333333333,10201.637810447352,10658.189247218334,11355.279470297144,10415.914152087667
"Sonny's Express Exterior Proforma 3972 Teays Valley Rd., Hurricane_0695w00000Q8nOVAAZ.xlsx",6555.576013602948,5275.931969635154,6878.994379296402,7409.099999999992,8655.571244617913,8482.726354793038
"Sonny's Express Exterior Proforma 4300 Clinton Hwy, Knoxville_0695w00000RUh2HAAT.xlsx",3994.6302938880094,3121.3561189839297,4168.774863973931,4597.772072327998,5540.477850060085,5534.749757376657
"Sonny's Express Exterior Proforma 45430 Schenherr Rd., Shelby Twp._0695w00000Q9YSoAAN.xlsx",2422.921151502144,2022.2621086295526,2500.0838844764276,2608.393768255537,2775.2974376230904,2616.1367395874413
"Sonny's Express Exterior Proforma 5001 Collin McKinney Pkwy., McKinney, TX_0695w00000U9kNNAAZ.xlsx",9265.815352161859,7142.913969764844,9645.90423284033,10047.252130316574,10947.739362693685,10241.491410155835
"Sonny's Express Exterior Proforma 510 E Broadway, Louisville, KY_0695w00000U7IlyAAF.xlsx",4143.487237049828,3326.8647428258714,4256.721371332373,4533.504687037179,4899.774946778211,4625.102694326188
"Sonny's Express Exterior Proforma 5958 N Main St., Joplin, MO_0695w00000SiquUAAR.xlsx",4797.657252171607,3580.7257212738077,4890.112920757451,5729.09180671484,7024.107405098482,7071.349896840084
"Sonny's Express Exterior Proforma 710 Jamacha Rd., El Cajon_0695w00000Sia3PAAR.xlsx",4791.063067311077,3582.841496505967,5081.440745160206,5056.978788950072,4983.020783729281,4534.373217539618
"Sonny's Express Exterior Proforma 7326 Reseda Blvd., Reseda_0695w00000QAYyrAAH.xlsx",12339.601930814712,7948.480316121229,12803.541603247804,13529.018015101105,14235.274595846113,13200.999915326494
"Sonny's Express Exterior Proforma 9520 Cullen Blvd., Houston_0695w00000Sho0XAAR.xlsx",10097.397729684808,7708.058742442768,10492.986714084964,10555.423098334626,10818.928229183199,9735.578833189746
"Sonny's Express Exterior Proforma Buford Dr., Buford_0695w00000OxYTfAAN.xlsx",6190.847845789348,4694.965645878932,6425.801287373416,6560.179083765493,6856.197639104601,6237.494404310087
"Sonny's Express Exterior Proforma Cirby Way, Roseville_0695w00000OxyMQAAZ.xlsx",6543.726292007368,5013.227523056251,6966.900377582436,6934.603436871508,6854.590729668233,6274.161823610985
