source_file,n_excluded,pred_loo_y1,pred_loo_y2,pred_loo_y3,pred_loo_y4,pred_loo_y5,plateau_loo,proxy_loo,nmat_loo,pred_leaky_y1,pred_leaky_y2,pred_leaky_y3,pred_leaky_y4,pred_leaky_y5,plateau_leaky,proxy_leaky,nmat_leaky
"Sonny's Express Exterior Proforma 1623 S Poinciana Blvd. Kissimmee, FL 34758_0695w00000WO90ZAAT.xlsx",2,9244.355746842257,11533.234968001738,12197.643788377209,12891.199971099522,13239.38245998796,12046.994319435677,True,6,9136.882194172367,11470.774167917638,12174.064294395548,12899.372767220464,13259.940129479975,11998.214139148724,True,6
Sonny's Express Exterior Proforma 172 Freemans Bridge Rd Scotia_0695w00000QBiivAAD.xlsx,1,5469.654093892619,5860.999798707112,6223.056567096311,6684.646442025217,7065.579040867199,6117.917762240236,False,1,4607.230000455581,5217.997100168962,5806.4036766712925,6507.063671011646,7012.568848689145,5517.675923671949,False,2
"Sonny's Express Exterior Proforma 231 MacCorkle Ave SW, South Charleston, WV 25303_0695w00000VmTqVAAV.xlsx",1,5757.68226798869,7106.588782223805,7716.158559301192,8548.004560327943,9048.310084959654,7405.533147319868,False,2,6482.864625455953,7482.927376075358,7782.660148375115,8327.703123243073,8695.59308932397,7677.180602641427,False,2
"Sonny's Express Exterior Proforma 2416 Dempster St., Evanston_0695w00000SjPaGAAV.xlsx",1,5678.036624361062,6153.545912925781,6349.907459222824,6483.092192507796,6767.013102245769,6435.7699834897385,False,0,6473.937449134952,6971.461719958952,7147.216271338075,7236.93171600706,7527.47759797328,7284.794184404965,False,1
Sonny's Express Exterior Proforma 28 Ferry Road_0695w00000Si8m7AAB.xlsx,1,4601.710937317377,5149.940520952741,5162.195073543859,5232.321488163697,5349.9379473059635,5245.762924108301,True,9,4425.440187180291,5122.069467559349,5267.865230017926,5478.39654847668,5662.536045792441,5257.016098100312,True,9
"Sonny's Express Exterior Proforma 3111 Teays Valley Rd., Hurricane_0695w00000Q8kRHAAZ.xlsx",1,6893.286862761049,8189.87996951324,8748.318291152516,9623.471664579682,10185.925379962608,8460.426625000724,False,2,5325.390340493058,6345.465355238238,6790.909552857504,7481.630262477483,7923.673911798835,6559.5232153815805,True,3
"Sonny's Express Exterior Proforma 35952 US Hwy 19 N, Palm Harbor, FL 34684_0695w00000Y5LyUAAV.xlsx",2,6650.163942113769,8414.026106816573,8768.999798487617,8975.673314292386,9021.422766187896,8815.79899624683,True,3,6758.712942625393,8589.916585230787,8969.303730492096,9189.596204791984,9237.79968549568,9008.82583796855,True,3
"Sonny's Express Exterior Proforma 3893 McCoy Rd, Orlando, FL 32812 (traffic volume)_0695w00000WO8AHAA1.xlsx",2,9819.723483139556,12910.938043786511,13574.307414531242,13889.19554056864,13918.198576743904,13637.745276719004,True,9,9305.669501349965,12220.638824238442,12839.919815784391,13130.932499456723,13155.74493165192,12905.440666135197,True,10
"Sonny's Express Exterior Proforma 3972 Teays Valley Rd., Hurricane_0695w00000Q8nOVAAZ.xlsx",1,6738.325175320529,8063.576031815631,8740.062610838942,9805.953616344728,10498.709725459215,8343.902687206286,False,2,5355.708282712108,6386.425436068231,6906.006679855061,7733.337886056128,8273.230879328961,6603.028616852301,True,3
"Sonny's Express Exterior Proforma 4300 Clinton Hwy, Knoxville_0695w00000RUh2HAAT.xlsx",1,4367.922186092902,5354.142999581454,5942.583862878309,6877.333994698595,7505.458965447127,5570.751143397088,False,0,4352.819071150793,5449.079442468392,6148.53001654267,7222.424621906339,7933.86854345904,5696.069480005786,False,0
