site_key,client_id,site_id,latitude,longitude,tunnel_length_actual_ft,p25_daily_peak_volume_cars,median_daily_peak_volume_cars,p75_daily_peak_volume_cars,p90_daily_peak_volume_cars,max_daily_peak_volume_cars,washes_year_2020,washes_year_2021,washes_year_2022,washes_year_2023,washes_year_2024,washes_year_2025,washes_year_2026,created_date,name,code,address1,country,state,city,postal_code
dublinwash_000802___1,dublinwash_000802,1,32.548537,-82.972677,124.8,15.0,19.0,24.0,29.0,39.0,,,,,,10485.0,23525.0,2025-09-12 13:55:12,Dublin Wash,DEF,2404 US-80,US,GA,Dublin,31021
greenvalleygrocery_000758___1,greenvalleygrocery_000758,1,36.306231,-115.315619,144.0,3.0,4.0,5.0,7.0,36.0,,,,,,3454.0,4229.0,2025-03-25 18:55:23,Green Valley Grocery 95,GVG95,7989 N Hualapai Way,US,NV,Las Vegas,89166
herocarwash_000253___1,herocarwash_000253,1,32.807895,-96.992353,124.8,13.0,19.0,25.0,33.0,80.0,14273.0,51113.0,51743.0,31204.0,,,,2020-05-22 14:29:13,Hero CarWash,DEF,101 Continental Dr,US,TX,Lewisville,75067
highway80cw_000598___1,highway80cw_000598,1,32.103128,-81.224031,121.6,12.0,17.0,22.0,26.0,45.0,,,,,24964.0,44529.0,24540.0,2023-08-07 16:25:57,Deep Clean Car Wash,DCCW,1220 US-80,US,GA,Pooler,31302
intracoastalcw_000313___1,intracoastalcw_000313,1,30.746067,-88.110775,134.4,13.0,21.0,29.0,39.0,71.0,,62167.0,64718.0,52355.0,20499.0,3981.0,13401.0,2021-01-14 14:00:27,Intracoastal Car Wash,DEF,2966 St Stephens Rd,US,AL,Mobile,36612
jupitercw_000637___1,jupitercw_000637,1,26.935102,-80.137123,89.60000000000001,4.0,7.0,9.0,11.0,19.0,,,,,11502.0,13202.0,2652.0,2024-02-13 16:00:11,Jupiter Galaxy Car Wash,DEF,6751 W Indiantown Rd,US,FL,Jupiter,33458
liquidsunshine_000493___1,liquidsunshine_000493,1,30.238959,-81.552761,96.0,10.0,15.0,20.5,25.0,55.0,,,2424.0,40991.0,43362.0,17816.0,7129.0,2022-07-28 15:51:33,Liquid Sunshine,DEF,4132 Southside Blvd,US,FL,Jacksonville,32256
magiccitycw_000357___1,magiccitycw_000357,1,48.242594,-101.296108,134.4,21.0,28.0,35.0,42.0,69.0,,4080.0,68425.0,72703.0,70720.0,73419.0,49590.0,2021-08-04 19:11:14,Magic City Car Wash,DEF,619 N Broadway,US,ND,Minot,58703
magictunnel_000072___3,magictunnel_000072,3,40.336635,-83.761489,115.2,27.0,41.0,52.0,64.0,93.0,78517.0,112868.0,108907.0,25214.0,,,,2018-08-07 18:56:52,Magic Belle,521,1601 S Main St,US,OH,Bellefontaine,43311
magnolia_000414___70,magnolia_000414,70,30.318032,-81.559771,115.2,13.0,17.0,21.0,26.0,42.0,,,,,10181.0,43137.0,27046.0,2024-03-27 21:27:52,Whistle Wash Circle K,173,110 Southside Blvd,US,FL,Jacksonville,32225
masterautomotive_000789___1,masterautomotive_000789,1,33.512769,-82.083278,108.8,5.0,7.0,9.0,12.0,39.0,,,,,,0.0,5017.0,2025-07-23 14:36:13,Master Automotive,MAV,3710 Washington Rd,US,GA,Augusta,30907
mrdcarwash_000205___1,mrdcarwash_000205,1,43.316824,-88.371848,99.2,11.0,16.0,22.0,31.5,68.0,21868.0,36955.0,39875.0,38605.0,37178.0,41738.0,25570.0,2019-10-11 20:38:09,Mr D Car Wash,HART,525 E Sumner St,US,WI,Hartford,53027
mrdcarwash_000205___4,mrdcarwash_000205,4,42.913883,-88.849791,128.0,11.0,18.0,25.0,33.0,56.0,,,,,,2622.0,23361.0,2025-11-03 21:19:23,Mr. D Fort Atkinson,FORT,1200 Janesville Ave,US,WI,Fort Atkinson,53538
