month_offset,year_month,site_age_months,calendar_month,calendar_month_sin,calendar_month_cos,latitude,longitude,region_code,cbsa_code,peer_ref_level,peer_recent,peer_seasonal,peer_count,peer_level_resolved,peer_trend_ratio,h3_ref_level,h3_seasonal_factor,h3_peer_count,h3_used,h3_vs_cbsa_ratio,ramp_factor,anchor_wash,log_anchor,maturity_indicator,site_train_mean,site_train_median,site_train_max,site_train_std,site_train_recent6,site_train_months,site_vs_peer_ratio,predicted_washes,predicted_washes_low,predicted_washes_high,cbsa_id,cbsa_name,sample_label,sample_lat,sample_lon
11,2027-05,11,5,0.49999999999999994,-0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.960575621571561,15,cbsa,0.953373227897699,10527.75,0.960575621571561,0,0,,0.9750566402123155,9860.455285475084,9.196389031581399,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10099.35358978239,4116.747492284499,24776.098879664216,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
12,2027-06,12,6,1.2246467991473532e-16,-1.0,32.7767,-96.797,2,0,10527.75,10036.875,1.0005755763396285,15,cbsa,0.953373227897699,10527.75,1.0005755763396285,0,0,,0.9837699316628702,10362.845075387786,9.246078593228685,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11375.75222266471,4637.039293572632,27907.40609225207,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
13,2027-07,13,7,-0.4999999999999998,-0.8660254037844388,32.7767,-96.797,2,0,10527.75,10036.875,0.9761141473045726,15,cbsa,0.953373227897699,10527.75,0.9761141473045726,0,0,,0.9837699316628702,10109.500894890985,9.221329855286832,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10773.765202770031,4391.654424877027,26430.589799348483,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
14,2027-08,14,8,-0.8660254037844384,-0.5000000000000004,32.7767,-96.797,2,0,10527.75,10036.875,1.0472232682106586,15,cbsa,0.953373227897699,10527.75,1.0472232682106586,0,0,,0.9838249286393911,10846.576140637035,9.291696936835429,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11746.32293868321,4788.09312610966,28816.503552833223,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
15,2027-09,15,9,-1.0,-1.8369701987210297e-16,32.7767,-96.797,2,0,10527.75,10036.875,0.9419564311635267,15,cbsa,0.953373227897699,10527.75,0.9419564311635267,0,0,,0.9838249286393911,9756.278782112275,9.185768827223313,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10765.913730150798,4388.453969528215,26411.328283229086,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
16,2027-10,16,10,-0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,1.0668773652317145,15,cbsa,0.953373227897699,10527.75,1.0668773652317145,0,0,,0.9981202184825326,11210.704817592446,9.324713584573894,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,13149.28778328948,5359.976460468748,32258.307565896463,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
17,2027-11,17,11,-0.5000000000000004,0.8660254037844384,32.7767,-96.797,2,0,10527.75,10036.875,0.8048426129212621,15,cbsa,0.953373227897699,10527.75,0.8048426129212621,0,0,,0.9838249286393911,8336.127497621314,9.028474011279322,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11951.753861615438,4871.831875258374,29320.47411038048,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
18,2027-12,18,12,-2.4492935982947064e-16,1.0,32.7767,-96.797,2,0,10527.75,10036.875,0.8155804680703163,15,cbsa,0.953373227897699,10527.75,0.8155804680703163,0,0,,0.9981202184825326,8570.087041395225,9.056149846184528,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,11918.32820925618,4858.206748728774,29238.473093126457,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
19,2028-01,19,1,0.49999999999999994,0.8660254037844387,32.7767,-96.797,2,0,10527.75,10036.875,0.8767505427385519,15,cbsa,0.953373227897699,10527.75,0.8767505427385519,0,0,,0.9808120133481646,9053.101369943211,9.11097312408335,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,8112.481998431474,3306.84925786082,19901.833752606042,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
20,2028-02,20,2,0.8660254037844386,0.5000000000000001,32.7767,-96.797,2,0,10527.75,10036.875,0.9319130268500917,15,cbsa,0.953373227897699,10527.75,0.9319130268500917,0,0,,1.012096032807999,9929.620909667026,9.203378283751757,0,10527.75,10527.75,15791.625,2105.55,10036.875,0,1.0,10345.592559202842,4217.120615262383,25380.181210295756,19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
