client_name,client_id,site_id,year,month,mem_purchase_count,mem_wash_count,mem_revenue,ret_wash_count,ret_revenue,ASP_mem,ASP_ret,mem_revenue_pct,mem_count_pct,timezone,address1,state,postal_code,region,lat,lon,operational_start,imputed
Cliff's Car Wash,000004_cliff,1,2024,6,2371.0,5934.0,77259.0,3261.0,55649.15,32.58,17.07,58.13,64.54,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2024,7,2413.0,5948.0,77206.0,3242.0,50731.17,32.0,15.65,60.35,64.72,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2024,8,2381.0,5491.0,71117.0,2278.0,36880.61,29.87,16.19,65.85,70.68,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2024,9,2379.0,5395.0,69662.0,2505.0,38960.28,29.28,15.55,64.13,68.29,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2024,10,2342.0,4549.0,58736.0,2008.0,37300.03,25.08,18.58,61.16,69.38,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2024,11,2264.0,2950.0,38256.0,1003.0,21835.73,16.9,21.77,63.66,74.63,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2024,12,2223.0,3016.0,38956.0,1209.0,26053.33,17.52,21.55,59.92,71.38,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,1,2222.0,3776.0,48821.0,1934.0,30115.93,21.97,15.57,61.85,66.13,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,2,2206.0,3316.0,42639.0,1276.0,20234.35,19.33,15.86,67.82,72.21,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,3,2209.0,3870.0,49833.0,1632.0,24922.43,22.56,15.27,66.66,70.34,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,4,2221.0,4746.0,60560.0,2243.0,33136.55,27.27,14.77,64.63,67.91,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,5,2247.0,4715.0,60598.0,2283.0,32547.98,26.97,14.26,65.06,67.38,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,6,2265.0,4883.0,62757.0,2856.0,40724.77,27.71,14.26,60.65,63.1,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,7,2292.0,5676.0,72740.0,3154.0,42457.6,31.74,13.46,63.14,64.28,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,8,2295.0,5086.0,64866.0,2759.0,38341.36,28.26,13.9,62.85,64.83,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,9,2297.0,4858.0,62179.0,2177.0,37221.95,27.07,17.1,62.55,69.05,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,10,2259.0,3494.0,44502.0,1229.0,18249.72,19.7,14.85,70.92,73.98,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,11,2212.0,3378.0,43027.0,1709.0,24425.3,19.45,14.29,63.79,66.4,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2025,12,2208.0,3568.0,45394.0,1489.0,25082.86,20.56,16.85,64.41,70.56,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2026,1,2200.0,3360.0,42409.0,1836.0,27428.73,19.28,14.94,60.73,64.67,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2026,2,2206.0,4302.0,54512.0,1970.0,28879.45,24.71,14.66,65.37,68.59,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2026,3,2223.0,3996.0,57840.0,1974.0,31539.02,26.02,15.98,64.71,66.93,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2026,4,2138.0,3724.0,54214.0,1306.0,21739.65,25.36,16.65,71.38,74.04,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2026,5,2048.0,5279.0,76415.0,2726.0,41904.25,37.31,15.37,64.58,65.95,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash,000004_cliff,1,2026,6,1657.0,4052.0,58372.0,2337.0,37251.79,35.23,15.94,61.04,63.42,America/Denver,3536 W 4800 S,UT,84067,West,41.169932,-112.060492,01-2020,0
Cliff's Car Wash #2,000004_cliff,3,2022,5,14.0,18.0,128.0,173.0,2100.35,9.14,12.14,5.74,9.42,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2022,6,81.0,313.0,3402.0,1052.0,11478.03,42.0,10.91,22.86,22.93,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2022,7,170.0,601.0,7629.0,1127.0,13650.48,44.88,12.11,35.85,34.78,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2022,8,212.0,658.0,8427.0,874.0,10744.48,39.75,12.29,43.96,42.95,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2022,9,242.0,708.0,8304.0,918.0,11987.46,34.31,13.06,40.92,43.54,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2022,10,258.0,694.0,8165.0,970.0,11892.39,31.65,12.26,40.71,41.71,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
Cliff's Car Wash #2,000004_cliff,3,2022,11,259.0,484.0,5711.0,552.0,5854.8,22.05,10.61,49.38,46.72,America/Denver,3690 Riverdale Rd,UT,84405,West,41.196338,-111.97449,05-2022,0
